label,V,down_mean,down_std,minfill_mean,minfill_std,totQ_mean,totQ_std,split_mean
Proposed,1,0.405,0.0,0.2442,0.003,3565.2229,21.9031,185.3
Proposed,3,0.405,0.0,0.2424,0.003,3580.1454,22.7685,184.8
Proposed,10,0.405,0.0,0.2375,0.0026,3614.7728,22.3467,181.8
Proposed,30,0.405,0.0,0.2263,0.0026,3679.3481,20.5429,167.3
Proposed,100,0.405,0.0,0.1868,0.0022,3895.0767,18.7734,155.6
Proposed,300,0.4455,0.1215,0.1587,0.004,4168.0401,22.1458,147.6
Greedy-Q,-,5.4744,0.038,0.2881,0.006,6363.0441,52.7751,4432.1
Greedy-E,-,0.8099,0.0,0.1445,0.0018,3215.1753,29.1312,0.0
Random,-,5.2414,0.1616,0.3592,0.0046,5156.389,40.146,3335.4
Static,-,0.8099,0.0,0.198,0.0039,5622.294,36.8099,0.0
