label,V,down_mean,down_std,minfill_mean,minfill_std,meanQ_mean,totQ_mean,totQ_std,split_mean
Proposed,1,0.8099,0.0,0.3195,0.0034,0.5221,5355.8478,29.3383,1247.2
Proposed,3,0.8099,0.0,0.3075,0.0024,0.5295,5432.7524,29.9615,1178.1
Proposed,10,0.8099,0.0,0.3011,0.0012,0.5335,5473.8945,32.3536,1134.6
Proposed,30,0.8099,0.0,0.2969,0.0013,0.5368,5507.1295,33.8776,1110.5
Proposed,100,0.8099,0.0,0.2915,0.0034,0.5448,5589.9277,29.1648,1088.3
Proposed,300,0.8099,0.0,0.2938,0.0046,0.5584,5728.4596,29.0756,1099.4
Greedy-Q,-,5.4744,0.038,0.2881,0.006,0.6209,6363.0441,52.7751,4432.1
Greedy-E,-,0.8099,0.0,0.1445,0.0018,0.3143,3215.1753,29.1312,0.0
Random,-,5.2414,0.1616,0.3592,0.0046,0.5042,5156.389,40.146,3335.4
Static,-,0.8099,0.0,0.198,0.0039,0.5482,5622.294,36.8099,0.0
