n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,eurosat_imgs/0_AnnualCrop_00.png,0,AnnualCrop,0,1,1782532100.1173527,1782532103.3634505,3.2460978031158447,4.1092750733233325,2.436
1,eurosat_imgs/0_AnnualCrop_01.png,0,HerbaceousVegetation,2,0,1782532103.364247,1782532107.1018174,3.737570285797119,10.23612904559482,3.1455
2,eurosat_imgs/0_AnnualCrop_02.png,0,HerbaceousVegetation,2,0,1782532107.1025634,1782532110.8356042,3.7330408096313477,10.583283817753646,3.144
3,eurosat_imgs/0_AnnualCrop_03.png,0,AnnualCrop,0,1,1782532110.836421,1782532114.0481753,3.211754322052002,9.2336809827654,3.146
4,eurosat_imgs/0_AnnualCrop_04.png,0,HerbaceousVegetation,2,0,1782532114.049092,1782532117.7805314,3.7314393520355225,10.314772571263891,3.144
5,eurosat_imgs/0_AnnualCrop_05.png,0,HerbaceousVegetation,2,0,1782532117.7814665,1782532121.51405,3.732583522796631,10.57022410219366,3.144
6,eurosat_imgs/0_AnnualCrop_06.png,0,HerbaceousVegetation,2,0,1782532121.5150328,1782532125.2530973,3.7380645275115967,10.590438934511214,3.144
7,eurosat_imgs/0_AnnualCrop_07.png,0,AnnualCrop,0,1,1782532125.2540917,1782532128.470456,3.2163641452789307,9.269335756929298,3.146
8,eurosat_imgs/0_AnnualCrop_08.png,0,HerbaceousVegetation,2,0,1782532128.4714153,1782532132.2070465,3.735631227493286,10.352283138481052,3.144
9,eurosat_imgs/0_AnnualCrop_09.png,0,HerbaceousVegetation,2,0,1782532132.2080805,1782532135.9376254,3.7295448780059814,10.573316237402684,3.1455
10,eurosat_imgs/0_AnnualCrop_10.png,0,Residential,7,0,1782532135.9385824,1782532139.1492338,3.210651397705078,9.28464056998805,3.146
11,eurosat_imgs/0_AnnualCrop_11.png,0,HerbaceousVegetation,2,0,1782532139.1502345,1782532142.8870046,3.7367701530456543,10.360195249319077,3.1455
12,eurosat_imgs/0_AnnualCrop_12.png,0,HerbaceousVegetation,2,0,1782532142.8879628,1782532146.619019,3.7310562133789062,10.605923004612778,3.144
13,eurosat_imgs/0_AnnualCrop_13.png,0,HerbaceousVegetation,2,0,1782532146.6199224,1782532150.3568652,3.736942768096924,10.648588278727098,3.144
14,eurosat_imgs/0_AnnualCrop_14.png,0,AnnualCrop,0,1,1782532150.3578475,1782532153.5651572,3.2073097229003906,9.612419776715731,3.241
