n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,eurosat_imgs/0_AnnualCrop_00.png,0,PermanentCrop,6,0,1782282139.883552,1782282142.4715881,2.588036060333252,3.5555014515982735,2.1117999999999997
1,eurosat_imgs/0_AnnualCrop_01.png,0,PermanentCrop,6,0,1782282142.4724224,1782282144.606261,2.133838653564453,7.102425804740504,4.2723
2,eurosat_imgs/0_AnnualCrop_02.png,0,PermanentCrop,6,0,1782282144.6071644,1782282146.9611483,2.3539838790893555,8.043282678672245,4.057
3,eurosat_imgs/0_AnnualCrop_03.png,0,PermanentCrop,6,0,1782282146.9620223,1782282149.142957,2.1809346675872803,9.542909210098417,5.6843
4,eurosat_imgs/0_AnnualCrop_04.png,0,PermanentCrop,6,0,1782282149.1439567,1782282151.2857237,2.1417670249938965,9.611630422981161,5.1813
5,eurosat_imgs/0_AnnualCrop_05.png,0,PermanentCrop,6,0,1782282151.2866619,1782282153.5286462,2.2419843673706055,7.371308302259445,4.366149999999999
6,eurosat_imgs/0_AnnualCrop_06.png,0,PermanentCrop,6,0,1782282153.5293667,1782282155.6153705,2.0860037803649902,10.435431235957791,5.7912
7,eurosat_imgs/0_AnnualCrop_07.png,0,PermanentCrop,6,0,1782282155.6162965,1782282157.886881,2.2705845832824707,7.132984703767299,3.8570499999999996
8,eurosat_imgs/0_AnnualCrop_08.png,0,PermanentCrop,6,0,1782282157.887864,1782282159.9754899,2.087625741958618,10.271626451292555,5.6698
9,eurosat_imgs/0_AnnualCrop_09.png,0,PermanentCrop,6,0,1782282159.976708,1782282162.2063808,2.229672908782959,6.7162893411562985,3.448
10,eurosat_imgs/0_AnnualCrop_10.png,0,PermanentCrop,6,0,1782282162.2070835,1782282164.3689404,2.1618568897247314,8.392726682706883,4.97915
11,eurosat_imgs/0_AnnualCrop_11.png,0,PermanentCrop,6,0,1782282164.3699644,1782282166.555328,2.185363531112671,8.650509380578995,5.268
12,eurosat_imgs/0_AnnualCrop_12.png,0,PermanentCrop,6,0,1782282166.5561256,1782282168.7558575,2.1997318267822266,7.476832075852615,4.1661
13,eurosat_imgs/0_AnnualCrop_13.png,0,PermanentCrop,6,0,1782282168.7566817,1782282170.8848586,2.1281769275665283,9.504553195102796,5.3862
14,eurosat_imgs/0_AnnualCrop_14.png,0,PermanentCrop,6,0,1782282170.8858762,1782282173.1403718,2.254495620727539,6.837377956151962,3.144
15,eurosat_imgs/0_AnnualCrop_15.png,0,PermanentCrop,6,0,1782282173.1413448,1782282175.2193706,2.0780258178710938,8.754441956391206,5.3892
16,eurosat_imgs/0_AnnualCrop_16.png,0,PermanentCrop,6,0,1782282175.2201054,1782282177.439502,2.2193965911865234,6.857537113532041,3.4582
17,eurosat_imgs/0_AnnualCrop_17.png,0,PermanentCrop,6,0,1782282177.440375,1782282179.5770822,2.136707067489624,8.90849405569779,5.39945
18,eurosat_imgs/0_AnnualCrop_18.png,0,PermanentCrop,6,0,1782282179.577926,1782282181.7487483,2.1708223819732666,9.056442469973312,5.28315
19,eurosat_imgs/0_AnnualCrop_19.png,0,PermanentCrop,6,0,1782282181.7497458,1782282183.9472315,2.1974856853485107,8.619045970018094,5.166
20,eurosat_imgs/0_AnnualCrop_20.png,0,PermanentCrop,6,0,1782282183.9482658,1782282186.07884,2.1305742263793945,8.180283674440886,4.66045
21,eurosat_imgs/0_AnnualCrop_21.png,0,PermanentCrop,6,0,1782282186.08009,1782282188.307236,2.2271459102630615,6.701025193538421,3.246
22,eurosat_imgs/0_AnnualCrop_22.png,0,PermanentCrop,6,0,1782282188.3082976,1782282190.3711448,2.062847137451172,10.13727685443775,6.074
23,eurosat_imgs/0_AnnualCrop_23.png,0,PermanentCrop,6,0,1782282190.3724895,1782282192.629941,2.2574515342712402,6.771508058488369,3.1491
