n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,eurosat_imgs/0_AnnualCrop_00.png,0,PermanentCrop,6,0,1782276289.9424002,1782276292.5948946,2.652494430541992,3.3323402856743853,1.931
1,eurosat_imgs/0_AnnualCrop_01.png,0,PermanentCrop,6,0,1782276292.5957203,1782276294.7370696,2.1413493156433105,7.880052778971822,4.663
2,eurosat_imgs/0_AnnualCrop_02.png,0,PermanentCrop,6,0,1782276294.7377605,1782276296.9688692,2.2311086654663086,8.175618816018105,4.361
3,eurosat_imgs/0_AnnualCrop_03.png,0,PermanentCrop,6,0,1782276296.9696236,1782276299.164276,2.1946523189544678,8.0793814961973,4.761
4,eurosat_imgs/0_AnnualCrop_04.png,0,PermanentCrop,6,0,1782276299.1650329,1782276301.3331885,2.1681556701660156,8.730328977731558,4.866
5,eurosat_imgs/0_AnnualCrop_05.png,0,PermanentCrop,6,0,1782276301.333893,1782276303.592221,2.2583279609680176,7.093755560471461,3.548
6,eurosat_imgs/0_AnnualCrop_06.png,0,PermanentCrop,6,0,1782276303.5930536,1782276305.7310576,2.1380040645599365,10.850933260290246,5.771
7,eurosat_imgs/0_AnnualCrop_07.png,0,PermanentCrop,6,0,1782276305.731985,1782276308.0532618,2.3212766647338867,7.693163798960243,3.953
8,eurosat_imgs/0_AnnualCrop_08.png,0,PermanentCrop,6,0,1782276308.0541167,1782276310.1899054,2.135788679122925,9.655057543836143,5.47
9,eurosat_imgs/0_AnnualCrop_09.png,0,PermanentCrop,6,0,1782276310.1905913,1782276312.4498065,2.2592151165008545,7.913522229701281,4.364049999999999
10,eurosat_imgs/0_AnnualCrop_10.png,0,PermanentCrop,6,0,1782276312.4504664,1782276314.6160998,2.1656334400177,10.223271586079347,5.872
11,eurosat_imgs/0_AnnualCrop_11.png,0,PermanentCrop,6,0,1782276314.6169717,1782276316.8091307,2.1921589374542236,7.808245298397847,4.257
12,eurosat_imgs/0_AnnualCrop_12.png,0,PermanentCrop,6,0,1782276316.8103883,1782276319.0067258,2.1963374614715576,7.17456751131384,3.75
13,eurosat_imgs/0_AnnualCrop_13.png,0,PermanentCrop,6,0,1782276319.0076375,1782276321.1188967,2.1112592220306396,9.765351734236667,5.771
14,eurosat_imgs/0_AnnualCrop_14.png,0,PermanentCrop,6,0,1782276321.1198177,1782276323.329523,2.209705352783203,7.244547328655536,3.75
15,eurosat_imgs/0_AnnualCrop_15.png,0,PermanentCrop,6,0,1782276323.330196,1782276325.4149592,2.084763288497925,10.387101444575523,5.79625
16,eurosat_imgs/0_AnnualCrop_16.png,0,PermanentCrop,6,0,1782276325.4157102,1782276327.670139,2.2544288635253906,7.006652186393738,3.55305
17,eurosat_imgs/0_AnnualCrop_17.png,0,PermanentCrop,6,0,1782276327.6711216,1782276329.7977417,2.126620054244995,9.39591107282513,5.268
18,eurosat_imgs/0_AnnualCrop_18.png,0,PermanentCrop,6,0,1782276329.7986133,1782276332.011782,2.2131686210632324,7.201991180419922,3.6591000000000005
19,eurosat_imgs/0_AnnualCrop_19.png,0,PermanentCrop,6,0,1782276332.0126636,1782276334.2164557,2.203792095184326,8.78290260416422,5.2741999999999996
20,eurosat_imgs/0_AnnualCrop_20.png,0,PermanentCrop,6,0,1782276334.217309,1782276336.396654,2.179344892501831,7.895422438445845,4.17115
21,eurosat_imgs/0_AnnualCrop_21.png,0,PermanentCrop,6,0,1782276336.3976238,1782276338.6308079,2.2331840991973877,7.059709063190223,3.649
22,eurosat_imgs/0_AnnualCrop_22.png,0,PermanentCrop,6,0,1782276338.6320827,1782276340.7359338,2.103851079940796,10.2093638217127,5.673
23,eurosat_imgs/0_AnnualCrop_23.png,0,PermanentCrop,6,0,1782276340.7367227,1782276342.990354,2.253631353378296,7.221818012684584,3.8570499999999996
24,eurosat_imgs/0_AnnualCrop_24.png,0,PermanentCrop,6,0,1782276342.9912834,1782276345.0848184,2.0935349464416504,9.545783789441392,5.572
25,eurosat_imgs/0_AnnualCrop_25.png,0,PermanentCrop,6,0,1782276345.0856128,1782276347.3220537,2.236440896987915,7.467590844319417,3.9733
26,eurosat_imgs/0_AnnualCrop_26.png,0,PermanentCrop,6,0,1782276347.3229024,1782276349.487527,2.1646244525909424,9.23257900071144,5.08015
27,eurosat_imgs/0_AnnualCrop_27.png,0,PermanentCrop,6,0,1782276349.488401,1782276351.6822276,2.193826675415039,9.219303469584538,5.369
28,eurosat_imgs/0_AnnualCrop_28.png,0,PermanentCrop,6,0,1782276351.6831818,1782276353.9077194,2.2245376110076904,8.1260077353074,4.561
29,eurosat_imgs/0_AnnualCrop_29.png,0,PermanentCrop,6,0,1782276353.9084527,1782276356.0546548,2.1462020874023438,9.360095614182322,5.28315
30,eurosat_imgs/0_AnnualCrop_30.png,0,PermanentCrop,6,0,1782276356.0558527,1782276358.3038871,2.2480344772338867,7.045171449065209,3.5580999999999996
31,eurosat_imgs/0_AnnualCrop_31.png,0,PermanentCrop,6,0,1782276358.304756,1782276360.4020343,2.097278356552124,8.44086518673639,4.4802
32,eurosat_imgs/0_AnnualCrop_32.png,0,PermanentCrop,6,0,1782276360.402834,1782276362.6507568,2.247922897338867,7.0687059468269355,3.4531
33,eurosat_imgs/0_AnnualCrop_33.png,0,PermanentCrop,6,0,1782276362.6515582,1782276364.7923994,2.140841245651245,10.454827153424958,5.876
34,eurosat_imgs/0_AnnualCrop_34.png,0,PermanentCrop,6,0,1782276364.7930844,1782276366.9905047,2.197420358657837,7.012644493818283,3.7631000000000006
35,eurosat_imgs/0_AnnualCrop_35.png,0,PermanentCrop,6,0,1782276366.9912055,1782276369.1703181,2.179112672805786,8.400144105562797,5.268
36,eurosat_imgs/0_AnnualCrop_36.png,0,PermanentCrop,6,0,1782276369.1711562,1782276371.3498497,2.1786935329437256,8.977880042898027,5.28315
37,eurosat_imgs/0_AnnualCrop_37.png,0,PermanentCrop,6,0,1782276371.350767,1782276373.5758965,2.2251296043395996,7.047213675364469,3.649
38,eurosat_imgs/0_AnnualCrop_38.png,0,PermanentCrop,6,0,1782276373.576842,1782276375.6652453,2.0884032249450684,9.7504159972861,5.568
39,eurosat_imgs/0_AnnualCrop_39.png,0,PermanentCrop,6,0,1782276375.6659377,1782276377.9567986,2.290860891342163,7.349584611328636,3.852
