n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,eurosat_imgs/0_AnnualCrop_00.png,0,Pasture,5,0,1782495749.4810805,1782495750.8634312,1.3823506832122803,1.6695916355947655,1.6077
1,eurosat_imgs/0_AnnualCrop_01.png,0,Pasture,5,0,1782495750.8672311,1782495751.7204297,0.8531985282897949,0.8938676581382752,1.1759
2,eurosat_imgs/0_AnnualCrop_02.png,0,Pasture,5,0,1782495751.7217607,1782495752.5574906,0.8357298374176025,1.8808378567695616,2.8682999999999996
3,eurosat_imgs/0_AnnualCrop_03.png,0,AnnualCrop,0,1,1782495752.561377,1782495753.4012873,0.8399102687835693,2.6263434164683024,3.343
4,eurosat_imgs/0_AnnualCrop_04.png,0,Pasture,5,0,1782495753.4048743,1782495754.250555,0.8456807136535645,2.831620922883352,3.442
5,eurosat_imgs/0_AnnualCrop_05.png,0,Pasture,5,0,1782495754.2541642,1782495755.101533,0.8473687171936035,2.8141115097999574,3.343
6,eurosat_imgs/0_AnnualCrop_06.png,0,AnnualCrop,0,1,1782495755.10516,1782495755.943971,0.838810920715332,2.791339061228434,3.3727
7,eurosat_imgs/0_AnnualCrop_07.png,0,Pasture,5,0,1782495755.9480784,1782495756.7922819,0.8442034721374512,2.8260555433273313,3.442
8,eurosat_imgs/0_AnnualCrop_08.png,0,Pasture,5,0,1782495756.793435,1782495757.642215,0.8487799167633057,2.8356605312506358,3.442
9,eurosat_imgs/0_AnnualCrop_09.png,0,AnnualCrop,0,1,1782495757.646385,1782495758.4934456,0.8470606803894043,2.858321559906006,3.442
10,eurosat_imgs/0_AnnualCrop_10.png,0,Pasture,5,0,1782495758.4973176,1782495759.3438613,0.8465437889099121,2.862503167819977,3.442
11,eurosat_imgs/0_AnnualCrop_11.png,0,Pasture,5,0,1782495759.347847,1782495760.1929073,0.8450603485107422,2.8461069164276123,3.4426
12,eurosat_imgs/0_AnnualCrop_12.png,0,SeaLake,9,0,1782495760.1966598,1782495761.0394268,0.8427670001983643,2.8581238858870095,3.442
13,eurosat_imgs/0_AnnualCrop_13.png,0,Pasture,5,0,1782495761.043062,1782495761.8881004,0.8450384140014648,2.8396670864105227,3.442
14,eurosat_imgs/0_AnnualCrop_14.png,0,Pasture,5,0,1782495761.889418,1782495762.738008,0.8485901355743408,2.835026497602463,3.442
15,eurosat_imgs/0_AnnualCrop_15.png,0,Pasture,5,0,1782495762.7418845,1782495763.5925796,0.8506951332092285,2.853174763774872,3.4406
16,eurosat_imgs/0_AnnualCrop_16.png,0,Pasture,5,0,1782495763.5962973,1782495764.442606,0.846308708190918,2.878352337137858,3.442
17,eurosat_imgs/0_AnnualCrop_17.png,0,Pasture,5,0,1782495764.4465828,1782495765.295963,0.8493802547454834,2.849104501167933,3.442
18,eurosat_imgs/0_AnnualCrop_18.png,0,Pasture,5,0,1782495765.2998035,1782495766.1464865,0.8466830253601074,2.8286550966580712,3.442
19,eurosat_imgs/0_AnnualCrop_19.png,0,Pasture,5,0,1782495766.1504273,1782495766.9936647,0.8432374000549316,2.8114097076098123,3.442
20,eurosat_imgs/0_AnnualCrop_20.png,0,Pasture,5,0,1782495766.9952,1782495767.8477118,0.8525118827819824,2.8306236214637757,3.3707
21,eurosat_imgs/0_AnnualCrop_21.png,0,Pasture,5,0,1782495767.8518043,1782495768.7005363,0.8487319946289062,2.857850372314453,3.4406
22,eurosat_imgs/0_AnnualCrop_22.png,0,Pasture,5,0,1782495768.7045047,1782495769.5493262,0.8448214530944824,2.85048390417099,3.442
23,eurosat_imgs/0_AnnualCrop_23.png,0,Pasture,5,0,1782495769.5531743,1782495770.39873,0.8455557823181152,2.8704363994280495,3.543
24,eurosat_imgs/0_AnnualCrop_24.png,0,Pasture,5,0,1782495770.4028609,1782495771.25328,0.8504190444946289,2.932457470178604,3.543
25,eurosat_imgs/0_AnnualCrop_25.png,0,AnnualCrop,0,1,1782495771.2571983,1782495772.1032817,0.846083402633667,2.9463444357713064,3.644
26,eurosat_imgs/0_AnnualCrop_26.png,0,Pasture,5,0,1782495772.1045744,1782495772.9478261,0.8432517051696777,2.8797045731544495,3.543
27,eurosat_imgs/0_AnnualCrop_27.png,0,Pasture,5,0,1782495772.9517415,1782495773.7975514,0.8458099365234375,2.8656040649414063,3.442
28,eurosat_imgs/0_AnnualCrop_28.png,0,Pasture,5,0,1782495773.801447,1782495774.6432498,0.8418028354644775,2.903097378571828,3.543
29,eurosat_imgs/0_AnnualCrop_29.png,0,AnnualCrop,0,1,1782495774.646896,1782495775.4888415,0.8419456481933594,2.9376044962565104,3.644
30,eurosat_imgs/0_AnnualCrop_30.png,0,Pasture,5,0,1782495775.4926362,1782495776.3364124,0.8437762260437012,2.943991504414876,3.644
31,eurosat_imgs/0_AnnualCrop_31.png,0,Pasture,5,0,1782495776.3401108,1782495777.190403,0.8502922058105469,2.943881674957275,3.543
32,eurosat_imgs/0_AnnualCrop_32.png,0,Pasture,5,0,1782495777.1919782,1782495778.0368598,0.844881534576416,2.8968734803199765,3.543
33,eurosat_imgs/0_AnnualCrop_33.png,0,River,8,0,1782495778.0406182,1782495778.80439,0.7637717723846436,2.5932401739450603,3.442
34,eurosat_imgs/0_AnnualCrop_34.png,0,Pasture,5,0,1782495778.8083484,1782495779.6491427,0.8407943248748779,2.8328763074534278,3.442
35,eurosat_imgs/0_AnnualCrop_35.png,0,Pasture,5,0,1782495779.6529994,1782495780.4995553,0.8465559482574463,2.8793625282764435,3.442
36,eurosat_imgs/0_AnnualCrop_36.png,0,Pasture,5,0,1782495780.5036545,1782495781.350564,0.8469095230102539,2.909247132809957,3.543
37,eurosat_imgs/0_AnnualCrop_37.png,0,Pasture,5,0,1782495781.3543997,1782495782.1991038,0.8447041511535645,2.89598371181488,3.543
38,eurosat_imgs/0_AnnualCrop_38.png,0,Pasture,5,0,1782495782.200466,1782495783.04551,0.8450441360473633,2.86937553208669,3.444
39,eurosat_imgs/0_AnnualCrop_39.png,0,Pasture,5,0,1782495783.0492132,1782495783.8952918,0.846078634262085,2.8495364349524177,3.442
40,eurosat_imgs/0_AnnualCrop_40.png,0,Pasture,5,0,1782495783.8992443,1782495784.7470012,0.8477568626403809,2.8386290788650514,3.442
41,eurosat_imgs/0_AnnualCrop_41.png,0,Pasture,5,0,1782495784.7509646,1782495785.5959952,0.8450305461883545,2.8129940175215404,3.343
42,eurosat_imgs/0_AnnualCrop_42.png,0,Pasture,5,0,1782495785.5997264,1782495786.448012,0.8482856750488281,2.847016382598877,3.444
43,eurosat_imgs/0_AnnualCrop_43.png,0,Pasture,5,0,1782495786.451653,1782495787.2949162,0.8432631492614746,2.80188235727946,3.343
44,eurosat_imgs/0_AnnualCrop_44.png,0,Pasture,5,0,1782495787.2962322,1782495788.140477,0.8442447185516357,2.810828365945816,3.3732999999999995
45,eurosat_imgs/0_AnnualCrop_45.png,0,Pasture,5,0,1782495788.1442292,1782495788.991727,0.8474979400634766,2.8384401008605953,3.4426
46,eurosat_imgs/0_AnnualCrop_46.png,0,Pasture,5,0,1782495788.995951,1782495789.8441675,0.8482165336608887,2.8925314753214515,3.444
47,eurosat_imgs/0_AnnualCrop_47.png,0,River,8,0,1782495789.8480768,1782495790.6152265,0.7671496868133545,2.5974592467376163,3.444
48,eurosat_imgs/0_AnnualCrop_48.png,0,Pasture,5,0,1782495790.6190362,1782495791.462701,0.8436648845672607,2.904344487285614,3.543
49,eurosat_imgs/0_AnnualCrop_49.png,0,Pasture,5,0,1782495791.466748,1782495792.311614,0.8448660373687744,2.9150131265322368,3.5436
50,eurosat_imgs/1_Forest_00.png,1,Forest,1,1,1782495792.3128803,1782495793.0769346,0.7640542984008789,2.636339969928448,3.5438
