n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,eurosat_imgs/0_AnnualCrop_00.png,0,Highway,3,0,1782281164.6744738,1782281166.099494,1.4250202178955078,1.9734249985504149,1.929
1,eurosat_imgs/0_AnnualCrop_01.png,0,River,8,0,1782281166.1004221,1782281167.3760989,1.2756767272949219,2.1358307533264163,2.9359499999999996
2,eurosat_imgs/0_AnnualCrop_02.png,0,Forest,1,0,1782281167.3768835,1782281168.6001954,1.2233119010925293,4.458749459136617,4.9589
3,eurosat_imgs/0_AnnualCrop_03.png,0,AnnualCrop,0,1,1782281168.600998,1782281169.8816488,1.2806508541107178,5.786038770274684,5.065
4,eurosat_imgs/0_AnnualCrop_04.png,0,AnnualCrop,0,1,1782281169.8825727,1782281171.2480602,1.3654875755310059,6.577439860701561,5.771
5,eurosat_imgs/0_AnnualCrop_05.png,0,AnnualCrop,0,1,1782281171.2489202,1782281172.7042549,1.4553346633911133,5.0653796160125735,3.753
6,eurosat_imgs/0_AnnualCrop_06.png,0,Forest,1,0,1782281172.7054012,1782281173.8961346,1.1907334327697754,4.3928424398558485,3.956
7,eurosat_imgs/0_AnnualCrop_07.png,0,HerbaceousVegetation,2,0,1782281173.8971775,1782281175.7701485,1.8729710578918457,7.898602734623532,5.166
8,eurosat_imgs/0_AnnualCrop_08.png,0,Forest,1,0,1782281175.7711082,1782281177.074123,1.3030147552490234,4.653348955071491,3.9329999999999994
9,eurosat_imgs/0_AnnualCrop_09.png,0,Forest,1,0,1782281177.0751262,1782281178.318145,1.2430188655853271,4.606514914144169,4.956849999999999
10,eurosat_imgs/0_AnnualCrop_10.png,0,Forest,1,0,1782281178.3189828,1782281179.5423405,1.2233576774597168,5.591734923158373,5.17
11,eurosat_imgs/0_AnnualCrop_11.png,0,Forest,1,0,1782281179.5434086,1782281180.7594876,1.2160789966583252,5.1096875623681335,4.764
12,eurosat_imgs/0_AnnualCrop_12.png,0,AnnualCrop,0,1,1782281180.760569,1782281182.219841,1.4592719078063965,5.237326877117157,3.75
13,eurosat_imgs/0_AnnualCrop_13.png,0,AnnualCrop,0,1,1782281182.2208276,1782281183.617057,1.3962295055389404,5.350351465225219,4.781599999999998
14,eurosat_imgs/0_AnnualCrop_14.png,0,AnnualCrop,0,1,1782281183.6179273,1782281184.9127321,1.2948048114776611,5.829774219886117,5.5481
15,eurosat_imgs/0_AnnualCrop_15.png,0,HerbaceousVegetation,2,0,1782281184.9134924,1782281187.013364,2.0998716354370117,9.80367637969352,5.872
16,eurosat_imgs/0_AnnualCrop_16.png,0,Forest,1,0,1782281187.0144353,1782281188.292514,1.2780787944793701,5.119261258322259,4.549099999999999
17,eurosat_imgs/0_AnnualCrop_17.png,0,AnnualCrop,0,1,1782281188.2935164,1782281189.6276798,1.3341634273529053,4.90357265947176,4.0447999999999995
18,eurosat_imgs/0_AnnualCrop_18.png,0,AnnualCrop,0,1,1782281189.6287146,1782281190.9949756,1.3662610054016113,6.5193990249832465,5.369
19,eurosat_imgs/0_AnnualCrop_19.png,0,AnnualCrop,0,1,1782281190.9960668,1782281192.4358413,1.439774513244629,5.318084044383122,4.03175
20,eurosat_imgs/0_AnnualCrop_20.png,0,Residential,7,0,1782281192.437123,1782281193.812997,1.3758740425109863,6.227721869170665,6.044299999999999
21,eurosat_imgs/0_AnnualCrop_21.png,0,AnnualCrop,0,1,1782281193.8138425,1782281195.1263964,1.312553882598877,6.519740472669187,6.3679
22,eurosat_imgs/0_AnnualCrop_22.png,0,AnnualCrop,0,1,1782281195.1274774,1782281196.567251,1.4397735595703125,5.901964076115535,4.761
23,eurosat_imgs/0_AnnualCrop_23.png,0,Forest,1,0,1782281196.568437,1782281197.8507116,1.2822744846343994,4.773294644583827,3.9411
24,eurosat_imgs/0_AnnualCrop_24.png,0,AnnualCrop,0,1,1782281197.8519008,1782281199.1716666,1.3197658061981201,6.144255782438361,5.358899999999999
25,eurosat_imgs/0_AnnualCrop_25.png,0,AnnualCrop,0,1,1782281199.1727104,1782281200.4734461,1.3007357120513916,6.689966535713362,5.6488
26,eurosat_imgs/0_AnnualCrop_26.png,0,AnnualCrop,0,1,1782281200.4744785,1782281201.90879,1.4343116283416748,5.548032123355865,4.9234
27,eurosat_imgs/0_AnnualCrop_27.png,0,Forest,1,0,1782281201.9095767,1782281203.1754022,1.2658255100250244,4.4303342491958455,4.1255999999999995
28,eurosat_imgs/0_AnnualCrop_28.png,0,AnnualCrop,0,1,1782281203.176431,1782281204.4676256,1.2911946773529053,5.430588740944862,4.856949999999999
29,eurosat_imgs/0_AnnualCrop_29.png,0,Forest,1,0,1782281204.4683542,1782281205.6500003,1.1816461086273193,4.813351020199913,4.559
30,eurosat_imgs/0_AnnualCrop_30.png,0,Forest,1,0,1782281205.650981,1782281206.949261,1.2982800006866455,4.55143100066807,3.753
31,eurosat_imgs/0_AnnualCrop_31.png,0,Forest,1,0,1782281206.9503136,1782281208.2193244,1.2690107822418213,4.51580245579844,4.3387
32,eurosat_imgs/0_AnnualCrop_32.png,0,AnnualCrop,0,1,1782281208.220594,1782281209.5493515,1.3287575244903564,5.328664305604023,4.4498999999999995
