n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,eurosat_imgs/0_AnnualCrop_00.png,0,AnnualCrop,0,1,1782496178.2094905,1782496180.6612022,2.451711654663086,3.0409777000338534,1.9168
1,eurosat_imgs/0_AnnualCrop_01.png,0,AnnualCrop,0,1,1782496180.6619418,1782496182.5889142,1.9269723892211914,5.456052293104284,3.241
2,eurosat_imgs/0_AnnualCrop_02.png,0,River,8,0,1782496182.589656,1782496184.3510334,1.7613773345947266,5.554475015332622,3.343
3,eurosat_imgs/0_AnnualCrop_03.png,0,AnnualCrop,0,1,1782496184.3520164,1782496186.2589834,1.9069669246673584,6.147949190602583,3.37965
4,eurosat_imgs/0_AnnualCrop_04.png,0,AnnualCrop,0,1,1782496186.2598598,1782496188.1851044,1.9252445697784424,6.1287329636882335,3.3436999999999997
5,eurosat_imgs/0_AnnualCrop_05.png,0,River,8,0,1782496188.1858416,1782496189.965092,1.7792503833770752,5.62065196108818,3.343
6,eurosat_imgs/0_AnnualCrop_06.png,0,River,8,0,1782496189.9658582,1782496191.7481549,1.7822966575622559,5.67339522166406,3.444
7,eurosat_imgs/0_AnnualCrop_07.png,0,River,8,0,1782496191.7487743,1782496193.5268757,1.7781014442443848,5.6079652581363915,3.343
8,eurosat_imgs/0_AnnualCrop_08.png,0,River,8,0,1782496193.5277834,1782496195.312475,1.784691572189331,5.896908807992935,3.596
9,eurosat_imgs/0_AnnualCrop_09.png,0,River,8,0,1782496195.3133256,1782496197.0885425,1.775216817855835,5.715976251393557,3.444
10,eurosat_imgs/0_AnnualCrop_10.png,0,AnnualCrop,0,1,1782496197.08949,1782496199.0071332,1.9176433086395264,6.281466262543902,3.48065
11,eurosat_imgs/0_AnnualCrop_11.png,0,AnnualCrop,0,1,1782496199.0080826,1782496200.9227045,1.9146218299865723,6.303667125603733,3.4793499999999997
12,eurosat_imgs/0_AnnualCrop_12.png,0,AnnualCrop,0,1,1782496200.923661,1782496202.8473341,1.923673152923584,6.403342139861163,3.647
13,eurosat_imgs/0_AnnualCrop_13.png,0,AnnualCrop,0,1,1782496202.8480797,1782496204.7641356,1.9160559177398682,6.301907913446427,3.545
14,eurosat_imgs/0_AnnualCrop_14.png,0,AnnualCrop,0,1,1782496204.7650998,1782496206.6818385,1.916738748550415,6.30003839313984,3.545
