n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,eurosat_imgs/0_AnnualCrop_00.png,0,Forest,1,0,1782490107.8881745,1782490119.703524,11.815349578857422,33.49527233505249,3.651
1,eurosat_imgs/0_AnnualCrop_01.png,0,Highway,3,0,1782490119.7047265,1782490130.8281565,11.123430013656616,40.170658267136155,5.291199999999999
2,eurosat_imgs/0_AnnualCrop_02.png,0,HerbaceousVegetation,2,0,1782490130.8318946,1782490142.4298186,11.597923994064331,41.97820500698438,5.351799999999998
3,eurosat_imgs/0_AnnualCrop_03.png,0,AnnualCrop,0,1,1782490142.433821,1782490153.7759562,11.342135190963745,40.57217186287623,5.268
4,eurosat_imgs/0_AnnualCrop_04.png,0,Highway,3,0,1782490153.7798953,1782490164.9965587,11.216663360595703,40.09062084336714,5.181299999999998
5,eurosat_imgs/0_AnnualCrop_05.png,0,Highway,3,0,1782490165.0002544,1782490176.1320877,11.13183331489563,40.056122220456906,5.369
6,eurosat_imgs/0_AnnualCrop_06.png,0,Forest,1,0,1782490176.1357615,1782490187.2360392,11.100277662277222,40.203280134398106,5.29325
7,eurosat_imgs/0_AnnualCrop_07.png,0,Highway,3,0,1782490187.239934,1782490198.4599214,11.219987392425537,38.59624919332811,3.953
8,eurosat_imgs/0_AnnualCrop_08.png,0,Forest,1,0,1782490198.463736,1782490209.5776002,11.113864183425903,37.62320872694254,3.849
9,eurosat_imgs/0_AnnualCrop_09.png,0,HerbaceousVegetation,2,0,1782490209.58154,1782490221.1619067,11.580366611480713,39.49475559406513,3.8275999999999986
10,eurosat_imgs/0_AnnualCrop_10.png,0,Highway,3,0,1782490221.1660323,1782490232.3899097,11.223877429962158,42.08812320611693,5.771
11,eurosat_imgs/0_AnnualCrop_11.png,0,Forest,1,0,1782490232.393868,1782490243.5815163,11.187648296356201,41.574148618373,5.381149999999998
12,eurosat_imgs/0_AnnualCrop_12.png,0,HerbaceousVegetation,2,0,1782490243.5855305,1782490255.1877933,11.602262735366821,42.4561149701968,5.34375
13,eurosat_imgs/0_AnnualCrop_13.png,0,HerbaceousVegetation,2,0,1782490255.1916587,1782490266.7872467,11.595587968826294,40.73247234229925,3.849
14,eurosat_imgs/0_AnnualCrop_14.png,0,HerbaceousVegetation,2,0,1782490266.7910724,1782490278.4670875,11.676015138626099,43.18444706358656,5.338699999999999
15,eurosat_imgs/0_AnnualCrop_15.png,0,Pasture,5,0,1782490278.46822,1782490289.7452376,11.277017593383789,39.44853758926966,3.753
16,eurosat_imgs/0_AnnualCrop_16.png,0,Pasture,5,0,1782490289.749078,1782490301.0626898,11.31361174583435,41.938031404222244,5.467149999999999
17,eurosat_imgs/0_AnnualCrop_17.png,0,Forest,1,0,1782490301.064141,1782490312.2240887,11.159947633743286,39.038799760882625,3.854
18,eurosat_imgs/0_AnnualCrop_18.png,0,AnnualCrop,0,1,1782490312.227809,1782490323.5858617,11.358052730560303,43.36555389480449,5.47
19,eurosat_imgs/0_AnnualCrop_19.png,0,AnnualCrop,0,1,1782490323.5896688,1782490334.8842518,11.294583082199097,40.41491285975255,3.9655999999999993
