n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs_full/church_s0005000.png,church,railway station,railway_station,0,1782902502.431248,1782902506.805963,4.374715089797974,7.477654453359152,2.738
1,/home/htj/resisc45/imgs_full/church_s0005001.png,church,storage tank,storage_tank,0,1782902506.8072987,1782902510.0007088,3.1934101581573486,9.47621654360635,3.244
2,/home/htj/resisc45/imgs_full/airport_s0005002.png,airport,airport,airport,1,1782902510.002062,1782902513.0681705,3.066108465194702,9.098336191746924,3.244
3,/home/htj/resisc45/imgs_full/dense_residential_s0005003.png,dense_residential,dense residential,dense_residential,1,1782902513.069866,1782902516.2656481,3.19578218460083,9.38544160078253,3.246
4,/home/htj/resisc45/imgs_full/stadium_s0005004.png,stadium,stadium,stadium,1,1782902516.2674487,1782902519.4543114,3.1868627071380615,9.448991018401724,3.26875
5,/home/htj/resisc45/imgs_full/commercial_area_s0005005.png,commercial_area,palace,palace,0,1782902519.4562602,1782902522.6475902,3.1913299560546875,9.456423552104406,3.266
6,/home/htj/resisc45/imgs_full/sparse_residential_s0005006.png,sparse_residential,forest,forest,0,1782902522.648697,1782902525.7176604,3.0689635276794434,9.127665857897865,3.27865
7,/home/htj/resisc45/imgs_full/chaparral_s0005007.png,chaparral,sparse residential,sparse_residential,0,1782902525.7191293,1782902528.9118521,3.192722797393799,9.420812768595558,3.244
8,/home/htj/resisc45/imgs_full/railway_s0005008.png,railway,railway station,railway_station,0,1782902528.9135122,1782902532.2328014,3.319289207458496,9.830046858318783,3.2539
9,/home/htj/resisc45/imgs_full/basketball_court_s0005009.png,basketball_court,basketball court,basketball_court,1,1782902532.234415,1782902535.555184,3.3207688331604004,9.9176478841387,3.343
10,/home/htj/resisc45/imgs_full/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782902535.5567837,1782902538.8721328,3.3153491020202637,9.953935550475942,3.343
11,/home/htj/resisc45/imgs_full/lake_s0005011.png,lake,lake,lake,1,1782902538.873513,1782902541.9264443,3.052931308746338,9.150200489962543,3.343
12,/home/htj/resisc45/imgs_full/river_s0005012.png,river,airport,airport,0,1782902541.9275885,1782902544.990955,3.063366651535034,9.005560478356148,3.244
13,/home/htj/resisc45/imgs_full/forest_s0005013.png,forest,forest,forest,1,1782902544.992525,1782902548.0479057,3.0553805828094482,9.03210854361642,3.244
14,/home/htj/resisc45/imgs_full/chaparral_s0005014.png,chaparral,sparse residential,sparse_residential,0,1782902548.0491464,1782902551.2381835,3.1890370845794678,9.42747698710646,3.24175
15,/home/htj/resisc45/imgs_full/commercial_area_s0005015.png,commercial_area,commercial area,commercial_area,1,1782902551.2395146,1782902554.4264176,3.1869029998779297,9.469199356351579,3.26875
16,/home/htj/resisc45/imgs_full/baseball_diamond_s0005016.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782902554.4275355,1782902557.7429771,3.315441608428955,9.798478607121162,3.255699999999999
17,/home/htj/resisc45/imgs_full/parking_lot_s0005017.png,parking_lot,parking lot,parking_lot,1,1782902557.7443733,1782902561.0693495,3.3249762058258057,9.913473884845601,3.343
18,/home/htj/resisc45/imgs_full/wetland_s0005018.png,wetland,forest,forest,0,1782902561.0708623,1782902564.1232777,3.052415370941162,9.150123810291289,3.343
19,/home/htj/resisc45/imgs_full/sparse_residential_s0005019.png,sparse_residential,sparse residential,sparse_residential,1,1782902564.1245239,1782902567.3126369,3.18811297416687,9.357623954479184,3.244
20,/home/htj/resisc45/imgs_full/tennis_court_s0005020.png,tennis_court,tennis court,tennis_court,1,1782902567.3141742,1782902570.6238549,3.309680700302124,9.780620040535926,3.244
21,/home/htj/resisc45/imgs_full/baseball_diamond_s0005021.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782902570.6249068,1782902573.937717,3.312810182571411,9.932718806020144,3.343
22,/home/htj/resisc45/imgs_full/ground_track_field_s0005022.png,ground_track_field,stadium,stadium,0,1782902573.9392974,1782902577.1322672,3.192969799041748,9.576628704411643,3.343
23,/home/htj/resisc45/imgs_full/chaparral_s0005023.png,chaparral,chaparral,chaparral,1,1782902577.1340225,1782902580.4563458,3.3223233222961426,10.002541739011633,3.25885
24,/home/htj/resisc45/imgs_full/mobile_home_park_s0005024.png,mobile_home_park,sparse residential,sparse_residential,0,1782902580.4575186,1782902583.643457,3.1859383583068848,9.581880287877151,3.343
25,/home/htj/resisc45/imgs_full/roundabout_s0005025.png,roundabout,intersection,intersection,0,1782902583.6450064,1782902586.707892,3.0628855228424072,9.181793436151963,3.3436999999999997
26,/home/htj/resisc45/imgs_full/golf_course_s0005026.png,golf_course,chaparral,chaparral,0,1782902586.7089922,1782902590.0257096,3.3167173862457275,9.800899876356125,3.244
