n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs450/church_s0005000.png,church,railway station,railway_station,0,1782544915.206403,1782544919.596332,4.3899290561676025,7.676332569332866,2.738
1,/home/htj/resisc45/imgs450/church_s0005001.png,church,storage tank,storage_tank,0,1782544919.6003838,1782544922.7974906,3.1971068382263184,9.471657373019628,3.2445
2,/home/htj/resisc45/imgs450/airport_s0005002.png,airport,airport,airport,1,1782544922.798888,1782544925.8736024,3.074714422225952,9.043573674245314,3.246
3,/home/htj/resisc45/imgs450/dense_residential_s0005003.png,dense_residential,dense residential,dense_residential,1,1782544925.8750136,1782544929.0823894,3.2073757648468018,9.326260947670853,3.246
4,/home/htj/resisc45/imgs450/stadium_s0005004.png,stadium,stadium,stadium,1,1782544929.084137,1782544932.2903626,3.206225633621216,9.465846812327705,3.246
5,/home/htj/resisc45/imgs450/commercial_area_s0005005.png,commercial_area,palace,palace,0,1782544932.2921996,1782544935.5001047,3.2079050540924072,9.4766580411133,3.246
6,/home/htj/resisc45/imgs450/sparse_residential_s0005006.png,sparse_residential,forest,forest,0,1782544935.5017014,1782544938.5800157,3.0783143043518066,9.05024405479431,3.246
7,/home/htj/resisc45/imgs450/chaparral_s0005007.png,chaparral,sparse residential,sparse_residential,0,1782544938.5812898,1782544941.7836452,3.20235538482666,9.363293873519229,3.246
8,/home/htj/resisc45/imgs450/railway_s0005008.png,railway,railway station,railway_station,0,1782544941.78525,1782544945.116096,3.330846071243286,9.774226658518032,3.2558999999999996
9,/home/htj/resisc45/imgs450/basketball_court_s0005009.png,basketball_court,basketball court,basketball_court,1,1782544945.1176836,1782544948.4481528,3.3304691314697266,9.842778153338676,3.345
10,/home/htj/resisc45/imgs450/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782544948.4495502,1782544951.7769709,3.327420711517334,9.776187638282774,3.2558999999999996
11,/home/htj/resisc45/imgs450/lake_s0005011.png,lake,lake,lake,1,1782544951.7784684,1782544954.8530712,3.0746028423309326,9.026474926385013,3.246
12,/home/htj/resisc45/imgs450/river_s0005012.png,river,airport,airport,0,1782544954.854631,1782544957.928062,3.0734310150146484,8.914202082104152,3.246
13,/home/htj/resisc45/imgs450/forest_s0005013.png,forest,forest,forest,1,1782544957.9292865,1782544961.0019665,3.0726799964904785,8.977700546836854,3.246
14,/home/htj/resisc45/imgs450/chaparral_s0005014.png,chaparral,sparse residential,sparse_residential,0,1782544961.0034127,1782544964.2027853,3.1993725299835205,9.366808568967015,3.246
15,/home/htj/resisc45/imgs450/commercial_area_s0005015.png,commercial_area,commercial area,commercial_area,1,1782544964.2046657,1782544967.4085877,3.2039220333099365,9.468882419075882,3.246
16,/home/htj/resisc45/imgs450/baseball_diamond_s0005016.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782544967.4101622,1782544970.7462215,3.336059331893921,9.812707536184181,3.246
17,/home/htj/resisc45/imgs450/parking_lot_s0005017.png,parking_lot,parking lot,parking_lot,1,1782544970.7472975,1782544974.0744336,3.3271360397338867,9.795596030202962,3.343
18,/home/htj/resisc45/imgs450/wetland_s0005018.png,wetland,forest,forest,0,1782544974.075938,1782544977.1441739,3.0682358741760254,9.09497635044618,3.343
19,/home/htj/resisc45/imgs450/sparse_residential_s0005019.png,sparse_residential,sparse residential,sparse_residential,1,1782544977.1454167,1782544980.3473363,3.2019195556640625,9.341485949380058,3.2445
20,/home/htj/resisc45/imgs450/tennis_court_s0005020.png,tennis_court,tennis court,tennis_court,1,1782544980.3488488,1782544983.6816044,3.3327555656433105,9.753864622116089,3.2460999999999998
21,/home/htj/resisc45/imgs450/baseball_diamond_s0005021.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782544983.6832094,1782544987.013192,3.3299825191497803,9.835752434698202,3.345
22,/home/htj/resisc45/imgs450/ground_track_field_s0005022.png,ground_track_field,stadium,stadium,0,1782544987.0147748,1782544990.218233,3.203458309173584,9.513990173130704,3.345
23,/home/htj/resisc45/imgs450/chaparral_s0005023.png,chaparral,chaparral,chaparral,1,1782544990.2201178,1782544993.548339,3.328221082687378,9.845442067857515,3.246
24,/home/htj/resisc45/imgs450/mobile_home_park_s0005024.png,mobile_home_park,sparse residential,sparse_residential,0,1782544993.5500095,1782544996.7522547,3.2022452354431152,9.576398646204096,3.2657999999999996
25,/home/htj/resisc45/imgs450/roundabout_s0005025.png,roundabout,intersection,intersection,0,1782544996.7536948,1782544999.827156,3.0734612941741943,9.149865020606253,3.246
26,/home/htj/resisc45/imgs450/golf_course_s0005026.png,golf_course,chaparral,chaparral,0,1782544999.828233,1782545003.1530373,3.3248043060302734,9.837870531082153,3.246
27,/home/htj/resisc45/imgs450/baseball_diamond_s0005027.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782545003.1543772,1782545006.4815552,3.3271780014038086,9.866580004262923,3.25285
28,/home/htj/resisc45/imgs450/parking_lot_s0005028.png,parking_lot,parking lot,parking_lot,1,1782545006.4832609,1782545009.814423,3.331162214279175,9.914385655342523,3.246
29,/home/htj/resisc45/imgs450/railway_station_s0005029.png,railway_station,thermal power station,thermal_power_station,0,1782545009.8158884,1782545013.142007,3.3261187076568604,9.98264061486519,3.2558999999999996
30,/home/htj/resisc45/imgs450/golf_course_s0005030.png,golf_course,golf course,golf_course,1,1782545013.143538,1782545016.4742777,3.330739736557007,9.99278374182976,3.345
31,/home/htj/resisc45/imgs450/dense_residential_s0005031.png,dense_residential,dense residential,dense_residential,1,1782545016.4758554,1782545019.6765578,3.200702428817749,9.599580416114708,3.2653999999999996
32,/home/htj/resisc45/imgs450/desert_s0005032.png,desert,sea ice,sea_ice,0,1782545019.6779425,1782545022.8772278,3.1992852687835693,9.508780969130365,3.2464
33,/home/htj/resisc45/imgs450/intersection_s0005033.png,intersection,intersection,intersection,1,1782545022.8786767,1782545025.9516683,3.0729916095733643,9.198488217989604,3.246
34,/home/htj/resisc45/imgs450/stadium_s0005034.png,stadium,stadium,stadium,1,1782545025.9528584,1782545029.1514382,3.198579788208008,9.48165668551127,3.246
35,/home/htj/resisc45/imgs450/beach_s0005035.png,beach,beach,beach,1,1782545029.1527715,1782545032.3514884,3.198716878890991,9.539303264772682,3.246
36,/home/htj/resisc45/imgs450/terrace_s0005036.png,terrace,rectangular farmland,rectangular_farmland,0,1782545032.3528788,1782545035.8069942,3.454115390777588,10.388053850814945,3.345
37,/home/htj/resisc45/imgs450/terrace_s0005037.png,terrace,rectangular farmland,rectangular_farmland,0,1782545035.808552,1782545039.261381,3.452828884124756,10.314156784765181,3.2459000000000002
38,/home/htj/resisc45/imgs450/ground_track_field_s0005038.png,ground_track_field,ground track field,ground_track_field,1,1782545039.2629669,1782545042.5905805,3.327613592147827,10.177590771929694,3.3432
39,/home/htj/resisc45/imgs450/sparse_residential_s0005039.png,sparse_residential,sparse residential,sparse_residential,1,1782545042.5921526,1782545045.7891753,3.1970226764678955,9.471824692383146,3.246
40,/home/htj/resisc45/imgs450/overpass_s0005040.png,overpass,intersection,intersection,0,1782545045.7906997,1782545048.8620408,3.071341037750244,9.063470525715086,3.2447
41,/home/htj/resisc45/imgs450/palace_s0005041.png,palace,palace,palace,1,1782545048.8636754,1782545052.065877,3.2022016048431396,9.391495517249693,3.246
42,/home/htj/resisc45/imgs450/rectangular_farmland_s0005042.png,rectangular_farmland,rectangular farmland,rectangular_farmland,1,1782545052.0673373,1782545055.520013,3.4526758193969727,10.26723906451366,3.246
43,/home/htj/resisc45/imgs450/railway_s0005043.png,railway,railway,railway,1,1782545055.5215614,1782545058.7198255,3.1982641220092773,9.7435397026497,3.345
44,/home/htj/resisc45/imgs450/airport_s0005044.png,airport,airport,airport,1,1782545058.7213469,1782545061.7926936,3.0713467597961426,9.177239960939234,3.2466
45,/home/htj/resisc45/imgs450/bridge_s0005045.png,bridge,bridge,bridge,1,1782545061.793752,1782545064.8607073,3.066955327987671,9.18399772965908,3.246
46,/home/htj/resisc45/imgs450/sparse_residential_s0005046.png,sparse_residential,golf course,golf_course,0,1782545064.861978,1782545068.1888893,3.326911211013794,9.826342397520099,3.246
47,/home/htj/resisc45/imgs450/church_s0005047.png,church,dense residential,dense_residential,0,1782545068.190666,1782545071.3931298,3.2024638652801514,9.653255453339645,3.248
48,/home/htj/resisc45/imgs450/dense_residential_s0005048.png,dense_residential,sparse residential,sparse_residential,0,1782545071.3950121,1782545074.6000922,3.205080032348633,9.491141647372329,3.246
49,/home/htj/resisc45/imgs450/railway_s0005049.png,railway,commercial area,commercial_area,0,1782545074.6016545,1782545077.800603,3.198948383331299,9.63259480122516,3.2464
50,/home/htj/resisc45/imgs450/runway_s0005050.png,runway,runway,runway,1,1782545077.8020332,1782545080.999913,3.1978797912597656,9.492765902469033,3.246
51,/home/htj/resisc45/imgs450/snowberg_s0005051.png,snowberg,mountain,mountain,0,1782545081.0043702,1782545084.207038,3.202667713165283,9.495741208076476,3.246
52,/home/htj/resisc45/imgs450/chaparral_s0005052.png,chaparral,desert,desert,0,1782545084.2084568,1782545087.404958,3.1965012550354004,9.505721784842642,3.246
53,/home/htj/resisc45/imgs450/overpass_s0005053.png,overpass,intersection,intersection,0,1782545087.4065597,1782545090.4791713,3.0726115703582764,9.138515812388173,3.246
54,/home/htj/resisc45/imgs450/railway_station_s0005054.png,railway_station,railway station,railway_station,1,1782545090.4805224,1782545093.80936,3.3288376331329346,9.919259095014151,3.246
