n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs_full/church_s0005000.png,church,storage tank,storage_tank,0,1782906694.1331625,1782906700.7829697,6.6498072147369385,14.976053758678763,3.1425
1,/home/htj/resisc45/imgs_full/church_s0005001.png,church,church,church,1,1782906700.7871282,1782906705.2873566,4.500228404998779,13.871412891701809,3.345
2,/home/htj/resisc45/imgs_full/airport_s0005002.png,airport,airport,airport,1,1782906705.2915502,1782906709.8160176,4.524467468261719,13.82774620258959,3.345
3,/home/htj/resisc45/imgs_full/dense_residential_s0005003.png,dense_residential,medium residential,medium_residential,0,1782906709.8180993,1782906714.5692778,4.751178503036499,14.536400314986704,3.345
4,/home/htj/resisc45/imgs_full/stadium_s0005004.png,stadium,stadium,stadium,1,1782906714.5739872,1782906719.3343887,4.760401487350464,14.653089320412601,3.444
5,/home/htj/resisc45/imgs_full/commercial_area_s0005005.png,commercial_area,dense residential,dense_residential,0,1782906719.338832,1782906724.099318,4.760486125946045,14.665074218153956,3.4457
6,/home/htj/resisc45/imgs_full/sparse_residential_s0005006.png,sparse_residential,forest,forest,0,1782906724.1036263,1782906728.6273277,4.523701429367065,13.92332311711432,3.4442
7,/home/htj/resisc45/imgs_full/chaparral_s0005007.png,chaparral,chaparral,chaparral,1,1782906728.6288652,1782906733.6087217,4.979856491088867,15.270415111410207,3.345
8,/home/htj/resisc45/imgs_full/railway_s0005008.png,railway,railway station,railway_station,0,1782906733.6131952,1782906738.597187,4.983991861343384,15.442955418643626,3.545
9,/home/htj/resisc45/imgs_full/basketball_court_s0005009.png,basketball_court,basketball court,basketball_court,1,1782906738.59833,1782906743.589857,4.991527080535889,15.568171347070015,3.446
10,/home/htj/resisc45/imgs_full/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782906743.5919588,1782906748.5769708,4.985012054443359,15.553520849184556,3.543
11,/home/htj/resisc45/imgs_full/lake_s0005011.png,lake,forest,forest,0,1782906748.5810337,1782906753.0851326,4.504098892211914,13.999708593465105,3.545
12,/home/htj/resisc45/imgs_full/river_s0005012.png,river,industrial area,industrial_area,0,1782906753.0893795,1782906758.0797324,4.9903528690338135,15.33053609480529,3.345
13,/home/htj/resisc45/imgs_full/forest_s0005013.png,forest,forest,forest,1,1782906758.084021,1782906762.589697,4.505675792694092,13.996168926619275,3.4536999999999995
14,/home/htj/resisc45/imgs_full/chaparral_s0005014.png,chaparral,sparse residential,sparse_residential,0,1782906762.5935595,1782906767.3443706,4.7508111000061035,14.637134521742901,3.434099999999999
15,/home/htj/resisc45/imgs_full/commercial_area_s0005015.png,commercial_area,commercial area,commercial_area,1,1782906767.349063,1782906772.092778,4.743715047836304,14.751993761201701,3.444
16,/home/htj/resisc45/imgs_full/baseball_diamond_s0005016.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782906772.0970447,1782906777.0724611,4.975416421890259,15.469198731296364,3.444
17,/home/htj/resisc45/imgs_full/parking_lot_s0005017.png,parking_lot,parking lot,parking_lot,1,1782906777.0766864,1782906782.0671563,4.990469932556152,15.62762791293791,3.543
18,/home/htj/resisc45/imgs_full/wetland_s0005018.png,wetland,chaparral,chaparral,0,1782906782.071456,1782906787.0491054,4.977649450302124,15.497741870920766,3.508349999999999
19,/home/htj/resisc45/imgs_full/sparse_residential_s0005019.png,sparse_residential,sparse residential,sparse_residential,1,1782906787.053373,1782906791.8046184,4.7512452602386475,14.840485948396017,3.543
20,/home/htj/resisc45/imgs_full/tennis_court_s0005020.png,tennis_court,tennis court,tennis_court,1,1782906791.8063955,1782906796.7846618,4.97826623916626,15.404415166060131,3.444
21,/home/htj/resisc45/imgs_full/baseball_diamond_s0005021.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782906796.788577,1782906801.7719305,4.98335337638855,15.648975440204143,3.543
22,/home/htj/resisc45/imgs_full/ground_track_field_s0005022.png,ground_track_field,medium residential,medium_residential,0,1782906801.776309,1782906806.5200958,4.743786811828613,14.874057817401658,3.543
23,/home/htj/resisc45/imgs_full/chaparral_s0005023.png,chaparral,chaparral,chaparral,1,1782906806.5242567,1782906811.5040169,4.97976016998291,15.382250210586635,3.444
24,/home/htj/resisc45/imgs_full/mobile_home_park_s0005024.png,mobile_home_park,dense residential,dense_residential,0,1782906811.508386,1782906816.2569916,4.748605728149414,14.839278476232506,3.543
