n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs450/church_s0005000.png,church,storage tank,storage_tank,0,1782547643.0025,1782547649.6684344,6.665934324264526,14.389831513146223,3.0561499999999993
1,/home/htj/resisc45/imgs450/church_s0005001.png,church,church,church,1,1782547649.672425,1782547654.1678615,4.495436429977417,13.570767301860451,3.343
2,/home/htj/resisc45/imgs450/airport_s0005002.png,airport,airport,airport,1,1782547654.1723607,1782547658.667744,4.495383262634277,13.60044490735531,3.343
3,/home/htj/resisc45/imgs450/dense_residential_s0005003.png,dense_residential,medium residential,medium_residential,0,1782547658.6723378,1782547663.4140384,4.741700649261475,14.307573669791221,3.341
4,/home/htj/resisc45/imgs450/stadium_s0005004.png,stadium,stadium,stadium,1,1782547663.4188576,1782547668.170285,4.751427412033081,14.460007730117868,3.442
5,/home/htj/resisc45/imgs450/commercial_area_s0005005.png,commercial_area,dense residential,dense_residential,0,1782547668.1748254,1782547672.9327223,4.757896900177002,14.578475978430578,3.442
6,/home/htj/resisc45/imgs450/sparse_residential_s0005006.png,sparse_residential,forest,forest,0,1782547672.937244,1782547677.4545782,4.517334222793579,14.080869572514295,3.442
7,/home/htj/resisc45/imgs450/chaparral_s0005007.png,chaparral,chaparral,chaparral,1,1782547677.458885,1782547682.4542286,4.9953436851501465,15.09127003758141,3.343
8,/home/htj/resisc45/imgs450/railway_s0005008.png,railway,railway station,railway_station,0,1782547682.4582489,1782547687.436719,4.978470087051392,15.328087089270353,3.442
9,/home/htj/resisc45/imgs450/basketball_court_s0005009.png,basketball_court,basketball court,basketball_court,1,1782547687.4411042,1782547692.4225593,4.981455087661743,15.371762915225512,3.444
10,/home/htj/resisc45/imgs450/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782547692.426678,1782547697.3992484,4.972570419311523,15.280143833723935,3.442
11,/home/htj/resisc45/imgs450/lake_s0005011.png,lake,forest,forest,0,1782547697.4034736,1782547701.9107225,4.507248878479004,13.840690834200382,3.4421
12,/home/htj/resisc45/imgs450/river_s0005012.png,river,industrial area,industrial_area,0,1782547701.912512,1782547706.8990245,4.9865124225616455,15.167177886089583,3.345
13,/home/htj/resisc45/imgs450/forest_s0005013.png,forest,forest,forest,1,1782547706.9032567,1782547711.4179177,4.514661073684692,13.797199274024369,3.444
14,/home/htj/resisc45/imgs450/chaparral_s0005014.png,chaparral,sparse residential,sparse_residential,0,1782547711.4219942,1782547716.1619947,4.740000486373901,14.329303613194398,3.3447
15,/home/htj/resisc45/imgs450/commercial_area_s0005015.png,commercial_area,commercial area,commercial_area,1,1782547716.1666732,1782547720.9064004,4.739727258682251,14.492449622639587,3.442
16,/home/htj/resisc45/imgs450/baseball_diamond_s0005016.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782547720.910514,1782547725.8980477,4.9875335693359375,15.267568771876645,3.444
17,/home/htj/resisc45/imgs450/parking_lot_s0005017.png,parking_lot,parking lot,parking_lot,1,1782547725.9023488,1782547730.8823285,4.979979753494263,15.274503354831175,3.444
18,/home/htj/resisc45/imgs450/wetland_s0005018.png,wetland,chaparral,chaparral,0,1782547730.8866107,1782547735.8692071,4.982596397399902,15.414865616284061,3.442
19,/home/htj/resisc45/imgs450/sparse_residential_s0005019.png,sparse_residential,sparse residential,sparse_residential,1,1782547735.8734388,1782547740.6299512,4.756512403488159,14.597283565123876,3.4436999999999998
20,/home/htj/resisc45/imgs450/tennis_court_s0005020.png,tennis_court,tennis court,tennis_court,1,1782547740.6340349,1782547745.6134064,4.979371547698975,15.189880620227772,3.442
21,/home/htj/resisc45/imgs450/baseball_diamond_s0005021.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782547745.6178188,1782547750.5891883,4.971369504928589,15.267414706647397,3.442
22,/home/htj/resisc45/imgs450/ground_track_field_s0005022.png,ground_track_field,medium residential,medium_residential,0,1782547750.594073,1782547755.3323221,4.738249063491821,14.557875393489995,3.442
23,/home/htj/resisc45/imgs450/chaparral_s0005023.png,chaparral,chaparral,chaparral,1,1782547755.3371089,1782547760.3237603,4.986651420593262,15.329975003146053,3.442
24,/home/htj/resisc45/imgs450/mobile_home_park_s0005024.png,mobile_home_park,dense residential,dense_residential,0,1782547760.3283145,1782547765.076009,4.747694492340088,14.66568480701106,3.444
25,/home/htj/resisc45/imgs450/roundabout_s0005025.png,roundabout,roundabout,roundabout,1,1782547765.0802443,1782547769.8341525,4.753908157348633,14.642987906265256,3.442
26,/home/htj/resisc45/imgs450/golf_course_s0005026.png,golf_course,golf course,golf_course,1,1782547769.8382201,1782547774.8119013,4.973681211471558,15.286948318085889,3.409349999999999
27,/home/htj/resisc45/imgs450/baseball_diamond_s0005027.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782547774.8159132,1782547779.7833831,4.967469930648804,15.435114493486557,3.4433000000000002
28,/home/htj/resisc45/imgs450/parking_lot_s0005028.png,parking_lot,parking lot,parking_lot,1,1782547779.7873504,1782547784.761716,4.974365472793579,15.447025653683736,3.444
29,/home/htj/resisc45/imgs450/railway_station_s0005029.png,railway_station,storage tank,storage_tank,0,1782547784.7633805,1782547789.5100787,4.7466981410980225,14.786303759387561,3.444
30,/home/htj/resisc45/imgs450/golf_course_s0005030.png,golf_course,golf course,golf_course,1,1782547789.5144582,1782547794.4942787,4.979820489883423,15.44796904831041,3.444
31,/home/htj/resisc45/imgs450/dense_residential_s0005031.png,dense_residential,dense residential,dense_residential,1,1782547794.4984307,1782547799.2463338,4.747903108596802,14.76343514821359,3.444
32,/home/htj/resisc45/imgs450/desert_s0005032.png,desert,desert,desert,1,1782547799.2505608,1782547804.001871,4.751310348510742,14.623571678002676,3.442
33,/home/htj/resisc45/imgs450/intersection_s0005033.png,intersection,intersection,intersection,1,1782547804.0064163,1782547808.5124557,4.506039381027222,13.835568617475031,3.442
34,/home/htj/resisc45/imgs450/stadium_s0005034.png,stadium,stadium,stadium,1,1782547808.5167906,1782547813.2537231,4.7369325160980225,14.563529844582082,3.345
35,/home/htj/resisc45/imgs450/beach_s0005035.png,beach,beach,beach,1,1782547813.2578018,1782547817.9919229,4.734121084213257,14.622911008954048,3.442
36,/home/htj/resisc45/imgs450/terrace_s0005036.png,terrace,rectangular farmland,rectangular_farmland,0,1782547817.9963796,1782547823.2206094,5.22422981262207,16.16938876581192,3.442
37,/home/htj/resisc45/imgs450/terrace_s0005037.png,terrace,circular farmland,circular_farmland,0,1782547823.2249885,1782547828.4467266,5.22173810005188,16.269981408496058,3.543
38,/home/htj/resisc45/imgs450/ground_track_field_s0005038.png,ground_track_field,track field,,0,1782547828.4508286,1782547833.2012606,4.750432014465332,14.87119947756599,3.442
39,/home/htj/resisc45/imgs450/sparse_residential_s0005039.png,sparse_residential,sparse residential,sparse_residential,1,1782547833.2055554,1782547837.9552603,4.749704837799072,14.72600749675433,3.442
40,/home/htj/resisc45/imgs450/overpass_s0005040.png,overpass,freeway,freeway,0,1782547837.9596317,1782547842.6995935,4.739961862564087,14.592762587547302,3.4417
41,/home/htj/resisc45/imgs450/palace_s0005041.png,palace,palace,palace,1,1782547842.703843,1782547847.453692,4.74984884262085,14.657865886604085,3.4206
42,/home/htj/resisc45/imgs450/rectangular_farmland_s0005042.png,rectangular_farmland,circular farmland,circular_farmland,0,1782547847.457927,1782547852.6677432,5.209816217422485,16.099917708075566,3.442
43,/home/htj/resisc45/imgs450/railway_s0005043.png,railway,railway,railway,1,1782547852.6718092,1782547857.4207308,4.748921632766724,15.12475005254859,3.543
44,/home/htj/resisc45/imgs450/airport_s0005044.png,airport,airport,airport,1,1782547857.4250422,1782547861.9299006,4.504858493804932,13.970649636268616,3.442
45,/home/htj/resisc45/imgs450/bridge_s0005045.png,bridge,bridge,bridge,1,1782547861.9308372,1782547866.4386408,4.507803678512573,13.827969521567226,3.343
46,/home/htj/resisc45/imgs450/sparse_residential_s0005046.png,sparse_residential,farm,,0,1782547866.4430916,1782547870.9505394,4.507447719573975,13.657960991984606,3.3430999999999997
47,/home/htj/resisc45/imgs450/church_s0005047.png,church,dense residential,dense_residential,0,1782547870.9551125,1782547875.6986678,4.743555307388306,14.527928721427916,3.343
48,/home/htj/resisc45/imgs450/dense_residential_s0005048.png,dense_residential,medium residential,medium_residential,0,1782547875.7036312,1782547880.4500375,4.746406316757202,14.590340008037431,3.442
49,/home/htj/resisc45/imgs450/railway_s0005049.png,railway,commercial area,commercial_area,0,1782547880.4544227,1782547885.1912878,4.736865043640137,14.631555816048667,3.442
50,/home/htj/resisc45/imgs450/runway_s0005050.png,runway,runway,runway,1,1782547885.192886,1782547889.9414804,4.748594284057617,14.709748446632833,3.442
51,/home/htj/resisc45/imgs450/snowberg_s0005051.png,snowberg,mountain,mountain,0,1782547889.9464884,1782547894.6906998,4.744211435317993,14.593589725991091,3.442
52,/home/htj/resisc45/imgs450/chaparral_s0005052.png,chaparral,desert,desert,0,1782547894.694772,1782547899.4409354,4.746163368225098,14.664345263083776,3.4274499999999994
53,/home/htj/resisc45/imgs450/overpass_s0005053.png,overpass,freeway,freeway,0,1782547899.4452348,1782547904.1847084,4.739473581314087,14.627256762635138,3.442
54,/home/htj/resisc45/imgs450/railway_station_s0005054.png,railway_station,railway station,railway_station,1,1782547904.1886418,1782547909.168295,4.9796531200408936,15.231910089695996,3.442
55,/home/htj/resisc45/imgs450/sea_ice_s0005055.png,sea_ice,sea ice,sea_ice,1,1782547909.1699433,1782547913.9066005,4.73665714263916,14.575483470757801,3.442
56,/home/htj/resisc45/imgs450/airplane_s0005056.png,airplane,airport,airport,0,1782547913.9108794,1782547918.4075363,4.496656894683838,13.752069572800398,3.4400999999999997
57,/home/htj/resisc45/imgs450/bridge_s0005057.png,bridge,bridge,bridge,1,1782547918.4115644,1782547922.9194722,4.507907867431641,13.676541679000854,3.343
58,/home/htj/resisc45/imgs450/commercial_area_s0005058.png,commercial_area,commercial area,commercial_area,1,1782547922.9237447,1782547927.6630695,4.7393248081207275,14.378603683037419,3.343
59,/home/htj/resisc45/imgs450/dense_residential_s0005059.png,dense_residential,dense residential,dense_residential,1,1782547927.6675935,1782547932.4446166,4.777023077011108,14.666809652939964,3.44
60,/home/htj/resisc45/imgs450/forest_s0005060.png,forest,forest,forest,1,1782547932.4490469,1782547936.9963474,4.547300577163696,14.342971973560473,3.545
61,/home/htj/resisc45/imgs450/ship_s0005061.png,ship,harbor,harbor,0,1782547937.000595,1782547941.7448053,4.744210243225098,14.683839011022021,3.4436999999999998
62,/home/htj/resisc45/imgs450/baseball_diamond_s0005062.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782547941.749135,1782547946.7393517,4.9902167320251465,15.426722363471987,3.44
63,/home/htj/resisc45/imgs450/basketball_court_s0005063.png,basketball_court,basketball court,basketball_court,1,1782547946.7434294,1782547951.7390385,4.9956090450286865,15.532358868890935,3.44
64,/home/htj/resisc45/imgs450/sparse_residential_s0005064.png,sparse_residential,parking lot,parking_lot,0,1782547951.7433474,1782547956.741804,4.9984564781188965,15.57558799031106,3.4393000000000002
65,/home/htj/resisc45/imgs450/overpass_s0005065.png,overpass,freeway,freeway,0,1782547956.7456968,1782547961.5235076,4.77781081199646,14.790191149616241,3.4415999999999998
66,/home/htj/resisc45/imgs450/airport_s0005066.png,airport,airport,airport,1,1782547961.5277474,1782547966.0481493,4.520401954650879,14.008279198010763,3.44
67,/home/htj/resisc45/imgs450/airplane_s0005067.png,airplane,airport,airport,0,1782547966.0524216,1782547970.5566444,4.504222869873047,13.750660485506057,3.343
68,/home/htj/resisc45/imgs450/island_s0005068.png,island,island,island,1,1782547970.557525,1782547975.3014674,4.743942499160767,14.631899981578192,3.343
69,/home/htj/resisc45/imgs450/wetland_s0005069.png,wetland,chaparral,chaparral,0,1782547975.3032475,1782547980.2776566,4.974409103393555,15.391556621789933,3.44
70,/home/htj/resisc45/imgs450/baseball_diamond_s0005070.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782547980.282093,1782547985.2542336,4.972140550613403,15.48307616981864,3.442
71,/home/htj/resisc45/imgs450/tennis_court_s0005071.png,tennis_court,residential area,,0,1782547985.2589667,1782547990.2355664,4.97659969329834,15.401331900835038,3.508349999999999
72,/home/htj/resisc45/imgs450/parking_lot_s0005072.png,parking_lot,parking lot,parking_lot,1,1782547990.237472,1782547995.2162166,4.9787445068359375,15.482594153490934,3.442
73,/home/htj/resisc45/imgs450/roundabout_s0005073.png,roundabout,roundabout,roundabout,1,1782547995.220472,1782547999.9673116,4.74683952331543,14.74468877249325,3.5216
74,/home/htj/resisc45/imgs450/bridge_s0005074.png,bridge,bridge,bridge,1,1782547999.971348,1782548004.4670713,4.495723247528076,13.822527933694138,3.442
75,/home/htj/resisc45/imgs450/meadow_s0005075.png,meadow,circular farmland,circular_farmland,0,1782548004.4715238,1782548009.691807,5.220283269882202,15.922658364073092,3.343
76,/home/htj/resisc45/imgs450/sparse_residential_s0005076.png,sparse_residential,sparse residential,sparse_residential,1,1782548009.6963978,1782548014.443059,4.746661186218262,14.871121967203477,3.541
77,/home/htj/resisc45/imgs450/wetland_s0005077.png,wetland,lake,lake,0,1782548014.4473677,1782548018.9600854,4.5127177238464355,13.935159513294696,3.442
78,/home/htj/resisc45/imgs450/tennis_court_s0005078.png,tennis_court,tennis court,tennis_court,1,1782548018.9645617,1782548023.9369783,4.972416639328003,15.240004961664027,3.343
79,/home/htj/resisc45/imgs450/harbor_s0005079.png,harbor,harbor,harbor,1,1782548023.9414232,1782548028.675222,4.7337987422943115,14.715126099915732,3.444
