n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs_full/church_s0005000.png,church,airport,airport,0,1782885525.5815852,1782885527.535706,1.9541208744049072,1.623529601770289,1.2556999999999998
1,/home/htj/resisc45/imgs_full/church_s0005001.png,church,airport,airport,0,1782885527.5376778,1782885528.7109714,1.1732935905456543,1.8107272369521004,2.437
2,/home/htj/resisc45/imgs_full/airport_s0005002.png,airport,airport,airport,1,1782885528.712918,1782885529.884232,1.171314001083374,3.2386274361383345,2.843
3,/home/htj/resisc45/imgs_full/dense_residential_s0005003.png,dense_residential,dense residential,dense_residential,1,1782885529.88907,1782885531.1371732,1.248103141784668,3.6280656372850593,2.945
4,/home/htj/resisc45/imgs_full/stadium_s0005004.png,stadium,airport,airport,0,1782885531.142066,1782885532.2891517,1.1470856666564941,3.4035124192237856,3.347
5,/home/htj/resisc45/imgs_full/commercial_area_s0005005.png,commercial_area,airport,airport,0,1782885532.29389,1782885533.457962,1.164072036743164,3.614036248874664,3.2612
6,/home/htj/resisc45/imgs_full/sparse_residential_s0005006.png,sparse_residential,forest,forest,0,1782885533.4624586,1782885534.6236944,1.1612358093261719,3.6759500162124636,3.4531
7,/home/htj/resisc45/imgs_full/chaparral_s0005007.png,chaparral,chaparral,chaparral,1,1782885534.628135,1782885535.9480286,1.3198935985565186,4.201386310905218,3.55
8,/home/htj/resisc45/imgs_full/railway_s0005008.png,railway,freeway,freeway,0,1782885535.9524722,1782885537.1968575,1.2443852424621582,3.9715120642835444,3.44305
9,/home/htj/resisc45/imgs_full/basketball_court_s0005009.png,basketball_court,airport,airport,0,1782885537.2015297,1782885538.3640964,1.1625666618347168,3.579432031154633,3.349
10,/home/htj/resisc45/imgs_full/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782885538.3685493,1782885539.6866782,1.3181288242340088,4.112733861456746,3.4408
11,/home/htj/resisc45/imgs_full/lake_s0005011.png,lake,lake,lake,1,1782885539.6911478,1782885540.8587072,1.1675593852996826,3.645509587367376,3.349
12,/home/htj/resisc45/imgs_full/river_s0005012.png,river,river,river,1,1782885540.8634484,1782885542.0272279,1.1637794971466064,3.5948594486145744,3.349
