n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs450/church_s0005000.png,church,airport,airport,0,1782537621.0299594,1782537622.91462,1.8846604824066162,1.5944227681159973,1.2588
1,/home/htj/resisc45/imgs450/church_s0005001.png,church,airport,airport,0,1782537622.9194458,1782537624.0752497,1.155803918838501,2.012034469570432,3.349
2,/home/htj/resisc45/imgs450/airport_s0005002.png,airport,airport,airport,1,1782537624.079367,1782537625.2256224,1.1462554931640625,3.5764890769958497,3.35395
3,/home/htj/resisc45/imgs450/dense_residential_s0005003.png,dense_residential,dense residential,dense_residential,1,1782537625.2304194,1782537626.48554,1.2551205158233643,4.052347581935965,3.5397999999999996
4,/home/htj/resisc45/imgs450/stadium_s0005004.png,stadium,airport,airport,0,1782537626.4904685,1782537627.6395464,1.1490778923034668,3.550650687217712,3.347
5,/home/htj/resisc45/imgs450/commercial_area_s0005005.png,commercial_area,airport,airport,0,1782537627.6443686,1782537628.8012285,1.1568598747253418,3.539054711046673,3.451
6,/home/htj/resisc45/imgs450/sparse_residential_s0005006.png,sparse_residential,forest,forest,0,1782537628.805791,1782537629.964494,1.158703088760376,3.5898828743298847,3.349
7,/home/htj/resisc45/imgs450/chaparral_s0005007.png,chaparral,chaparral,chaparral,1,1782537629.9688716,1782537631.274821,1.3059494495391846,3.9301696977719014,3.045
8,/home/htj/resisc45/imgs450/railway_s0005008.png,railway,freeway,freeway,0,1782537631.2800229,1782537632.5164127,1.2363898754119873,3.7252426946163175,3.14105
9,/home/htj/resisc45/imgs450/basketball_court_s0005009.png,basketball_court,airport,airport,0,1782537632.521069,1782537633.6919045,1.1708354949951172,3.520981103806269,3.047
10,/home/htj/resisc45/imgs450/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782537633.6965802,1782537635.016652,1.3200719356536865,3.9508605145475144,3.047
11,/home/htj/resisc45/imgs450/lake_s0005011.png,lake,lake,lake,1,1782537635.0214481,1782537636.1774948,1.1560466289520264,3.427042429196834,3.047
12,/home/htj/resisc45/imgs450/river_s0005012.png,river,river,river,1,1782537636.1818535,1782537637.3404098,1.1585562229156494,3.4610487926006317,3.047
13,/home/htj/resisc45/imgs450/forest_s0005013.png,forest,chaparral,chaparral,0,1782537637.3449547,1782537638.6571927,1.3122379779815674,3.9501786366752953,3.047
14,/home/htj/resisc45/imgs450/chaparral_s0005014.png,chaparral,desert,desert,0,1782537638.6614132,1782537639.897505,1.2360918521881104,3.707320394678549,3.047
15,/home/htj/resisc45/imgs450/commercial_area_s0005015.png,commercial_area,airport,airport,0,1782537639.902341,1782537641.0634284,1.1610875129699707,3.485916453225272,3.047
16,/home/htj/resisc45/imgs450/baseball_diamond_s0005016.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782537641.0678504,1782537642.3867142,1.318863868713379,3.9611526770194376,3.047
17,/home/htj/resisc45/imgs450/parking_lot_s0005017.png,parking_lot,parking lot,parking_lot,1,1782537642.391303,1782537643.7135398,1.3222367763519287,3.980507582374241,3.047
18,/home/htj/resisc45/imgs450/wetland_s0005018.png,wetland,forest,forest,0,1782537643.718036,1782537644.8763053,1.1582694053649902,3.465431749480111,3.047
19,/home/htj/resisc45/imgs450/sparse_residential_s0005019.png,sparse_residential,airport,airport,0,1782537644.8783374,1782537646.0295503,1.1512129306793213,3.4539265952706337,3.047
20,/home/htj/resisc45/imgs450/tennis_court_s0005020.png,tennis_court,golf course,golf_course,0,1782537646.0339,1782537647.342157,1.3082568645477295,3.9444513273446455,3.047
