n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs450/church_s0005000.png,church,bridge,bridge,0,1782538191.295333,1782538193.9536428,2.6583099365234375,2.9551922526258103,2.1006999999999993
1,/home/htj/resisc45/imgs450/church_s0005001.png,church,church,church,1,1782538193.9586923,1782538195.555463,1.5967707633972168,4.554275354845183,3.045
2,/home/htj/resisc45/imgs450/airport_s0005002.png,airport,airport,airport,1,1782538195.5568156,1782538197.1481113,1.5912957191467285,4.992882371754482,3.246
3,/home/htj/resisc45/imgs450/dense_residential_s0005003.png,dense_residential,dense residential,dense_residential,1,1782538197.149575,1782538198.8879137,1.7383387088775635,5.5065523507441245,3.248
4,/home/htj/resisc45/imgs450/stadium_s0005004.png,stadium,stadium,stadium,1,1782538198.889553,1782538200.6115143,1.721961259841919,5.430951016124089,3.246
5,/home/htj/resisc45/imgs450/commercial_area_s0005005.png,commercial_area,church,church,0,1782538200.6130412,1782538202.220612,1.6075708866119385,5.120889342562906,3.246
6,/home/htj/resisc45/imgs450/sparse_residential_s0005006.png,sparse_residential,forest,forest,0,1782538202.2222812,1782538203.8237617,1.601480484008789,5.081440380028316,3.31035
7,/home/htj/resisc45/imgs450/chaparral_s0005007.png,chaparral,beach,beach,0,1782538203.825338,1782538205.5544384,1.7291004657745361,5.836885398111035,3.852
8,/home/htj/resisc45/imgs450/railway_s0005008.png,railway,runway,runway,0,1782538205.5556083,1782538207.2851784,1.7295701503753662,5.7928883594620615,3.6995
9,/home/htj/resisc45/imgs450/basketball_court_s0005009.png,basketball_court,basketball court,basketball_court,1,1782538207.2869554,1782538209.1601477,1.873192310333252,6.279054151043748,3.6893999999999996
10,/home/htj/resisc45/imgs450/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782538209.1615465,1782538211.02541,1.863863468170166,6.258627603270791,3.748
