n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs_full/church_s0005000.png,church,airport,airport,0,1782894266.1686673,1782894270.564223,4.395555734634399,8.193372974497931,3.651
1,/home/htj/resisc45/imgs_full/church_s0005001.png,church,church,church,1,1782894270.5668445,1782894273.055779,2.4889345169067383,7.9923739091740105,3.5498000000000003
2,/home/htj/resisc45/imgs_full/airport_s0005002.png,airport,airport,airport,1,1782894273.05744,1782894275.5563903,2.498950242996216,8.08450159635869,3.6338500000000002
3,/home/htj/resisc45/imgs_full/dense_residential_s0005003.png,dense_residential,dense residential,dense_residential,1,1782894275.5582194,1782894278.2835474,2.725327968597412,8.95065838086605,3.71465
4,/home/htj/resisc45/imgs_full/stadium_s0005004.png,stadium,stadium,stadium,1,1782894278.2853053,1782894281.0218792,2.7365739345550537,9.004639519696434,3.71465
5,/home/htj/resisc45/imgs_full/commercial_area_s0005005.png,commercial_area,airport,airport,0,1782894281.0232413,1782894283.5201128,2.4968714714050293,8.087990913748742,3.446
6,/home/htj/resisc45/imgs_full/sparse_residential_s0005006.png,sparse_residential,circular farmland,circular_farmland,0,1782894283.5217414,1782894286.7309105,3.2091691493988037,10.493589010042056,3.6494
7,/home/htj/resisc45/imgs_full/chaparral_s0005007.png,chaparral,chaparral,chaparral,1,1782894286.7324607,1782894289.7167218,2.9842610359191895,9.841232051931895,3.5934499999999994
8,/home/htj/resisc45/imgs_full/railway_s0005008.png,railway,railway,railway,1,1782894289.718316,1782894292.4575405,2.739224433898926,9.0187823142608,3.61365
9,/home/htj/resisc45/imgs_full/basketball_court_s0005009.png,basketball_court,basketball court,basketball_court,1,1782894292.4592032,1782894295.4319985,2.972795248031616,9.776380187988282,3.6944499999999993
10,/home/htj/resisc45/imgs_full/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782894295.4336975,1782894298.4147172,2.9810197353363037,9.811548370788682,3.5883999999999996
11,/home/htj/resisc45/imgs_full/lake_s0005011.png,lake,lake,lake,1,1782894298.416281,1782894300.9190962,2.5028152465820312,8.15815382489291,3.446
12,/home/htj/resisc45/imgs_full/river_s0005012.png,river,river,river,1,1782894300.9207296,1782894303.4208713,2.5001416206359863,8.160689535357735,3.6338500000000002
13,/home/htj/resisc45/imgs_full/forest_s0005013.png,forest,forest,forest,1,1782894303.4224331,1782894305.916835,2.4944019317626953,8.107212343659512,3.6388999999999996
14,/home/htj/resisc45/imgs_full/chaparral_s0005014.png,chaparral,desert,desert,0,1782894305.9181166,1782894308.663718,2.7456014156341553,9.00137019213365,3.649
15,/home/htj/resisc45/imgs_full/commercial_area_s0005015.png,commercial_area,airport,airport,0,1782894308.6656716,1782894311.178469,2.5127973556518555,8.144318883852526,3.6185500000000004
16,/home/htj/resisc45/imgs_full/baseball_diamond_s0005016.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782894311.1800992,1782894314.1529403,2.9728410243988037,9.76475370479547,3.5934499999999994
17,/home/htj/resisc45/imgs_full/parking_lot_s0005017.png,parking_lot,parking lot,parking_lot,1,1782894314.1544652,1782894317.139179,2.9847137928009033,9.837903652782623,3.5934499999999994
18,/home/htj/resisc45/imgs_full/wetland_s0005018.png,wetland,forest,forest,0,1782894317.1406584,1782894319.644767,2.5041086673736572,8.221045666548338,3.6188500000000006
19,/home/htj/resisc45/imgs_full/sparse_residential_s0005019.png,sparse_residential,church,church,0,1782894319.6463006,1782894322.145066,2.498765468597412,8.501254445162687,3.651
20,/home/htj/resisc45/imgs_full/tennis_court_s0005020.png,tennis_court,tennis court,tennis_court,1,1782894322.146637,1782894325.1199646,2.97332763671875,9.737705189631535,3.5934499999999994
21,/home/htj/resisc45/imgs_full/baseball_diamond_s0005021.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782894325.121635,1782894328.1069372,2.985302209854126,9.84862464322234,3.5883999999999996
22,/home/htj/resisc45/imgs_full/ground_track_field_s0005022.png,ground_track_field,stadium,stadium,0,1782894328.1085281,1782894330.8583682,2.749840021133423,9.118240356743335,3.649
23,/home/htj/resisc45/imgs_full/chaparral_s0005023.png,chaparral,chaparral,chaparral,1,1782894330.860193,1782894333.8409016,2.980708599090576,9.700238097568727,3.488
24,/home/htj/resisc45/imgs_full/mobile_home_park_s0005024.png,mobile_home_park,mobile home park,mobile_home_park,1,1782894333.8425672,1782894336.8302171,2.987649917602539,9.868150223035078,3.647
