n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs_full/church_s0005000.png,church,intersection,intersection,0,1782900135.233179,1782900137.8130136,2.579834461212158,2.601906378269196,1.8075999999999997
1,/home/htj/resisc45/imgs_full/church_s0005001.png,church,church,church,1,1782900137.8142753,1782900139.6066904,1.7924151420593262,4.824545544147491,2.945
2,/home/htj/resisc45/imgs_full/airport_s0005002.png,airport,airport,airport,1,1782900139.607831,1782900141.3756135,1.76778244972229,5.145558509219077,3.197
3,/home/htj/resisc45/imgs_full/dense_residential_s0005003.png,dense_residential,residential,,0,1782900141.3769479,1782900143.1429844,1.7660365104675293,5.2441599644537895,3.248
4,/home/htj/resisc45/imgs_full/stadium_s0005004.png,stadium,stadium,stadium,1,1782900143.1444688,1782900144.9171696,1.7727007865905762,5.271901345521211,3.2914499999999998
5,/home/htj/resisc45/imgs_full/commercial_area_s0005005.png,commercial_area,intersection,intersection,0,1782900144.9185226,1782900146.7049859,1.7864632606506348,5.222581272894337,3.195
6,/home/htj/resisc45/imgs_full/sparse_residential_s0005006.png,sparse_residential,desert,desert,0,1782900146.7061546,1782900148.4892242,1.7830696105957031,5.109932393720074,3.045
7,/home/htj/resisc45/imgs_full/chaparral_s0005007.png,chaparral,chaparral,chaparral,1,1782900148.4903903,1782900150.409486,1.919095754623413,5.502047528505325,3.08165
8,/home/htj/resisc45/imgs_full/railway_s0005008.png,railway,industrial area,industrial_area,0,1782900150.4109392,1782900152.2612696,1.8503303527832031,5.203913940660882,3.045
9,/home/htj/resisc45/imgs_full/basketball_court_s0005009.png,basketball_court,basketball court,basketball_court,1,1782900152.2627072,1782900154.1180482,1.8553409576416016,5.209855388462543,2.99
10,/home/htj/resisc45/imgs_full/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782900154.1195426,1782900155.9786847,1.8591420650482178,5.222555411273783,3.045
11,/home/htj/resisc45/imgs_full/lake_s0005011.png,lake,lake,lake,1,1782900155.9802413,1782900157.7631829,1.7829415798187256,5.050843438648409,3.046
12,/home/htj/resisc45/imgs_full/river_s0005012.png,river,river,river,1,1782900157.7646227,1782900159.5399685,1.775345802307129,5.006303354847816,2.995
13,/home/htj/resisc45/imgs_full/forest_s0005013.png,forest,desert,desert,0,1782900159.5417893,1782900161.3183157,1.7765264511108398,5.038895212769508,3.045
14,/home/htj/resisc45/imgs_full/chaparral_s0005014.png,chaparral,desert,desert,0,1782900161.3195899,1782900163.0971553,1.7775654792785645,5.016691168277494,2.943
15,/home/htj/resisc45/imgs_full/commercial_area_s0005015.png,commercial_area,airport,airport,0,1782900163.098704,1782900164.9002376,1.8015334606170654,5.057185913555323,2.99
16,/home/htj/resisc45/imgs_full/baseball_diamond_s0005016.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782900164.9020298,1782900166.7593865,1.8573567867279053,5.226485913053155,2.9909
17,/home/htj/resisc45/imgs_full/parking_lot_s0005017.png,parking_lot,intersection,intersection,0,1782900166.7605534,1782900168.539327,1.778773546218872,4.964499587705059,2.945
18,/home/htj/resisc45/imgs_full/wetland_s0005018.png,wetland,desert,desert,0,1782900168.5404599,1782900170.319969,1.7795090675354004,5.200059153288603,3.148
19,/home/htj/resisc45/imgs_full/sparse_residential_s0005019.png,sparse_residential,intersection,intersection,0,1782900170.3213058,1782900172.0989947,1.777688980102539,4.995822137340423,2.995
20,/home/htj/resisc45/imgs_full/tennis_court_s0005020.png,tennis_court,intersection,intersection,0,1782900172.1007087,1782900173.872912,1.7722032070159912,4.949763557195664,2.943
21,/home/htj/resisc45/imgs_full/baseball_diamond_s0005021.png,baseball_diamond,park,,0,1782900173.8740692,1782900175.6444006,1.7703313827514648,4.968292257032087,2.994
22,/home/htj/resisc45/imgs_full/ground_track_field_s0005022.png,ground_track_field,school,,0,1782900175.6458778,1782900177.4201927,1.7743148803710938,5.008490255540417,2.995
23,/home/htj/resisc45/imgs_full/chaparral_s0005023.png,chaparral,chaparral,chaparral,1,1782900177.4214914,1782900179.3425698,1.9210784435272217,5.430832257544293,2.98
24,/home/htj/resisc45/imgs_full/mobile_home_park_s0005024.png,mobile_home_park,residential,,0,1782900179.3444543,1782900181.1378136,1.7933592796325684,5.050716198697686,2.9889
25,/home/htj/resisc45/imgs_full/roundabout_s0005025.png,roundabout,highway,,0,1782900181.138994,1782900182.9320884,1.7930943965911865,5.088975422789973,3.045
26,/home/htj/resisc45/imgs_full/golf_course_s0005026.png,golf_course,desert,desert,0,1782900182.9332645,1782900184.7204735,1.7872090339660645,5.168776077076792,3.144
27,/home/htj/resisc45/imgs_full/baseball_diamond_s0005027.png,baseball_diamond,stadium,stadium,0,1782900184.7215073,1782900186.499664,1.7781567573547363,5.157859154132104,3.146
28,/home/htj/resisc45/imgs_full/parking_lot_s0005028.png,parking_lot,intersection,intersection,0,1782900186.5009382,1782900188.2817907,1.7808525562286377,5.187566049437369,3.144
29,/home/htj/resisc45/imgs_full/railway_station_s0005029.png,railway_station,railway station,railway_station,1,1782900188.283178,1782900190.134821,1.8516428470611572,5.432607892498826,3.1868
30,/home/htj/resisc45/imgs_full/golf_course_s0005030.png,golf_course,intersection,intersection,0,1782900190.136289,1782900191.9156263,1.7793374061584473,5.191073387515161,3.146
31,/home/htj/resisc45/imgs_full/dense_residential_s0005031.png,dense_residential,intersection,intersection,0,1782900191.9168217,1782900193.700352,1.7835302352905273,5.214639675355727,3.146
32,/home/htj/resisc45/imgs_full/desert_s0005032.png,desert,desert,desert,1,1782900193.7017434,1782900195.4919024,1.790158987045288,5.159573855474592,3.043
33,/home/htj/resisc45/imgs_full/intersection_s0005033.png,intersection,intersection,intersection,1,1782900195.4930866,1782900197.283228,1.7901413440704346,5.168426792806194,3.0945
34,/home/htj/resisc45/imgs_full/stadium_s0005034.png,stadium,stadium,stadium,1,1782900197.2843752,1782900199.0572007,1.7728254795074463,4.972260778750143,2.993
35,/home/htj/resisc45/imgs_full/beach_s0005035.png,beach,beach,beach,1,1782900199.0585766,1782900200.8301566,1.7715799808502197,5.168141699135304,3.246
36,/home/htj/resisc45/imgs_full/terrace_s0005036.png,terrace,circular farmland,circular_farmland,0,1782900200.8315036,1782900202.679222,1.8477184772491455,5.395395694769919,3.1899
37,/home/htj/resisc45/imgs_full/terrace_s0005037.png,terrace,rectangular farmland,rectangular_farmland,0,1782900202.680394,1782900204.52916,1.8487660884857178,5.189255314618348,2.9889
38,/home/htj/resisc45/imgs_full/ground_track_field_s0005038.png,ground_track_field,tennis court,tennis_court,0,1782900204.5306149,1782900206.388315,1.8577001094818115,5.285214864604175,3.045
39,/home/htj/resisc45/imgs_full/sparse_residential_s0005039.png,sparse_residential,intersection,intersection,0,1782900206.3897984,1782900208.1872642,1.7974658012390137,5.090928686365485,3.0439000000000003
40,/home/htj/resisc45/imgs_full/overpass_s0005040.png,overpass,highway,,0,1782900208.1884773,1782900209.9808784,1.7924010753631592,5.08752808455498,3.045
41,/home/htj/resisc45/imgs_full/palace_s0005041.png,palace,palace,palace,1,1782900209.982239,1782900211.7665672,1.7843282222747803,5.280050250738859,3.248
42,/home/htj/resisc45/imgs_full/rectangular_farmland_s0005042.png,rectangular_farmland,circular farmland,circular_farmland,0,1782900211.7682366,1782900213.6207895,1.852552890777588,5.396833924502134,3.144
43,/home/htj/resisc45/imgs_full/railway_s0005043.png,railway,railway station,railway_station,0,1782900213.621988,1782900215.469897,1.8479089736938477,5.367503601681102,3.144
44,/home/htj/resisc45/imgs_full/airport_s0005044.png,airport,airport,airport,1,1782900215.4712992,1782900217.2460132,1.7747139930725098,5.084040350606364,3.045
45,/home/htj/resisc45/imgs_full/bridge_s0005045.png,bridge,bridge,bridge,1,1782900217.2474113,1782900219.0373812,1.7899699211120605,5.115964998399058,3.045
46,/home/htj/resisc45/imgs_full/sparse_residential_s0005046.png,sparse_residential,church,church,0,1782900219.0385761,1782900220.8255332,1.786957025527954,5.04418878621608,3.045
47,/home/htj/resisc45/imgs_full/church_s0005047.png,church,church,church,1,1782900220.826999,1782900222.621227,1.7942280769348145,5.072861556745345,3.044
48,/home/htj/resisc45/imgs_full/dense_residential_s0005048.png,dense_residential,residential,,0,1782900222.6231148,1782900224.4066923,1.7835774421691895,5.021829498812557,3.043
49,/home/htj/resisc45/imgs_full/railway_s0005049.png,railway,intersection,intersection,0,1782900224.408174,1782900226.1894376,1.7812635898590088,5.003282123334947,3.043
50,/home/htj/resisc45/imgs_full/runway_s0005050.png,runway,runway,runway,1,1782900226.190432,1782900227.9620912,1.7716591358184814,5.050085791503229,2.993
51,/home/htj/resisc45/imgs_full/snowberg_s0005051.png,snowberg,desert,desert,0,1782900227.963987,1782900229.7500358,1.7860486507415771,5.096172945291766,3.043
