n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs450/church_s0005000.png,church,intersection,intersection,0,1782538984.7895658,1782538987.3432512,2.553685426712036,2.976008247725169,2.0096
1,/home/htj/resisc45/imgs450/church_s0005001.png,church,church,church,1,1782538987.3444538,1782538989.123697,1.7792432308197021,4.665175751209259,2.8854499999999996
2,/home/htj/resisc45/imgs450/airport_s0005002.png,airport,airport,airport,1,1782538989.1249003,1782538990.8929846,1.7680842876434326,5.003222254214748,2.941
3,/home/htj/resisc45/imgs450/dense_residential_s0005003.png,dense_residential,residential,,0,1782538990.8976347,1782538992.6678631,1.770228385925293,5.155236977636814,3.0419
4,/home/htj/resisc45/imgs450/stadium_s0005004.png,stadium,stadium,stadium,1,1782538992.6721928,1782538994.455789,1.7835962772369385,5.181059508554397,3.043
5,/home/htj/resisc45/imgs450/commercial_area_s0005005.png,commercial_area,intersection,intersection,0,1782538994.4601746,1782538996.2561219,1.7959473133087158,5.1892775150984525,3.043
6,/home/htj/resisc45/imgs450/sparse_residential_s0005006.png,sparse_residential,desert,desert,0,1782538996.2601826,1782538998.040757,1.7805743217468262,5.093611062094569,3.041
7,/home/htj/resisc45/imgs450/chaparral_s0005007.png,chaparral,chaparral,chaparral,1,1782538998.0448854,1782538999.9674869,1.9226014614105225,5.542973107450149,3.0416999999999996
8,/home/htj/resisc45/imgs450/railway_s0005008.png,railway,industrial area,industrial_area,0,1782538999.9717171,1782539001.8232307,1.8515136241912842,5.534174222707748,3.244
9,/home/htj/resisc45/imgs450/basketball_court_s0005009.png,basketball_court,basketball court,basketball_court,1,1782539001.8275902,1782539003.6911783,1.8635880947113037,5.588505389473656,3.244
10,/home/htj/resisc45/imgs450/golf_course_s0005010.png,golf_course,golf course,golf_course,1,1782539003.695172,1782539005.5556555,1.8604834079742432,5.3908916203180945,3.043
11,/home/htj/resisc45/imgs450/lake_s0005011.png,lake,lake,lake,1,1782539005.559792,1782539007.3479521,1.7881600856781006,5.130750429061151,3.042
12,/home/htj/resisc45/imgs450/river_s0005012.png,river,river,river,1,1782539007.3522081,1782539009.1182883,1.7660801410675049,5.338917236774199,3.347
13,/home/htj/resisc45/imgs450/forest_s0005013.png,forest,desert,desert,0,1782539009.1223269,1782539010.90351,1.7811832427978516,5.38462826693058,3.28945
14,/home/htj/resisc45/imgs450/chaparral_s0005014.png,chaparral,desert,desert,0,1782539010.907809,1782539012.6830256,1.7752165794372559,5.285220612341358,3.195
15,/home/htj/resisc45/imgs450/commercial_area_s0005015.png,commercial_area,airport,airport,0,1782539012.6875904,1782539014.4750216,1.787431240081787,5.624710969179868,3.4469000000000003
16,/home/htj/resisc45/imgs450/baseball_diamond_s0005016.png,baseball_diamond,baseball diamond,baseball_diamond,1,1782539014.4789035,1782539016.3441913,1.8652877807617188,5.3602718431877365,3.144
17,/home/htj/resisc45/imgs450/parking_lot_s0005017.png,parking_lot,intersection,intersection,0,1782539016.3481824,1782539018.1384578,1.7902753353118896,5.3337337388321755,3.246
18,/home/htj/resisc45/imgs450/wetland_s0005018.png,wetland,desert,desert,0,1782539018.1426644,1782539019.9334676,1.7908031940460205,5.369051826149225,3.2449
19,/home/htj/resisc45/imgs450/sparse_residential_s0005019.png,sparse_residential,intersection,intersection,0,1782539019.9378386,1782539021.7175937,1.7797551155090332,5.319354336172342,3.246
20,/home/htj/resisc45/imgs450/tennis_court_s0005020.png,tennis_court,intersection,intersection,0,1782539021.721572,1782539023.503628,1.7820560932159424,5.365102625638246,3.28945
21,/home/htj/resisc45/imgs450/baseball_diamond_s0005021.png,baseball_diamond,park,,0,1782539023.504753,1782539025.287042,1.7822887897491455,5.325363917396915,3.246
22,/home/htj/resisc45/imgs450/ground_track_field_s0005022.png,ground_track_field,school,,0,1782539025.2884297,1782539027.068171,1.7797412872314453,5.314752418994904,3.246
23,/home/htj/resisc45/imgs450/chaparral_s0005023.png,chaparral,chaparral,chaparral,1,1782539027.0694935,1782539029.010317,1.9408235549926758,5.777945889304666,3.1797
24,/home/htj/resisc45/imgs450/mobile_home_park_s0005024.png,mobile_home_park,residential,,0,1782539029.011866,1782539030.7950885,1.7832224369049072,5.3351786284148695,3.2449
25,/home/htj/resisc45/imgs450/roundabout_s0005025.png,roundabout,highway,,0,1782539030.7992048,1782539032.590515,1.7913100719451904,5.433435297288001,3.345
26,/home/htj/resisc45/imgs450/golf_course_s0005026.png,golf_course,desert,desert,0,1782539032.5944817,1782539034.3664951,1.7720134258270264,5.290622959904373,3.246
