n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs_full/church_s0005000.png,church,Airport,airport,0,1782912940.8350194,1782912953.1352136,12.300194263458252,33.65589404529333,3.796
1,/home/htj/resisc45/imgs_full/church_s0005001.png,church,Dense residential,dense_residential,0,1782912953.139835,1782912964.5039263,11.364091396331787,35.90447557779533,3.644
2,/home/htj/resisc45/imgs_full/airport_s0005002.png,airport,Airport,airport,1,1782912964.5083187,1782912975.6720011,11.163682460784912,35.44219840168106,3.644
3,/home/htj/resisc45/imgs_full/dense_residential_s0005003.png,dense_residential,Dense residential,dense_residential,1,1782912975.6765132,1782912987.0099986,11.33348536491394,36.049311049529656,3.644
4,/home/htj/resisc45/imgs_full/stadium_s0005004.png,stadium,Stadium,stadium,1,1782912987.0120037,1782912998.1903634,11.178359746932983,36.84381669344343,4.35075
5,/home/htj/resisc45/imgs_full/commercial_area_s0005005.png,commercial_area,River,river,0,1782912998.1950212,1782913009.3879972,11.192975997924805,38.493723982467266,5.480199999999999
6,/home/htj/resisc45/imgs_full/sparse_residential_s0005006.png,sparse_residential,Church,church,0,1782913009.3924286,1782913020.52886,11.136431455612183,38.834952408305234,5.69025
7,/home/htj/resisc45/imgs_full/chaparral_s0005007.png,chaparral,Chaparral,chaparral,1,1782913020.5329285,1782913032.0067208,11.473792314529419,36.65088891586973,3.644
8,/home/htj/resisc45/imgs_full/railway_s0005008.png,railway,Railway,railway,1,1782913032.0085654,1782913043.21146,11.202894687652588,38.4912695197454,5.480199999999999
9,/home/htj/resisc45/imgs_full/basketball_court_s0005009.png,basketball_court,Basketball court,basketball_court,1,1782913043.2159934,1782913054.53233,11.316336631774902,36.09337038802621,3.644
10,/home/htj/resisc45/imgs_full/golf_course_s0005010.png,golf_course,Golf course,golf_course,1,1782913054.5340328,1782913065.8427582,11.308725357055664,36.158200221162346,3.644
11,/home/htj/resisc45/imgs_full/lake_s0005011.png,lake,Lake,lake,1,1782913065.8472054,1782913077.0294445,11.182239055633545,35.760515238715676,3.66875
12,/home/htj/resisc45/imgs_full/river_s0005012.png,river,River,river,1,1782913077.0338924,1782913088.2509904,11.217097997665405,35.55973802136044,3.642
13,/home/htj/resisc45/imgs_full/forest_s0005013.png,forest,Forest,forest,1,1782913088.2556958,1782913099.4728901,11.217194318771362,35.528897152709476,3.644
14,/home/htj/resisc45/imgs_full/chaparral_s0005014.png,chaparral,Rectangular farmland,rectangular_farmland,0,1782913099.4771218,1782913111.0198274,11.542705535888672,36.67254689807703,3.642
15,/home/htj/resisc45/imgs_full/commercial_area_s0005015.png,commercial_area,Industrial area,industrial_area,0,1782913111.0243642,1782913122.382945,11.358580827713013,37.79205323244339,4.767799999999999
16,/home/htj/resisc45/imgs_full/baseball_diamond_s0005016.png,baseball_diamond,Baseball diamond,baseball_diamond,1,1782913122.387272,1782913133.696497,11.309225082397461,39.45680653722562,5.662
17,/home/htj/resisc45/imgs_full/parking_lot_s0005017.png,parking_lot,Parking lot,parking_lot,1,1782913133.6980112,1782913145.046466,11.34845495223999,36.815357331067474,3.743
18,/home/htj/resisc45/imgs_full/wetland_s0005018.png,wetland,Forest,forest,0,1782913145.0479732,1782913156.1833498,11.135376691818237,39.04347133883408,5.561
19,/home/htj/resisc45/imgs_full/sparse_residential_s0005019.png,sparse_residential,Medium residential,medium_residential,0,1782913156.1848776,1782913167.5447545,11.359876871109009,39.34090078679681,5.571099999999997
20,/home/htj/resisc45/imgs_full/tennis_court_s0005020.png,tennis_court,Medium residential,medium_residential,0,1782913167.5458298,1782913178.905448,11.359618186950684,38.54746577145945,5.2681
21,/home/htj/resisc45/imgs_full/baseball_diamond_s0005021.png,baseball_diamond,Baseball diamond,baseball_diamond,1,1782913178.90705,1782913190.2637427,11.356692790985107,39.2293671244359,5.565899999999998
22,/home/htj/resisc45/imgs_full/ground_track_field_s0005022.png,ground_track_field,Medium residential,medium_residential,0,1782913190.2653074,1782913201.6592035,11.393896102905273,39.30284582060814,5.468099999999999
23,/home/htj/resisc45/imgs_full/chaparral_s0005023.png,chaparral,Desert,desert,0,1782913201.660372,1782913212.799638,11.139266014099121,39.20004326444256,5.68725
24,/home/htj/resisc45/imgs_full/mobile_home_park_s0005024.png,mobile_home_park,Mobile home park,mobile_home_park,1,1782913212.8012488,1782913224.3019757,11.50072693824768,37.09035678447473,3.644
25,/home/htj/resisc45/imgs_full/roundabout_s0005025.png,roundabout,Roundabout,roundabout,1,1782913224.3035638,1782913235.5872052,11.283641338348389,36.284999211224644,3.743
26,/home/htj/resisc45/imgs_full/golf_course_s0005026.png,golf_course,Forest,forest,0,1782913235.58855,1782913246.7846954,11.196145296096802,36.16201480932163,3.644
27,/home/htj/resisc45/imgs_full/baseball_diamond_s0005027.png,baseball_diamond,Baseball diamond,baseball_diamond,1,1782913246.7860389,1782913258.1495464,11.363507509231567,39.37146995463563,5.5614
28,/home/htj/resisc45/imgs_full/parking_lot_s0005028.png,parking_lot,Parking lot,parking_lot,1,1782913258.1541016,1782913269.4909794,11.336877822875977,39.38641087906837,5.566049999999998
29,/home/htj/resisc45/imgs_full/railway_station_s0005029.png,railway_station,Railway station,railway_station,1,1782913269.4952571,1782913280.831255,11.335997819900513,39.603020443987006,5.6624
30,/home/htj/resisc45/imgs_full/golf_course_s0005030.png,golf_course,Golf course,golf_course,1,1782913280.832859,1782913292.1512475,11.31838846206665,39.637280775777064,5.6624
31,/home/htj/resisc45/imgs_full/dense_residential_s0005031.png,dense_residential,Dense residential,dense_residential,1,1782913292.155458,1782913303.4658,11.310342073440552,39.80423551812437,5.6805499999999975
32,/home/htj/resisc45/imgs_full/desert_s0005032.png,desert,Beach,beach,0,1782913303.467256,1782913314.6335452,11.16628909111023,39.16900632624359,5.68725
33,/home/htj/resisc45/imgs_full/intersection_s0005033.png,intersection,Commercial area,commercial_area,0,1782913314.6353745,1782913326.0165396,11.381165027618408,36.42945898447752,3.642
34,/home/htj/resisc45/imgs_full/stadium_s0005034.png,stadium,Stadium,stadium,1,1782913326.0207987,1782913337.1568823,11.136083602905273,39.26800089244353,5.691399999999999
35,/home/htj/resisc45/imgs_full/beach_s0005035.png,beach,Beach,beach,1,1782913337.1609957,1782913348.3724012,11.211405515670776,38.87893481151828,5.561
36,/home/htj/resisc45/imgs_full/terrace_s0005036.png,terrace,Rectangular farmland,rectangular_farmland,0,1782913348.3763914,1782913359.8981166,11.521725177764893,40.507990118796286,5.755099999999999
37,/home/htj/resisc45/imgs_full/terrace_s0005037.png,terrace,Rectangular farmland,rectangular_farmland,0,1782913359.9025242,1782913371.456791,11.554266691207886,40.29035404551088,5.561
38,/home/htj/resisc45/imgs_full/ground_track_field_s0005038.png,ground_track_field,Stadium,stadium,0,1782913371.4610887,1782913382.6342034,11.173114776611328,36.09349316071491,3.642
39,/home/htj/resisc45/imgs_full/sparse_residential_s0005039.png,sparse_residential,Church,church,0,1782913382.638623,1782913393.788002,11.149379014968872,36.1093686696887,3.743
40,/home/htj/resisc45/imgs_full/overpass_s0005040.png,overpass,Roundabout,roundabout,0,1782913393.7895684,1782913405.1035054,11.313936948776245,39.77207017408304,5.662
41,/home/htj/resisc45/imgs_full/palace_s0005041.png,palace,Dense residential,dense_residential,0,1782913405.1082087,1782913416.4199462,11.311737537384033,40.00626193849765,5.763
42,/home/htj/resisc45/imgs_full/rectangular_farmland_s0005042.png,rectangular_farmland,Rectangular farmland,rectangular_farmland,1,1782913416.424,1782913427.9668944,11.54289436340332,39.995162322866506,5.652299999999998
43,/home/htj/resisc45/imgs_full/railway_s0005043.png,railway,Railway,railway,1,1782913427.9711823,1782913439.142692,11.171509742736816,39.297609440034755,5.68725
44,/home/htj/resisc45/imgs_full/airport_s0005044.png,airport,Airport,airport,1,1782913439.147306,1782913450.4440875,11.296781539916992,36.08555337426651,3.644
45,/home/htj/resisc45/imgs_full/bridge_s0005045.png,bridge,Bridge,bridge,1,1782913450.4453743,1782913461.63953,11.1941556930542,39.182286351573715,5.58925
46,/home/htj/resisc45/imgs_full/sparse_residential_s0005046.png,sparse_residential,Industrial area,industrial_area,0,1782913461.6435351,1782913472.9869561,11.34342098236084,39.92317014741897,5.667049999999998
47,/home/htj/resisc45/imgs_full/church_s0005047.png,church,Church,church,1,1782913472.9887867,1782913484.1282656,11.139478921890259,39.398508929672,5.666
48,/home/htj/resisc45/imgs_full/dense_residential_s0005048.png,dense_residential,Dense residential,dense_residential,1,1782913484.1328185,1782913495.5485594,11.415740966796875,39.801095038146975,5.570049999999998
49,/home/htj/resisc45/imgs_full/railway_s0005049.png,railway,Railway station,railway_station,0,1782913495.5530064,1782913506.9217632,11.368756771087646,39.95970211199283,5.767
