n,path,true,answer,pred,correct,t_start,t_end,latency_s,E_im_J,Ppeak_W
0,/home/htj/resisc45/imgs450/church_s0005000.png,church,Airport,airport,0,1782539814.7410636,1782539827.1239476,12.38288402557373,32.66418214543225,3.545
1,/home/htj/resisc45/imgs450/church_s0005001.png,church,Dense residential,dense_residential,0,1782539827.1251633,1782539838.553876,11.428712606430054,37.617410497295445,5.166
2,/home/htj/resisc45/imgs450/airport_s0005002.png,airport,Airport,airport,1,1782539838.5578072,1782539849.7047746,11.14696741104126,34.6290113252582,3.545
3,/home/htj/resisc45/imgs450/dense_residential_s0005003.png,dense_residential,Dense residential,dense_residential,1,1782539849.706508,1782539861.0202997,11.313791751861572,35.89888637874139,3.746
4,/home/htj/resisc45/imgs450/stadium_s0005004.png,stadium,Stadium,stadium,1,1782539861.0220175,1782539872.2594435,11.237426042556763,37.49979638818383,5.269099999999998
5,/home/htj/resisc45/imgs450/commercial_area_s0005005.png,commercial_area,River,river,0,1782539872.2612731,1782539883.477268,11.215994834899902,37.48543286816199,5.264
6,/home/htj/resisc45/imgs450/sparse_residential_s0005006.png,sparse_residential,Church,church,0,1782539883.478936,1782539894.7461262,11.267190217971802,36.40795343108773,4.5689499999999965
7,/home/htj/resisc45/imgs450/chaparral_s0005007.png,chaparral,Chaparral,chaparral,1,1782539894.7472441,1782539906.3139682,11.566724061965942,35.737022314675805,3.545
8,/home/htj/resisc45/imgs450/railway_s0005008.png,railway,Railway,railway,1,1782539906.3155456,1782539917.5053527,11.189807176589966,37.50401639191829,5.2741999999999996
9,/home/htj/resisc45/imgs450/basketball_court_s0005009.png,basketball_court,Basketball court,basketball_court,1,1782539917.5064316,1782539928.8136294,11.30719780921936,38.25394626826048,5.373899999999999
10,/home/htj/resisc45/imgs450/golf_course_s0005010.png,golf_course,Golf course,golf_course,1,1782539928.8150067,1782539940.1945047,11.37949800491333,35.36043803070323,3.548
11,/home/htj/resisc45/imgs450/lake_s0005011.png,lake,Lake,lake,1,1782539940.1955748,1782539951.4659345,11.270359754562378,34.85020643305778,3.545
12,/home/htj/resisc45/imgs450/river_s0005012.png,river,River,river,1,1782539951.4675255,1782539962.6710432,11.20351767539978,37.47148789384377,5.268
13,/home/htj/resisc45/imgs450/forest_s0005013.png,forest,Forest,forest,1,1782539962.672515,1782539973.9010613,11.228546380996704,37.55102391600609,5.268
14,/home/htj/resisc45/imgs450/chaparral_s0005014.png,chaparral,Rectangular farmland,rectangular_farmland,0,1782539973.9025862,1782539985.417821,11.51523470878601,38.97788987983146,5.264
15,/home/htj/resisc45/imgs450/commercial_area_s0005015.png,commercial_area,Industrial area,industrial_area,0,1782539985.4196668,1782539996.7963421,11.376675367355347,37.12547093418565,4.654949999999999
16,/home/htj/resisc45/imgs450/baseball_diamond_s0005016.png,baseball_diamond,Baseball diamond,baseball_diamond,1,1782539996.7979052,1782540008.1102958,11.312390565872192,38.372585568789816,5.366
17,/home/htj/resisc45/imgs450/parking_lot_s0005017.png,parking_lot,Parking lot,parking_lot,1,1782540008.1118677,1782540019.4721427,11.360275030136108,38.24213339709405,5.366
18,/home/htj/resisc45/imgs450/wetland_s0005018.png,wetland,Forest,forest,0,1782540019.473622,1782540030.666325,11.192703008651733,37.90102340053794,5.362
19,/home/htj/resisc45/imgs450/sparse_residential_s0005019.png,sparse_residential,Medium residential,medium_residential,0,1782540030.667889,1782540042.0524018,11.384512662887573,38.21149680427277,5.264
20,/home/htj/resisc45/imgs450/tennis_court_s0005020.png,tennis_court,Medium residential,medium_residential,0,1782540042.0539489,1782540053.4262583,11.372309446334839,38.25594229041586,5.268
21,/home/htj/resisc45/imgs450/baseball_diamond_s0005021.png,baseball_diamond,Baseball diamond,baseball_diamond,1,1782540053.430676,1782540064.7953832,11.364707231521606,38.247415839343965,5.360899999999999
22,/home/htj/resisc45/imgs450/ground_track_field_s0005022.png,ground_track_field,Medium residential,medium_residential,0,1782540064.799632,1782540076.1977978,11.398165702819824,38.38020675697233,5.264
23,/home/htj/resisc45/imgs450/chaparral_s0005023.png,chaparral,Desert,desert,0,1782540076.202431,1782540087.4472086,11.24477767944336,37.97777479122162,5.366149999999999
24,/home/htj/resisc45/imgs450/mobile_home_park_s0005024.png,mobile_home_park,Mobile home park,mobile_home_park,1,1782540087.4517252,1782540098.914688,11.462962865829468,39.02297485634142,5.366
25,/home/htj/resisc45/imgs450/roundabout_s0005025.png,roundabout,Roundabout,roundabout,1,1782540098.9162765,1782540110.2602367,11.343960285186768,38.735412507470286,5.366
26,/home/htj/resisc45/imgs450/golf_course_s0005026.png,golf_course,Forest,forest,0,1782540110.2615967,1782540121.4646685,11.20307183265686,37.88783189170804,5.366
27,/home/htj/resisc45/imgs450/baseball_diamond_s0005027.png,baseball_diamond,Baseball diamond,baseball_diamond,1,1782540121.466023,1782540132.837217,11.371194124221802,35.46731740384999,3.545
28,/home/htj/resisc45/imgs450/parking_lot_s0005028.png,parking_lot,Parking lot,parking_lot,1,1782540132.8389618,1782540144.2266521,11.387690305709839,35.54498404813875,3.545
29,/home/htj/resisc45/imgs450/railway_station_s0005029.png,railway_station,Railway station,railway_station,1,1782540144.2281876,1782540155.618355,11.390167474746704,35.535236203404935,3.545
30,/home/htj/resisc45/imgs450/golf_course_s0005030.png,golf_course,Golf course,golf_course,1,1782540155.6199994,1782540166.9843557,11.364356279373169,35.60852262573077,3.545
31,/home/htj/resisc45/imgs450/dense_residential_s0005031.png,dense_residential,Dense residential,dense_residential,1,1782540166.9858959,1782540178.3047926,11.318896770477295,38.57558857465621,5.369
32,/home/htj/resisc45/imgs450/desert_s0005032.png,desert,Beach,beach,0,1782540178.3061702,1782540189.4520738,11.145903587341309,37.78697744366617,5.381149999999998
33,/home/htj/resisc45/imgs450/intersection_s0005033.png,intersection,Commercial area,commercial_area,0,1782540189.4536443,1782540200.8353443,11.381700038909912,38.14672554625143,5.360899999999999
