t,QE_over_t,QP_over_t,QU_over_t
500,0.00000000e+00,0.00000000e+00,0.00000000e+00
1000,0.00000000e+00,0.00000000e+00,1.17000000e-03
1500,0.00000000e+00,0.00000000e+00,1.38000000e-03
2000,0.00000000e+00,0.00000000e+00,1.11000000e-03
2500,0.00000000e+00,0.00000000e+00,2.28000000e-04
3000,2.32592593e-03,0.00000000e+00,8.60000000e-04
3500,1.79428571e-02,0.00000000e+00,5.22857143e-04
4000,1.57000000e-02,0.00000000e+00,2.03250000e-03
4500,1.39555556e-02,0.00000000e+00,2.94000000e-03
5000,1.25600000e-02,0.00000000e+00,4.38600000e-03
5500,1.14181818e-02,0.00000000e+00,5.73272727e-03
6000,1.16296296e-03,0.00000000e+00,5.55500000e-03
6500,0.00000000e+00,0.00000000e+00,5.07230769e-03
7000,0.00000000e+00,0.00000000e+00,4.19571429e-03
7500,9.30370370e-04,0.00000000e+00,4.00800000e-03
8000,0.00000000e+00,0.00000000e+00,3.58500000e-03
8500,0.00000000e+00,0.00000000e+00,3.07058824e-03
9000,0.00000000e+00,0.00000000e+00,2.87000000e-03
9500,5.87602339e-03,0.00000000e+00,3.33473684e-03
10000,5.58222222e-03,0.00000000e+00,4.15800000e-03
10500,5.31640212e-03,0.00000000e+00,4.73142857e-03
11000,5.07474747e-03,0.00000000e+00,5.47090909e-03
11500,6.06763285e-04,0.00000000e+00,5.95043478e-03
12000,5.81481481e-04,0.00000000e+00,5.54500000e-03
12500,0.00000000e+00,0.00000000e+00,5.22240000e-03
13000,0.00000000e+00,0.00000000e+00,5.02846154e-03
13500,0.00000000e+00,0.00000000e+00,4.79111111e-03
14000,0.00000000e+00,0.00000000e+00,4.59642857e-03
14500,4.81226054e-04,0.00000000e+00,4.32620690e-03
15000,4.18666667e-03,0.00000000e+00,4.35400000e-03
15500,4.05161290e-03,0.00000000e+00,4.75548387e-03
16000,3.92500000e-03,0.00000000e+00,4.96312500e-03
16500,3.80606061e-03,0.00000000e+00,5.46727273e-03
17000,3.69411765e-03,0.00000000e+00,5.80058824e-03
17500,0.00000000e+00,0.00000000e+00,5.71371429e-03
18000,3.87654321e-04,0.00000000e+00,5.46666667e-03
18500,3.77177177e-04,0.00000000e+00,5.22648649e-03
19000,0.00000000e+00,0.00000000e+00,4.96736842e-03
19500,3.57834758e-04,0.00000000e+00,4.75230769e-03
20000,0.00000000e+00,0.00000000e+00,4.59450000e-03
20500,0.00000000e+00,0.00000000e+00,4.48243902e-03
21000,2.99047619e-03,0.00000000e+00,4.78428571e-03
21500,2.92093023e-03,0.00000000e+00,5.11953488e-03
22000,2.85454545e-03,0.00000000e+00,5.38500000e-03
22500,2.79111111e-03,0.00000000e+00,5.66533333e-03
23000,1.17391304e-04,0.00000000e+00,5.69217391e-03
23500,2.96926714e-04,0.00000000e+00,5.49574468e-03
24000,2.90740741e-04,0.00000000e+00,5.27250000e-03
24500,0.00000000e+00,0.00000000e+00,5.10122449e-03
25000,0.00000000e+00,0.00000000e+00,5.00280000e-03
25500,0.00000000e+00,0.00000000e+00,4.93176471e-03
26000,0.00000000e+00,0.00000000e+00,4.77692308e-03
26500,1.31656184e-03,0.00000000e+00,4.83056604e-03
27000,1.29218107e-03,0.00000000e+00,5.10777778e-03
27500,1.26868687e-03,0.00000000e+00,5.36400000e-03
28000,1.24603175e-03,0.00000000e+00,5.63250000e-03
28500,1.22417154e-03,0.00000000e+00,5.89157895e-03
29000,2.40613027e-04,0.00000000e+00,5.80034483e-03
29500,0.00000000e+00,0.00000000e+00,5.75288136e-03
30000,0.00000000e+00,0.00000000e+00,5.63900000e-03
