tier,win,t0,wall_workstation_s,wall_jetson_s,note
half,0,1321,0.13,0.23,octile
half,1,12542,0.08,0.22,octile
half,2,2701,0.08,0.22,octile
half,3,63,0.09,0.24,octile
half,4,6123,0.1,0.27,octile
half,5,10381,0.1,0.34,octile
half,6,10920,0.1,0.3,octile
half,7,11402,0.1,0.61,octile
half,8,3660,0.53,0.33,hardest
half,9,3780,0.6,0.33,hardest
eclipse,0,13140,0.16,0.46,octile
eclipse,1,5641,0.15,0.49,octile
eclipse,2,5400,0.16,0.49,octile
eclipse,3,2280,0.17,0.55,octile
eclipse,4,10741,0.21,0.68,octile
eclipse,5,3361,0.22,0.71,octile
eclipse,6,4080,0.25,0.75,octile
eclipse,7,9841,0.52,1.64,octile
eclipse,8,13741,1.7,0.56,hardest
eclipse,9,2643,1.88,4.77,hardest
orbit,0,3000,0.53,1.75,octile
orbit,1,14042,0.57,1.86,octile
orbit,2,8580,0.57,1.85,octile
orbit,3,7740,0.6,1.92,octile
orbit,4,15780,0.78,18.56,octile
orbit,5,5582,1.0,3.35,octile
orbit,6,16442,1.06,8.08,octile
orbit,7,11345,1.1,9.48,octile
orbit,8,4444,10.25,1.59,hardest
orbit,9,16502,11.69,18.7,hardest
