t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
1,oracle,2070,0.16,Optimal,-520156.0,-520156.0,0.0,7452
64,oracle,2070,0.16,Optimal,-507054.7,-507054.7,0.0,7452
122,oracle,2070,0.16,Optimal,-494993.4,-494993.4,0.0,7452
181,oracle,2070,0.16,Optimal,-482723.2,-482723.2,0.0,7452
240,oracle,2070,0.16,Optimal,-470454.2,-470454.2,0.0,7452
302,oracle,2070,0.16,Optimal,-457560.3,-457560.3,0.0,7452
361,oracle,2070,0.16,Optimal,-445290.1,-445290.1,0.0,7452
420,oracle,2070,0.16,Optimal,-433021.1,-433021.1,0.0,7452
480,oracle,2070,0.16,Optimal,-420542.0,-420542.0,0.0,7452
540,oracle,2070,0.16,Optimal,-408063.8,-408063.8,0.0,7452
600,oracle,2070,0.16,Optimal,-395585.0,-395585.0,0.0,7452
662,oracle,2070,0.16,Optimal,-382692.0,-382692.0,0.0,7452
720,oracle,2070,0.16,Optimal,-370630.1,-370630.1,0.0,7452
780,oracle,2070,0.16,Optimal,-358151.6,-358151.6,0.0,7452
842,oracle,2070,0.16,Optimal,-345258.0,-345258.0,0.0,7452
900,oracle,2070,0.16,Optimal,-333195.5,-333195.5,0.0,7452
964,oracle,2070,0.16,Optimal,-319886.2,-319886.2,0.0,7452
1020,oracle,2070,0.16,Optimal,-308239.4,-308239.4,0.0,7452
1080,oracle,2070,0.16,Optimal,-295762.4,-295762.4,0.0,7452
1140,oracle,2070,0.16,Optimal,-283282.7,-283282.7,0.0,7452
1200,oracle,2070,0.16,Optimal,-270803.9,-270803.9,0.0,7452
1260,oracle,2070,0.16,Optimal,-258229.812,-258229.812,0.0,7452
1320,oracle,2070,0.16,Optimal,-245823.271,-245823.271,0.0,7452
1380,oracle,2070,0.16,Optimal,-233234.247,-233234.247,0.0,7452
1441,oracle,2070,0.16,Optimal,-216271.912,-216271.912,0.0,7452
1502,oracle,2070,0.17,Optimal,-190635.1797,-190635.1797,0.0,7452
1560,oracle,2070,0.16,Optimal,-166249.1055,-166249.1055,0.0,7452
