t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
10,realtime,2070,0.17,Optimal,-518284.0,-518284.0,0.0,7452
60,realtime,2070,0.17,Optimal,-507886.4,-507886.4,0.0,7452
125,realtime,2070,0.17,Optimal,-494368.8,-494368.8,0.0,7452
181,realtime,2070,0.17,Optimal,-482722.6,-482722.6,0.0,7452
241,realtime,2070,0.17,Optimal,-470245.6,-470245.6,0.0,7452
300,realtime,2070,0.17,Optimal,-457974.8,-457974.8,0.0,7452
362,realtime,2070,0.17,Optimal,-445081.2,-445081.2,0.0,7452
421,realtime,2070,0.18,Optimal,-432811.0,-432811.0,0.0,7452
483,realtime,2070,0.17,Optimal,-419917.1,-419917.1,0.0,7452
541,realtime,2070,0.17,Optimal,-407854.6,-407854.6,0.0,7452
601,realtime,2070,0.17,Optimal,-395375.5,-395375.5,0.0,7452
661,realtime,2070,0.18,Optimal,-382897.3,-382897.3,0.0,7452
720,realtime,2070,0.17,Optimal,-370628.0,-370628.0,0.0,7452
784,realtime,2070,0.17,Optimal,-357316.9,-357316.9,0.0,7452
840,realtime,2070,0.17,Optimal,-345670.4,-345670.4,0.0,7452
900,realtime,2070,0.17,Optimal,-333191.6,-333191.6,0.0,7452
962,realtime,2070,0.17,Optimal,-320296.5,-320296.5,0.0,7452
1020,realtime,2070,0.17,Optimal,-308234.3,-308234.3,0.0,7452
1080,realtime,2070,0.17,Optimal,-295756.7,-295756.7,0.0,7452
1141,realtime,2070,0.18,Optimal,-283070.8,-283070.8,0.0,7452
1200,realtime,2070,0.17,Optimal,-270799.7,-270799.7,0.0,7452
1260,realtime,2070,0.18,Optimal,-258320.925,-258320.925,0.0,7452
1320,realtime,2070,0.18,Optimal,-245779.868,-245779.868,0.0,7452
1380,realtime,2070,0.17,Optimal,-233432.768,-233432.768,0.0,7452
1446,realtime,2070,0.18,Optimal,-214323.166,-214323.166,0.0,7452
1504,realtime,2070,0.17,Optimal,-190080.2103,-190080.2103,0.0,7452
1560,realtime,2070,0.18,Optimal,-166480.5044,-166480.5044,0.0,7452
1622,realtime,2070,0.18,Optimal,-140648.0773,-140648.0773,0.0,7452
1680,realtime,2070,0.19,Optimal,-117305.0374,-117304.6353,0.0,7452
1743,realtime,2070,0.19,Optimal,-101069.1995,-101068.754,0.0,7452
1800,realtime,2070,0.19,Optimal,-88149.3129,-88148.5521,0.0,7452
1864,realtime,2070,0.2,Optimal,-74213.5916,-74213.2127,0.0,7452
1923,realtime,2070,0.19,Optimal,-63812.1937,-63811.7381,0.0,7452
1987,realtime,2070,0.2,Optimal,-54129.8093,-54128.882,0.0,7452
2040,realtime,2070,0.2,Optimal,-48655.0282,-48654.1102,0.0,7452
2102,realtime,2070,0.2,Optimal,-42380.3711,-42379.6469,0.0,7452
2160,realtime,2070,0.21,Optimal,-36549.0465,-36548.6297,0.0,7452
2223,realtime,2070,0.22,Optimal,-29828.3661,-29827.2492,0.0,7452
2280,realtime,2070,0.25,Optimal,-23941.8368,-23940.8235,0.0,7452
2342,realtime,2070,0.22,Optimal,-17358.9074,-17358.2275,0.0,7452
2400,realtime,2070,0.21,Optimal,-11171.0429,-11170.6136,0.0,7452
2461,realtime,2070,0.22,Optimal,-7553.9882,-7553.6616,0.0,7452
2520,realtime,2070,0.23,Optimal,-4452.3779,-4452.3769,0.0,7452
2580,realtime,2070,0.24,Optimal,-1331.941,-1331.9387,0.0,7452
