t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
4,oracle,1035,0.11,Optimal,-54051.4501,-54051.1296,0.0,3780
60,oracle,1035,0.11,Optimal,-54053.6075,-54053.3547,0.0,3780
121,oracle,1035,0.12,Optimal,-54055.9458,-54055.4314,0.0,3780
180,oracle,1035,0.1,Optimal,-186845.5,-186845.5,0.0,3780
241,oracle,1035,0.09,Optimal,-183676.2,-183676.2,0.0,3780
302,oracle,1035,0.1,Optimal,-180504.5,-180504.5,0.0,3780
361,oracle,1035,0.1,Optimal,-177436.8,-177436.8,0.0,3780
421,oracle,1035,0.11,Optimal,-319705.4,-319705.4,0.0,3780
480,oracle,1035,0.1,Optimal,-313571.1337,-313571.1337,0.0,3780
540,oracle,1035,0.09,Optimal,-307333.9,-307333.9,0.0,3780
601,oracle,1035,0.11,Optimal,-300992.3,-300992.3,0.0,3780
660,oracle,1035,0.1,Optimal,-440122.8676,-440122.8676,0.0,3780
720,oracle,1035,0.1,Optimal,-430765.0,-430765.0,0.0,3780
780,oracle,1035,0.1,Optimal,-421406.8,-421406.8,0.0,3780
849,oracle,1035,0.09,Optimal,-410644.2337,-410644.2337,0.0,3780
904,oracle,1035,0.1,Optimal,-547194.7,-547194.7,0.0,3780
963,oracle,1035,0.1,Optimal,-534923.6,-534923.6,0.0,3780
1020,oracle,1035,0.1,Optimal,-523069.6337,-523069.6337,0.0,3780
1080,oracle,1035,0.1,Optimal,-510591.1337,-510591.1337,0.0,3780
1142,oracle,1035,0.09,Optimal,-497696.9676,-497696.9676,0.0,3780
1200,oracle,1035,0.1,Optimal,-485635.0337,-485635.0337,0.0,3780
1263,oracle,1035,0.11,Optimal,-472550.4106,-472550.4106,0.0,3780
1320,oracle,1035,0.1,Optimal,-460765.9676,-460765.9676,0.0,3780
1380,oracle,1035,0.1,Optimal,-448351.5256,-448351.5256,0.0,3780
1443,oracle,1035,0.1,Optimal,-430678.3726,-430678.3726,0.0,3780
1500,oracle,1035,0.09,Optimal,-406866.4996,-406866.4996,0.0,3780
1567,oracle,1035,0.1,Optimal,-378896.9956,-378896.9956,0.0,3780
1621,oracle,1035,0.1,Optimal,-356478.5366,-356478.5366,0.0,3780
1680,oracle,1035,0.1,Optimal,-331810.3227,-331810.3227,0.0,3780
1740,oracle,1035,0.09,Optimal,-313220.1167,-313220.1167,0.0,3780
1800,oracle,1035,0.1,Optimal,-296629.5667,-296629.5667,0.0,3780
1864,oracle,1035,0.1,Optimal,-278901.492,-278901.492,0.0,3780
1924,oracle,1035,0.09,Optimal,-262149.828,-262149.828,0.0,3780
1984,oracle,1035,0.1,Optimal,-246631.752,-246631.752,0.0,3780
2040,oracle,1035,0.1,Optimal,-235030.401,-235030.401,0.0,3780
2102,oracle,1035,0.11,Optimal,-222098.115,-222098.115,0.0,3780
2160,oracle,1035,0.1,Optimal,-210146.984,-210146.984,0.0,3780
2225,oracle,1035,0.1,Optimal,-196574.648,-196574.648,0.0,3780
2281,oracle,1035,0.1,Optimal,-184802.649,-184802.649,0.0,3780
2340,oracle,1035,0.1,Optimal,-172672.296,-172672.296,0.0,3780
2401,oracle,1035,0.1,Optimal,-159914.6377,-159914.6377,0.0,3780
2460,oracle,1035,0.1,Optimal,-147427.2287,-147427.2287,0.0,3780
2521,oracle,1035,0.1,Optimal,-134666.682,-134666.682,0.0,3780
2580,oracle,1035,0.1,Optimal,-122499.8352,-122499.8352,0.0,3780
2640,oracle,1035,0.11,Optimal,-110011.5555,-110011.5555,0.0,3780
2700,oracle,1035,0.1,Optimal,-97534.5824,-97534.5824,0.0,3780
2760,oracle,1035,0.11,Optimal,-86110.4691,-86110.3314,0.0,3780
2824,oracle,1035,0.1,Optimal,-76221.1532,-76220.8157,0.0,3780
2880,oracle,1035,0.1,Optimal,-67860.4212,-67859.9841,0.0,3780
2940,oracle,1035,0.11,Optimal,-61433.6854,-61432.5893,0.0,3780
