t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
0,realtime,1035,0.15,Optimal,-54051.4501,-54051.1296,0.0,3780
60,realtime,1035,0.11,Optimal,-54054.1868,-54053.6684,0.0,3780
120,realtime,1035,0.11,Optimal,-54056.5223,-54055.9294,0.0,3780
180,realtime,1035,0.09,Optimal,-186836.1,-186836.1,0.0,3780
240,realtime,1035,0.09,Optimal,-183776.3,-183776.3,0.0,3780
300,realtime,1035,0.09,Optimal,-180658.4,-180658.4,0.0,3780
361,realtime,1035,0.1,Optimal,-177487.9,-177487.9,0.0,3780
420,realtime,1035,0.1,Optimal,-319862.0,-319862.0,0.0,3780
480,realtime,1035,0.1,Optimal,-313623.5,-313623.5,0.0,3780
541,realtime,1035,0.1,Optimal,-307281.0,-307281.0,0.0,3780
605,realtime,1035,0.1,Optimal,-300627.7,-300627.7,0.0,3780
660,realtime,1035,0.1,Optimal,-440175.2,-440175.2,0.0,3780
722,realtime,1035,0.1,Optimal,-430505.3,-430505.3,0.0,3780
781,realtime,1035,0.1,Optimal,-421304.0,-421304.0,0.0,3780
840,realtime,1035,0.1,Optimal,-412101.8,-412101.8,0.0,3780
900,realtime,1035,0.1,Optimal,-548079.9,-548079.9,0.0,3780
960,realtime,1035,0.11,Optimal,-535600.5,-535600.5,0.0,3780
1020,realtime,1035,0.1,Optimal,-523122.6,-523122.6,0.0,3780
1082,realtime,1035,0.1,Optimal,-510228.4,-510228.4,0.0,3780
1146,realtime,1035,0.11,Optimal,-496919.1,-496919.1,0.0,3780
1200,realtime,1035,0.1,Optimal,-485688.6,-485688.6,0.0,3780
1260,realtime,1035,0.1,Optimal,-473228.423,-473228.423,0.0,3780
1321,realtime,1035,0.1,Optimal,-460552.433,-460552.433,0.0,3780
1380,realtime,1035,0.1,Optimal,-448354.943,-448354.943,0.0,3780
1442,realtime,1035,0.1,Optimal,-431025.949,-431025.949,0.0,3780
