t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
10,oracle,5736,0.86,Optimal,-52029.4954,-52029.4933,0.0,20736
60,oracle,5736,0.81,Optimal,-53589.8951,-53589.8938,0.0,20736
125,oracle,5736,0.8,Optimal,-52809.4773,-52809.4749,0.0,20736
181,oracle,5736,0.83,Optimal,-53433.7697,-53433.7677,0.0,20736
240,oracle,5736,0.81,Optimal,-53590.0592,-53590.057,0.0,20736
300,oracle,5736,0.82,Optimal,-53589.7586,-53589.7564,0.0,20736
362,oracle,5736,0.99,Optimal,-53277.5796,-53277.574,0.0,20736
420,oracle,5736,0.84,Optimal,-53589.4585,-53589.4559,0.0,20736
482,oracle,5736,0.81,Optimal,-53277.9511,-53277.4603,0.0,20736
540,oracle,5736,0.81,Optimal,-53589.9495,-53589.46,0.0,20736
601,oracle,5736,0.82,Optimal,-53434.097,-53433.7666,0.0,20736
660,oracle,5736,0.79,Optimal,-53590.5235,-53590.1548,0.0,20736
721,oracle,5736,0.81,Optimal,-53434.939,-53433.9479,0.0,20736
783,oracle,5736,0.8,Optimal,-53122.8617,-53121.8869,0.0,20736
847,oracle,5736,0.78,Optimal,-52498.0056,-52497.5171,0.0,20736
903,oracle,5736,0.85,Optimal,-53122.1681,-53121.5173,0.0,20736
961,oracle,5736,0.8,Optimal,-53434.2976,-53433.5248,0.0,20736
1021,oracle,5736,0.8,Optimal,-53434.079,-53433.5374,0.0,20736
1084,oracle,5736,0.79,Optimal,-52966.7489,-52966.1574,0.0,20736
1144,oracle,5736,0.82,Optimal,-52967.4942,-52966.5088,0.0,20736
1202,oracle,5736,0.73,Optimal,-179919.7544,-179918.7792,0.0,20736
1261,oracle,5736,0.73,Optimal,-176956.1009,-176955.0651,0.0,20736
1320,oracle,5736,0.72,Optimal,-173992.3647,-173991.1961,0.0,20736
1380,oracle,5736,0.7,Optimal,-170871.5363,-170870.7762,0.0,20736
1443,oracle,5736,0.64,Optimal,-289730.4816,-289729.482,0.0,20736
1500,oracle,5736,0.66,Optimal,-275817.3352,-275816.2942,0.0,20736
1560,oracle,5736,0.65,Optimal,-261171.7079,-261171.2128,0.0,20736
1621,oracle,5736,0.65,Optimal,-246282.451,-246281.735,0.0,20736
1681,oracle,5736,0.65,Optimal,-358484.5357,-358482.7545,0.0,20736
1741,oracle,5736,0.66,Optimal,-344922.4804,-344921.7802,0.0,20736
1800,oracle,5736,0.63,Optimal,-331487.7679,-331486.4523,0.0,20736
1862,oracle,5736,0.64,Optimal,-317685.9407,-317684.1516,0.0,20736
1921,oracle,5736,0.63,Optimal,-431244.5442,-431243.5895,0.0,20736
1986,oracle,5736,0.66,Optimal,-418766.6692,-418765.8912,0.0,20736
2043,oracle,5736,0.67,Optimal,-406289.4507,-406288.3936,0.0,20736
2100,oracle,5736,0.66,Optimal,-393812.3776,-393812.0545,0.0,20736
2164,oracle,5736,0.65,Optimal,-381335.5478,-381335.1369,0.0,20736
2221,oracle,5736,0.66,Optimal,-368858.7999,-368858.3058,0.0,20736
2280,oracle,5736,0.64,Optimal,-356382.6032,-356381.8917,0.0,20736
2340,oracle,5736,0.64,Optimal,-343906.1857,-343905.0593,0.0,20736
2400,oracle,5736,0.64,Optimal,-331427.6703,-331427.1805,0.0,20736
2463,oracle,5736,0.66,Optimal,-318951.3435,-318950.2609,0.0,20736
