t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
1,realtime,5736,0.91,Optimal,-53433.4938,-53433.4914,0.0,20736
61,realtime,5736,1.03,Optimal,-53433.4866,-53433.4851,0.0,20736
121,realtime,5736,0.89,Optimal,-53433.4812,-53433.4785,0.0,20736
181,realtime,5736,0.9,Optimal,-53433.8847,-53433.8818,0.0,20736
243,realtime,5736,0.87,Optimal,-53122.4475,-53122.4449,0.0,20736
300,realtime,5736,0.89,Optimal,-53590.5969,-53590.595,0.0,20736
361,realtime,5736,0.92,Optimal,-53435.5813,-53435.5784,0.0,20736
421,realtime,5736,0.9,Optimal,-53435.6183,-53435.13,0.0,20736
480,realtime,5736,0.88,Optimal,-53590.6862,-53590.6833,0.0,20736
540,realtime,5736,0.9,Optimal,-53591.3311,-53590.8407,0.0,20736
601,realtime,5736,0.9,Optimal,-53435.5336,-53435.0453,0.0,20736
662,realtime,5736,0.91,Optimal,-53278.842,-53278.7928,0.0,20736
721,realtime,5736,0.9,Optimal,-53435.3023,-53435.0255,0.0,20736
780,realtime,5736,0.9,Optimal,-53591.0604,-53590.1005,0.0,20736
840,realtime,5736,0.88,Optimal,-53591.2055,-53590.2167,0.0,20736
900,realtime,5736,0.92,Optimal,-53590.8022,-53590.2681,0.0,20736
960,realtime,5736,0.89,Optimal,-53591.2453,-53590.6185,0.0,20736
1021,realtime,5736,0.96,Optimal,-53436.2109,-53435.2736,0.0,20736
1083,realtime,5736,0.87,Optimal,-53124.0804,-53123.6282,0.0,20736
1143,realtime,5736,0.89,Optimal,-53124.7606,-53124.0941,0.0,20736
1201,realtime,5736,0.81,Optimal,-180076.8716,-180076.2946,0.0,20736
1262,realtime,5736,0.79,Optimal,-176801.1078,-176800.3564,0.0,20736
1320,realtime,5736,0.78,Optimal,-173994.2723,-173992.8982,0.0,20736
1382,realtime,5736,0.78,Optimal,-170562.0003,-170561.1517,0.0,20736
1441,realtime,5736,0.74,Optimal,-290220.7303,-290219.2883,0.0,20736
1500,realtime,5736,0.72,Optimal,-275819.0204,-275818.068,0.0,20736
1563,realtime,5736,0.71,Optimal,-260441.2092,-260440.1542,0.0,20736
1620,realtime,5736,0.73,Optimal,-246527.7231,-246526.9438,0.0,20736
1681,realtime,5736,0.72,Optimal,-358484.4676,-358483.7279,0.0,20736
1740,realtime,5736,0.72,Optimal,-345046.5942,-345045.5408,0.0,20736
1800,realtime,5736,0.69,Optimal,-331488.5981,-331487.722,0.0,20736
1861,realtime,5736,0.7,Optimal,-317810.8369,-317808.5223,0.0,20736
1922,realtime,5736,0.67,Optimal,-431246.967,-431246.8555,0.0,20736
1980,realtime,5736,0.72,Optimal,-418770.8777,-418770.2712,0.0,20736
2040,realtime,5736,0.7,Optimal,-406293.6352,-406292.6923,0.0,20736
2101,realtime,5736,0.7,Optimal,-393815.6265,-393814.8772,0.0,20736
2160,realtime,5736,0.68,Optimal,-381337.6574,-381337.064,0.0,20736
2220,realtime,5736,0.68,Optimal,-368861.4445,-368860.644,0.0,20736
2283,realtime,5736,0.68,Optimal,-356383.7089,-356383.2431,0.0,20736
2341,realtime,5736,0.67,Optimal,-343906.8733,-343906.3842,0.0,20736
2400,realtime,5736,0.67,Optimal,-331429.8558,-331429.3665,0.0,20736
2461,realtime,5736,0.7,Optimal,-318953.288,-318952.6849,0.0,20736
2526,realtime,5736,0.72,Optimal,-306476.2733,-306475.7628,0.0,20736
2583,realtime,5736,0.68,Optimal,-293998.8311,-293998.08,0.0,20736
2640,realtime,5736,0.7,Optimal,-281522.3915,-281521.4808,0.0,20736
2701,realtime,5736,0.68,Optimal,-269046.4188,-269045.652,0.0,20736
2760,realtime,5736,0.69,Optimal,-256569.2982,-256568.3771,0.0,20736
2820,realtime,5736,0.68,Optimal,-244093.2956,-244092.2589,0.0,20736
2880,realtime,5736,0.67,Optimal,-231615.6706,-231614.7492,0.0,20736
2940,realtime,5736,0.69,Optimal,-219137.5791,-219136.7622,0.0,20736
3001,realtime,5736,0.67,Optimal,-206660.9689,-206659.6661,0.0,20736
3060,realtime,5736,0.71,Optimal,-194182.7627,-194182.2753,0.0,20736
3122,realtime,5736,0.68,Optimal,-181706.9949,-181706.033,0.0,20736
3181,realtime,5736,0.65,Optimal,-169230.0134,-169229.6873,0.0,20736
3241,realtime,5736,0.65,Optimal,-156753.3872,-156752.8524,0.0,20736
3305,realtime,5736,0.66,Optimal,-144276.1615,-144275.8229,0.0,20736
3361,realtime,5736,0.66,Optimal,-131799.9622,-131798.998,0.0,20736
3420,realtime,5736,0.66,Optimal,-119321.3766,-119321.3754,0.0,20736
3481,realtime,5736,0.67,Optimal,-106844.2748,-106843.7933,0.0,20736
3540,realtime,5736,0.66,Optimal,-94367.2058,-94366.285,0.0,20736
3603,realtime,5736,0.69,Optimal,-81889.954,-81888.7674,0.0,20736
3660,realtime,5736,0.68,Optimal,-70680.1621,-70679.2143,0.0,20736
3721,realtime,5736,0.65,Optimal,-61306.7823,-61304.6261,0.0,20736
3781,realtime,5736,0.67,Optimal,-51939.1734,-51938.2471,0.0,20736
3842,realtime,5736,0.68,Optimal,-42574.9595,-42573.9546,0.0,20736
3900,realtime,5736,0.66,Optimal,-34486.4069,-34484.6706,0.0001,20736
3961,realtime,5736,0.68,Optimal,-28233.384,-28232.1015,0.0,20736
4021,realtime,5736,0.65,Optimal,-21983.1967,-21982.235,0.0,20736
4080,realtime,5736,0.71,Optimal,-15733.9117,-15732.8604,0.0001,20736
4142,realtime,5736,0.7,Optimal,-10953.5272,-10951.7614,0.0002,20736
4204,realtime,5736,0.7,Optimal,-7817.4016,-7815.9415,0.0002,20736
4264,realtime,5736,0.71,Optimal,-4680.4638,-4679.8428,0.0001,20736
4322,realtime,5736,0.7,Optimal,-1545.5167,-1544.5548,0.0006,20736
4380,realtime,5736,5.54,Optimal,241.3376,242.0641,0.003,20736
4441,realtime,5736,3.67,Optimal,258.6837,259.6883,0.0039,20736
4500,realtime,5736,10.63,Optimal,273.0583,273.8392,0.0029,20736
4560,realtime,5736,0.82,Optimal,272.3294,273.3045,0.0036,20736
4623,realtime,5736,0.89,Optimal,273.1249,273.7983,0.0025,20736
4680,realtime,5736,0.88,Optimal,274.1949,274.1992,0.0,20736
4741,realtime,5736,0.97,Optimal,273.6876,273.6903,0.0,20736
4803,realtime,5736,1.01,Optimal,273.1547,273.1571,0.0,20736
4860,realtime,5736,0.97,Optimal,273.2947,273.2976,0.0,20736
4922,realtime,5736,1.05,Optimal,273.3808,273.8701,0.0018,20736
4981,realtime,5736,1.04,Optimal,273.934,274.4235,0.0018,20736
5040,realtime,5736,1.1,Optimal,275.2733,275.2763,0.0,20736
5100,realtime,5736,1.21,Optimal,273.0357,273.0411,0.0,20736
5160,realtime,5736,1.17,Optimal,272.6004,272.6045,0.0,20736
5220,realtime,5736,1.23,Optimal,272.0907,272.0934,0.0,20736
5281,realtime,5736,1.26,Optimal,270.9753,270.9805,0.0,20736
5342,realtime,5736,1.31,Optimal,269.9651,269.971,0.0,20736
5401,realtime,5736,1.29,Optimal,268.7713,268.7738,0.0,20736
5460,realtime,5736,1.18,Optimal,268.7321,268.7364,0.0,20736
5520,realtime,5736,1.23,Optimal,268.5805,268.5854,0.0,20736
5580,realtime,5736,1.17,Optimal,267.4902,267.9821,0.0018,20736
5641,realtime,5736,1.25,Optimal,265.9438,265.949,0.0,20736
5700,realtime,5736,1.28,Optimal,264.8138,264.8153,0.0,20736
5760,realtime,5736,1.32,Optimal,263.6061,263.6085,0.0,20736
5820,realtime,5736,1.21,Optimal,263.3693,263.3742,0.0,20736
5881,realtime,5736,1.27,Optimal,262.9503,262.9528,0.0,20736
5940,realtime,5736,1.24,Optimal,262.0718,262.0794,0.0,20736
6000,realtime,5736,1.21,Optimal,261.4244,261.4313,0.0,20736
6061,realtime,5736,1.25,Optimal,260.1817,260.1841,0.0,20736
6120,realtime,5736,1.19,Optimal,259.4584,259.4635,0.0,20736
6180,realtime,5736,1.26,Optimal,258.7393,258.7444,0.0,20736
6240,realtime,5736,1.19,Optimal,258.8068,258.8115,0.0,20736
6300,realtime,5736,1.16,Optimal,258.3484,258.35,0.0,20736
6360,realtime,5736,1.2,Optimal,259.2704,259.2735,0.0,20736
6423,realtime,5736,1.17,Optimal,259.709,259.7122,0.0,20736
6481,realtime,5736,1.14,Optimal,259.9594,259.9626,0.0,20736
6541,realtime,5736,1.17,Optimal,259.4244,259.4282,0.0,20736
6603,realtime,5736,1.2,Optimal,259.0366,259.039,0.0,20736
6660,realtime,5736,1.13,Optimal,259.1756,259.1771,0.0,20736
6721,realtime,5736,1.11,Optimal,258.7525,258.7546,0.0,20736
6783,realtime,5736,1.31,Optimal,257.5025,257.9918,0.0019,20736
6840,realtime,5736,1.13,Optimal,257.7115,257.7152,0.0,20736
6902,realtime,5736,1.07,Optimal,257.7311,257.7356,0.0,20736
6961,realtime,5736,1.02,Optimal,-116830.3803,-116829.8919,0.0,20736
7023,realtime,5736,1.01,Optimal,-113466.8517,-113466.8485,0.0,20736
7080,realtime,5736,1.03,Optimal,-110713.6891,-110713.6875,0.0,20736
7140,realtime,5736,0.99,Optimal,-107594.2974,-107593.6327,0.0,20736
7200,realtime,5736,0.84,Optimal,-221562.4173,-221562.1228,0.0,20736
7260,realtime,5736,0.84,Optimal,-215323.8548,-215322.8547,0.0,20736
7320,realtime,5736,0.89,Optimal,-209084.467,-209083.2079,0.0,20736
7382,realtime,5736,0.88,Optimal,-202358.9523,-202356.4715,0.0,20736
7440,realtime,5736,0.82,Optimal,-313380.4112,-313378.9456,0.0,20736
7501,realtime,5736,0.78,Optimal,-303654.2251,-303653.4327,0.0,20736
7560,realtime,5736,0.9,Optimal,-294660.4642,-294659.6067,0.0,20736
7620,realtime,5736,0.75,Optimal,-285300.7945,-285299.6792,0.0,20736
7681,realtime,5736,0.72,Optimal,-392329.6755,-392329.3684,0.0,20736
7742,realtime,5736,0.73,Optimal,-379365.0039,-379364.7641,0.0,20736
7800,realtime,5736,0.71,Optimal,-367863.3513,-367863.3227,0.0,20736
7860,realtime,5736,0.76,Optimal,-355387.2053,-355386.717,0.0,20736
7923,realtime,5736,0.75,Optimal,-341445.64,-341445.6347,0.0,20736
7980,realtime,5736,0.77,Optimal,-330432.7466,-330432.6764,0.0,20736
8047,realtime,5736,0.74,Optimal,-314863.8114,-314863.3226,0.0,20736
8102,realtime,5736,0.75,Optimal,-304503.5007,-304503.4992,0.0,20736
