tier,win,t0,wall_workstation_s,wall_jetson_s,note
half,0,,0.08,0.09,body
half,1,,0.08,0.10,body
half,2,,0.08,0.11,body
half,3,,0.09,0.12,body
half,4,,0.11,0.15,body
half,5,,0.11,0.16,body
half,6,,0.12,0.19,body
half,7,15004,0.14,0.34,stratum8
half,8,11400,0.62,0.73,hardest2
half,9,3660,0.67,1.59,hardest1
eclipse,0,607,0.20,0.44,body
eclipse,1,6421,0.14,0.48,body
eclipse,2,5520,0.16,0.50,body
eclipse,3,12004,0.15,0.44,body
eclipse,4,10149,0.23,0.67,body
eclipse,5,4441,0.26,0.75,body
eclipse,6,9424,0.31,1.42,body
eclipse,7,2940,0.89,0.83,stratum8
eclipse,8,2700,2.10,4.86,hardest2
eclipse,9,13683,60.12,1.32,hardest1_was300s_in_batch
orbit,0,3361,0.55,1.75,body
orbit,1,15060,0.59,1.80,body
orbit,2,9001,0.60,1.86,body
orbit,3,961,0.67,2.14,body
orbit,4,843,0.69,2.17,body
orbit,5,6180,1.00,2.63,body
orbit,6,4443,3.28,24.27,stratum7
orbit,7,6842,7.25,20.18,stratum8
orbit,8,16443,19.21,7.49,hardest2
orbit,9,16920,21.55,10.35,hardest1
