t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
10,oracle,2070,0.17,Optimal,-518284.0,-518284.0,0.0,7452
60,oracle,2070,0.18,Optimal,-507886.4,-507886.4,0.0,7452
125,oracle,2070,0.18,Optimal,-494368.8,-494368.8,0.0,7452
181,oracle,2070,0.18,Optimal,-482722.6,-482722.6,0.0,7452
241,oracle,2070,0.18,Optimal,-470245.6,-470245.6,0.0,7452
300,oracle,2070,0.18,Optimal,-457974.8,-457974.8,0.0,7452
362,oracle,2070,0.18,Optimal,-445081.2,-445081.2,0.0,7452
421,oracle,2070,0.18,Optimal,-432811.0,-432811.0,0.0,7452
483,oracle,2070,0.18,Optimal,-419917.1,-419917.1,0.0,7452
541,oracle,2070,0.17,Optimal,-407854.6,-407854.6,0.0,7452
601,oracle,2070,0.17,Optimal,-395375.5,-395375.5,0.0,7452
661,oracle,2070,0.18,Optimal,-382897.3,-382897.3,0.0,7452
720,oracle,2070,0.18,Optimal,-370628.0,-370628.0,0.0,7452
784,oracle,2070,0.18,Optimal,-357316.9,-357316.9,0.0,7452
840,oracle,2070,0.18,Optimal,-345670.4,-345670.4,0.0,7452
900,oracle,2070,0.18,Optimal,-333191.6,-333191.6,0.0,7452
962,oracle,2070,0.17,Optimal,-320296.5,-320296.5,0.0,7452
1020,oracle,2070,0.18,Optimal,-308234.3,-308234.3,0.0,7452
1080,oracle,2070,0.18,Optimal,-295756.7,-295756.7,0.0,7452
1141,oracle,2070,0.18,Optimal,-283070.8,-283070.8,0.0,7452
1200,oracle,2070,0.18,Optimal,-270799.7,-270799.7,0.0,7452
1260,oracle,2070,0.18,Optimal,-258320.925,-258320.925,0.0,7452
1320,oracle,2070,0.18,Optimal,-245779.868,-245779.868,0.0,7452
1380,oracle,2070,0.18,Optimal,-233432.768,-233432.768,0.0,7452
1446,oracle,2070,0.18,Optimal,-214323.166,-214323.166,0.0,7452
1504,oracle,2070,0.18,Optimal,-190080.2103,-190080.2103,0.0,7452
1560,oracle,2070,0.18,Optimal,-166480.5044,-166480.5044,0.0,7452
1622,oracle,2070,0.18,Optimal,-140648.0773,-140648.0773,0.0,7452
1680,oracle,2070,0.19,Optimal,-117305.385,-117305.0666,0.0,7452
1743,oracle,2070,0.22,Optimal,-101069.7347,-101069.5226,0.0,7452
1800,oracle,2070,0.19,Optimal,-88173.9511,-88173.6349,0.0,7452
1864,oracle,2070,0.19,Optimal,-74233.3998,-74232.5373,0.0,7452
1923,oracle,2070,0.2,Optimal,-63819.9442,-63819.432,0.0,7452
1987,oracle,2070,0.2,Optimal,-54154.5698,-54154.0201,0.0,7452
2040,oracle,2070,0.21,Optimal,-48680.6725,-48679.8782,0.0,7452
2102,oracle,2070,0.22,Optimal,-42423.9059,-42423.2243,0.0,7452
2160,oracle,2070,0.21,Optimal,-36491.226,-36489.3699,0.0001,7452
2223,oracle,2070,0.22,Optimal,-29769.5871,-29768.52,0.0,7452
2280,oracle,2070,0.22,Optimal,-23914.5667,-23912.2541,0.0001,7452
2342,oracle,2070,0.22,Optimal,-17329.179,-17326.4442,0.0002,7452
2400,oracle,2070,0.22,Optimal,-11154.5099,-11151.4454,0.0003,7452
2461,oracle,2070,0.23,Optimal,-7749.9958,-7748.6703,0.0002,7452
2520,oracle,2070,0.25,Optimal,-4676.2121,-4674.2057,0.0004,7452
2581,oracle,2070,0.27,Optimal,-1501.7105,-1501.0063,0.0005,7452
2640,oracle,2070,2.12,Optimal,86.2524,86.2532,0.0,7452
2701,oracle,2070,0.36,Optimal,85.9711,85.9886,0.0002,7452
2761,oracle,2070,2.27,Optimal,84.4936,84.4936,0.0,7452
2822,oracle,2070,2.08,Optimal,84.4929,84.4936,0.0,7452
2880,oracle,2070,0.33,Optimal,83.7867,83.7936,0.0001,7452
2940,oracle,2070,0.33,Optimal,83.2826,83.2936,0.0001,7452
3002,oracle,2070,0.29,Optimal,83.7892,83.7936,0.0001,7452
3062,oracle,2070,0.3,Optimal,83.1915,83.1936,0.0,7452
3122,oracle,2070,0.28,Optimal,82.6857,82.6936,0.0001,7452
3180,oracle,2070,0.28,Optimal,83.2905,83.2936,0.0,7452
3241,oracle,2070,0.27,Optimal,83.1867,83.1936,0.0001,7452
3300,oracle,2070,0.27,Optimal,83.1889,83.1936,0.0001,7452
3363,oracle,2070,0.77,Optimal,82.9936,82.9936,0.0,7452
3420,oracle,2070,0.3,Optimal,82.5856,82.5936,0.0001,7452
3480,oracle,2070,0.28,Optimal,82.1891,82.1936,0.0001,7452
3540,oracle,2070,0.31,Optimal,82.3851,82.3936,0.0001,7452
3600,oracle,2070,0.28,Optimal,81.189,81.1936,0.0001,7452
3661,oracle,2070,0.28,Optimal,79.8884,79.8936,0.0001,7452
3722,oracle,2070,0.28,Optimal,78.9875,78.9936,0.0001,7452
3786,oracle,2070,0.27,Optimal,78.6904,78.6936,0.0,7452
3840,oracle,2070,0.27,Optimal,78.2883,78.2936,0.0001,7452
3903,oracle,2070,0.29,Optimal,76.8887,76.8936,0.0001,7452
3960,oracle,2070,1.82,Optimal,77.3936,77.3936,0.0,7452
4023,oracle,2070,2.08,Optimal,78.1928,78.1936,0.0,7452
4080,oracle,2070,0.31,Optimal,78.0911,78.0936,0.0,7452
4140,oracle,2070,1.51,Optimal,76.9936,76.9936,0.0,7452
