t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
4,realtime,2070,0.17,Optimal,-519532.0,-519532.0,0.0,7452
60,realtime,2070,0.17,Optimal,-507886.7,-507886.7,0.0,7452
121,realtime,2070,0.17,Optimal,-495201.1,-495201.1,0.0,7452
182,realtime,2070,0.19,Optimal,-482514.9,-482514.9,0.0,7452
242,realtime,2070,0.17,Optimal,-470037.0,-470037.0,0.0,7452
304,realtime,2070,0.18,Optimal,-457141.3,-457141.3,0.0,7452
360,realtime,2070,0.18,Optimal,-445495.1,-445495.1,0.0,7452
420,realtime,2070,0.18,Optimal,-433016.9,-433016.9,0.0,7452
480,realtime,2070,0.17,Optimal,-420539.0,-420539.0,0.0,7452
540,realtime,2070,0.18,Optimal,-408061.4,-408061.4,0.0,7452
602,realtime,2070,0.17,Optimal,-395166.6,-395166.6,0.0,7452
661,realtime,2070,0.18,Optimal,-382896.7,-382896.7,0.0,7452
721,realtime,2070,0.18,Optimal,-370418.2,-370418.2,0.0,7452
781,realtime,2070,0.17,Optimal,-357940.0,-357940.0,0.0,7452
840,realtime,2070,0.17,Optimal,-345670.4,-345670.4,0.0,7452
905,realtime,2070,0.17,Optimal,-332151.9,-332151.9,0.0,7452
960,realtime,2070,0.17,Optimal,-320713.7,-320713.7,0.0,7452
1020,realtime,2070,0.18,Optimal,-308235.8,-308235.8,0.0,7452
1080,realtime,2070,0.18,Optimal,-295757.3,-295757.3,0.0,7452
1144,realtime,2070,0.17,Optimal,-282446.8,-282446.8,0.0,7452
1201,realtime,2070,0.18,Optimal,-270592.9,-270592.9,0.0,7452
1260,realtime,2070,0.18,Optimal,-258330.387,-258330.387,0.0,7452
1320,realtime,2070,0.18,Optimal,-245931.072,-245931.072,0.0,7452
1380,realtime,2070,0.18,Optimal,-233516.848,-233516.848,0.0,7452
1440,realtime,2070,0.18,Optimal,-217074.291,-217074.291,0.0,7452
1500,realtime,2070,0.18,Optimal,-191993.2161,-191993.2161,0.0,7452
1568,realtime,2070,0.18,Optimal,-163728.4476,-163728.4476,0.0,7452
1622,realtime,2070,0.18,Optimal,-141356.6731,-141356.6731,0.0,7452
1681,realtime,2070,0.19,Optimal,-117331.4652,-117331.1906,0.0,7452
1741,realtime,2070,0.19,Optimal,-102075.251,-102074.8419,0.0,7452
1804,realtime,2070,0.19,Optimal,-88057.7025,-88057.3,0.0,7452
1865,realtime,2070,0.19,Optimal,-74388.4227,-74387.7389,0.0,7452
1920,realtime,2070,0.19,Optimal,-64799.4092,-64798.7175,0.0,7452
1984,realtime,2070,0.23,Optimal,-54758.198,-54757.6751,0.0,7452
2040,realtime,2070,0.2,Optimal,-48919.4702,-48918.823,0.0,7452
2102,realtime,2070,0.2,Optimal,-42477.5558,-42476.6243,0.0,7452
2160,realtime,2070,0.21,Optimal,-36573.174,-36572.4949,0.0,7452
2224,realtime,2070,0.21,Optimal,-29884.8142,-29883.8483,0.0,7452
2280,realtime,2070,0.21,Optimal,-23878.4076,-23877.275,0.0,7452
2340,realtime,2070,0.22,Optimal,-17664.8142,-17661.3606,0.0002,7452
2400,realtime,2070,0.22,Optimal,-11443.9974,-11440.579,0.0003,7452
2461,realtime,2070,0.23,Optimal,-7736.5847,-7734.1074,0.0003,7452
2520,realtime,2070,0.25,Optimal,-4561.7573,-4560.2228,0.0003,7452
2580,realtime,2070,0.25,Optimal,-1312.9174,-1311.4089,0.0012,7452
2640,realtime,2070,2.13,Optimal,92.2535,92.2543,0.0,7452
2702,realtime,2070,0.32,Optimal,92.1761,92.1908,0.0002,7452
2761,realtime,2070,2.1,Optimal,92.0929,92.0936,0.0,7452
2822,realtime,2070,0.31,Optimal,92.4849,92.4936,0.0001,7452
2880,realtime,2070,1.95,Optimal,91.6929,91.6936,0.0,7452
2943,realtime,2070,0.3,Optimal,92.7866,92.7936,0.0001,7452
3000,realtime,2070,0.3,Optimal,92.7888,92.7936,0.0001,7452
3061,realtime,2070,1.8,Optimal,91.6936,91.6936,0.0,7452
3122,realtime,2070,0.28,Optimal,90.9838,90.9936,0.0001,7452
3180,realtime,2070,0.29,Optimal,91.5864,91.5936,0.0001,7452
3241,realtime,2070,0.26,Optimal,90.4869,90.4936,0.0001,7452
3304,realtime,2070,0.29,Optimal,90.188,90.1936,0.0001,7452
3362,realtime,2070,0.27,Optimal,90.587,90.5936,0.0001,7452
3422,realtime,2070,0.32,Optimal,89.4862,89.4936,0.0001,7452
3482,realtime,2070,0.36,Optimal,88.9858,88.9936,0.0001,7452
3540,realtime,2070,0.29,Optimal,88.7863,88.7936,0.0001,7452
3600,realtime,2070,0.29,Optimal,87.6852,87.6936,0.0001,7452
3664,realtime,2070,0.28,Optimal,88.586,88.5936,0.0001,7452
3721,realtime,2070,0.3,Optimal,88.5921,88.5936,0.0,7452
3780,realtime,2070,0.29,Optimal,88.1876,88.1936,0.0001,7452
3842,realtime,2070,1.85,Optimal,88.7936,88.7936,0.0,7452
3902,realtime,2070,0.28,Optimal,88.3897,88.3936,0.0,7452
3960,realtime,2070,0.31,Optimal,88.3856,88.3936,0.0001,7452
4022,realtime,2070,0.28,Optimal,87.6868,87.6936,0.0001,7452
4080,realtime,2070,1.9,Optimal,86.2936,86.2936,0.0,7452
4140,realtime,2070,0.3,Optimal,83.4865,83.4936,0.0001,7452
4200,realtime,2070,1.86,Optimal,83.3922,83.3936,0.0,7452
4260,realtime,2070,1.23,Optimal,81.0936,81.0936,0.0,7452
4321,realtime,2070,0.35,Optimal,80.6866,80.6936,0.0001,7452
4380,realtime,2070,0.27,Optimal,80.3882,80.3936,0.0001,7452
4440,realtime,2070,0.34,Optimal,79.6882,79.6936,0.0001,7452
4500,realtime,2070,0.27,Optimal,79.7904,79.7936,0.0,7452
4560,realtime,2070,0.31,Optimal,79.9906,79.9936,0.0,7452
4620,realtime,2070,0.31,Optimal,79.1898,79.1936,0.0,7452
4681,realtime,2070,0.3,Optimal,78.0906,78.0936,0.0,7452
4740,realtime,2070,0.34,Optimal,77.0896,77.0936,0.0001,7452
4801,realtime,2070,0.32,Optimal,76.9865,76.9936,0.0001,7452
4861,realtime,2070,0.33,Optimal,75.8889,75.8936,0.0001,7452
4920,realtime,2070,0.28,Optimal,-126701.1927,-126701.1888,0.0,7452
4980,realtime,2070,0.26,Optimal,-123580.3142,-123580.3092,0.0,7452
5040,realtime,2070,0.25,Optimal,-120461.541,-120460.5371,0.0,7452
5102,realtime,2070,0.25,Optimal,-117237.1879,-117236.3813,0.0,7452
5160,realtime,2070,0.23,Optimal,-240021.07,-240019.416,0.0,7452
5220,realtime,2070,0.22,Optimal,-233784.1959,-233783.2717,0.0,7452
5281,realtime,2070,0.21,Optimal,-227443.9222,-227443.2663,0.0,7452
5341,realtime,2070,0.21,Optimal,-221208.5504,-221207.8545,0.0,7452
5401,realtime,2070,0.2,Optimal,-340925.0895,-340924.7896,0.0,7452
5460,realtime,2070,0.2,Optimal,-331722.7197,-331722.5194,0.0,7452
5520,realtime,2070,0.19,Optimal,-322363.9487,-322363.4489,0.0,7452
5581,realtime,2070,0.23,Optimal,-312849.0784,-312848.7789,0.0,7452
5641,realtime,2070,0.18,Optimal,-429745.174,-429745.174,0.0,7452
5700,realtime,2070,0.18,Optimal,-417514.274,-417514.274,0.0,7452
5760,realtime,2070,0.18,Optimal,-405036.674,-405036.674,0.0,7452
5820,realtime,2070,0.18,Optimal,-392559.074,-392559.074,0.0,7452
5882,realtime,2070,0.18,Optimal,-379664.874,-379664.874,0.0,7452
5940,realtime,2070,0.18,Optimal,-367602.074,-367602.074,0.0,7452
6000,realtime,2070,0.18,Optimal,-355124.174,-355124.174,0.0,7452
6067,realtime,2070,0.18,Optimal,-341189.974,-341189.974,0.0,7452
6120,realtime,2070,0.21,Optimal,-330167.474,-330167.474,0.0,7452
6181,realtime,2070,0.18,Optimal,-317481.874,-317481.874,0.0,7452
6241,realtime,2070,0.18,Optimal,-305004.574,-305004.574,0.0,7452
6301,realtime,2070,0.19,Optimal,-292526.074,-292526.074,0.0,7452
6363,realtime,2070,0.18,Optimal,-279631.874,-279631.874,0.0,7452
6420,realtime,2070,0.18,Optimal,-267777.374,-267777.374,0.0,7452
6480,realtime,2070,0.19,Optimal,-255298.874,-255298.874,0.0,7452
6543,realtime,2070,0.18,Optimal,-242196.374,-242196.374,0.0,7452
6603,realtime,2070,0.18,Optimal,-229718.774,-229718.774,0.0,7452
6662,realtime,2070,0.19,Optimal,-217449.174,-217449.174,0.0,7452
6721,realtime,2070,0.18,Optimal,-205180.174,-205180.174,0.0,7452
6780,realtime,2070,0.18,Optimal,-192909.974,-192909.974,0.0,7452
6841,realtime,2070,0.21,Optimal,-180223.774,-180223.774,0.0,7452
6900,realtime,2070,0.18,Optimal,-167953.274,-167953.274,0.0,7452
6963,realtime,2070,0.18,Optimal,-154804.691,-154804.691,0.0,7452
