t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
1,oracle,1035,0.1,Optimal,-54059.4032,-54058.8034,0.0,3780
61,oracle,1035,0.1,Optimal,-54059.7222,-54059.7218,0.0,3780
121,oracle,1035,0.11,Optimal,-54061.0383,-54060.8381,0.0,3780
181,oracle,1035,0.09,Optimal,-186446.8,-186446.8,0.0,3780
242,oracle,1035,0.09,Optimal,-183278.4,-183278.4,0.0,3780
300,oracle,1035,0.09,Optimal,-180264.2,-180264.2,0.0,3780
360,oracle,1035,0.09,Optimal,-177146.0,-177146.0,0.0,3780
421,oracle,1035,0.09,Optimal,-319363.5,-319363.5,0.0,3780
480,oracle,1035,0.09,Optimal,-313229.0,-313229.0,0.0,3780
540,oracle,1035,0.09,Optimal,-306992.3,-306992.3,0.0,3780
601,oracle,1035,0.09,Optimal,-300649.8,-300649.8,0.0,3780
662,oracle,1035,0.09,Optimal,-439469.6,-439469.6,0.0,3780
720,oracle,1035,0.09,Optimal,-430422.8,-430422.8,0.0,3780
780,oracle,1035,0.09,Optimal,-421064.0,-421064.0,0.0,3780
840,oracle,1035,0.09,Optimal,-411706.1,-411706.1,0.0,3780
901,oracle,1035,0.09,Optimal,-547476.2,-547476.2,0.0,3780
961,oracle,1035,0.09,Optimal,-534998.0,-534998.0,0.0,3780
1023,oracle,1035,0.09,Optimal,-522103.2,-522103.2,0.0,3780
1084,oracle,1035,0.09,Optimal,-509418.2,-509418.2,0.0,3780
1140,oracle,1035,0.09,Optimal,-497772.6,-497772.6,0.0,3780
1200,oracle,1035,0.09,Optimal,-485294.4,-485294.4,0.0,3780
1264,oracle,1035,0.09,Optimal,-472064.134,-472064.134,0.0,3780
1322,oracle,1035,0.09,Optimal,-460050.859,-460050.859,0.0,3780
1380,oracle,1035,0.09,Optimal,-448141.983,-448141.983,0.0,3780
1440,oracle,1035,0.09,Optimal,-431800.51,-431800.51,0.0,3780
1502,oracle,1035,0.09,Optimal,-405911.297,-405911.297,0.0,3780
1560,oracle,1035,0.09,Optimal,-381783.443,-381783.443,0.0,3780
1621,oracle,1035,0.09,Optimal,-356224.444,-356224.444,0.0,3780
1680,oracle,1035,0.09,Optimal,-331603.677,-331603.677,0.0,3780
1743,oracle,1035,0.09,Optimal,-312255.012,-312255.012,0.0,3780
1801,oracle,1035,0.09,Optimal,-296131.77,-296131.77,0.0,3780
1863,oracle,1035,0.09,Optimal,-278770.158,-278770.158,0.0,3780
1921,oracle,1035,0.09,Optimal,-262502.653,-262502.653,0.0,3780
1980,oracle,1035,0.09,Optimal,-247043.084,-247043.084,0.0,3780
2041,oracle,1035,0.09,Optimal,-234479.536,-234479.536,0.0,3780
2103,oracle,1035,0.09,Optimal,-221283.485,-221283.485,0.0,3780
2167,oracle,1035,0.09,Optimal,-207965.568,-207965.568,0.0,3780
2220,oracle,1035,0.09,Optimal,-196858.381,-196858.381,0.0,3780
2280,oracle,1035,0.09,Optimal,-184445.284,-184445.284,0.0,3780
2340,oracle,1035,0.09,Optimal,-172184.466,-172184.466,0.0,3780
2400,oracle,1035,0.09,Optimal,-159757.155,-159757.155,0.0,3780
2461,oracle,1035,0.09,Optimal,-146909.622,-146909.622,0.0,3780
2520,oracle,1035,0.09,Optimal,-134586.396,-134586.396,0.0,3780
2583,oracle,1035,0.09,Optimal,-121516.524,-121516.524,0.0,3780
2640,oracle,1035,0.09,Optimal,-109778.3363,-109778.3363,0.0,3780
2704,oracle,1035,0.09,Optimal,-96306.9948,-96306.9948,0.0,3780
2760,oracle,1035,0.1,Optimal,-85793.7554,-85793.3927,0.0,3780
2823,oracle,1035,0.1,Optimal,-76049.8875,-76049.5858,0.0,3780
2882,oracle,1035,0.1,Optimal,-67895.3521,-67894.7325,0.0,3780
2940,oracle,1035,0.1,Optimal,-61948.652,-61948.0062,0.0,3780
3006,oracle,1035,0.1,Optimal,-55178.8847,-55178.4654,0.0,3780
3061,oracle,1035,0.11,Optimal,-49553.8187,-49552.8572,0.0,3780
3121,oracle,1035,0.11,Optimal,-43350.6233,-43348.8289,0.0,3780
3181,oracle,1035,0.12,Optimal,-37077.1608,-37073.8802,0.0001,3780
3243,oracle,1035,0.11,Optimal,-30577.3697,-30573.1653,0.0001,3780
3300,oracle,1035,0.12,Optimal,-24655.3486,-24655.3474,0.0,3780
3360,oracle,1035,0.12,Optimal,-18562.9009,-18562.8929,0.0,3780
3420,oracle,1035,0.12,Optimal,-12257.1142,-12257.1094,0.0,3780
3480,oracle,1035,0.12,Optimal,-8723.0901,-8723.0862,0.0,3780
3540,oracle,1035,0.13,Optimal,-5587.147,-5587.1438,0.0,3780
3602,oracle,1035,0.13,Optimal,-2391.222,-2391.2173,0.0,3780
3660,oracle,1035,0.14,Optimal,-19.3051,-19.296,0.0005,3780
3721,oracle,1035,0.14,Optimal,-20.7983,-20.796,0.0001,3780
3785,oracle,1035,0.16,Optimal,-19.8985,-19.896,0.0001,3780
3842,oracle,1035,0.16,Optimal,-20.4983,-20.496,0.0001,3780
3900,oracle,1035,0.15,Optimal,-21.3003,-21.296,0.0002,3780
3961,oracle,1035,0.13,Optimal,-21.6975,-21.696,0.0001,3780
4022,oracle,1035,0.13,Optimal,-22.3982,-22.396,0.0001,3780
4085,oracle,1035,0.13,Optimal,-21.8975,-21.896,0.0001,3780
4140,oracle,1035,0.13,Optimal,-21.1975,-21.196,0.0001,3780
4201,oracle,1035,0.12,Optimal,-20.6991,-20.696,0.0001,3780
4260,oracle,1035,0.13,Optimal,-19.2984,-19.296,0.0001,3780
4320,oracle,1035,0.13,Optimal,-19.799,-19.796,0.0002,3780
4380,oracle,1035,0.12,Optimal,-18.599,-18.596,0.0002,3780
4440,oracle,1035,0.12,Optimal,-17.1975,-17.196,0.0001,3780
4502,oracle,1035,0.13,Optimal,-18.3007,-18.296,0.0003,3780
4564,oracle,1035,0.13,Optimal,-18.6991,-18.696,0.0002,3780
4620,oracle,1035,0.12,Optimal,-17.4983,-17.496,0.0001,3780
4680,oracle,1035,0.13,Optimal,-17.4977,-17.496,0.0001,3780
4743,oracle,1035,0.12,Optimal,-18.0989,-18.096,0.0002,3780
4800,oracle,1035,0.13,Optimal,-17.8984,-17.896,0.0001,3780
4860,oracle,1035,0.13,Optimal,-17.8968,-17.896,0.0,3780
4922,oracle,1035,0.16,Optimal,-18.3991,-18.396,0.0002,3780
4981,oracle,1035,0.13,Optimal,-18.2968,-18.296,0.0,3780
5040,oracle,1035,0.14,Optimal,-18.2984,-18.296,0.0001,3780
5101,oracle,1035,0.27,Optimal,-18.096,-18.096,0.0,3780
5161,oracle,1035,0.13,Optimal,-17.7983,-17.796,0.0001,3780
5221,oracle,1035,0.13,Optimal,-16.7982,-16.796,0.0001,3780
5282,oracle,1035,0.13,Optimal,-16.799,-16.796,0.0002,3780
5340,oracle,1035,0.13,Optimal,-17.1994,-17.196,0.0002,3780
5400,oracle,1035,0.13,Optimal,-16.5994,-16.596,0.0002,3780
5460,oracle,1035,0.14,Optimal,-16.601,-16.596,0.0003,3780
5520,oracle,1035,0.13,Optimal,-17.2991,-17.296,0.0002,3780
5582,oracle,1035,0.13,Optimal,-16.3993,-16.396,0.0002,3780
5643,oracle,1035,0.65,Optimal,-16.196,-16.196,0.0,3780
5700,oracle,1035,0.13,Optimal,-17.3969,-17.396,0.0001,3780
5761,oracle,1035,0.14,Optimal,-17.1983,-17.196,0.0001,3780
5820,oracle,1035,0.71,Optimal,-17.4967,-17.496,0.0,3780
5880,oracle,1035,0.15,Optimal,-16.1982,-16.196,0.0001,3780
5940,oracle,1035,0.12,Optimal,-135152.8434,-135152.1423,0.0,3780
6002,oracle,1035,0.12,Optimal,-131930.6745,-131929.2727,0.0,3780
6062,oracle,1035,0.12,Optimal,-128811.2118,-128810.0749,0.0,3780
6120,oracle,1035,0.12,Optimal,-125796.8248,-125796.1476,0.0,3780
6183,oracle,1035,0.11,Optimal,-258849.7037,-258848.9548,0.0,3780
6241,oracle,1035,0.1,Optimal,-252820.1161,-252819.0351,0.0,3780
6301,oracle,1035,0.1,Optimal,-246583.4372,-246582.7055,0.0,3780
6360,oracle,1035,0.1,Optimal,-240450.2549,-240449.5263,0.0,3780
6422,oracle,1035,0.1,Optimal,-369461.277,-369460.9466,0.0,3780
6480,oracle,1035,0.1,Optimal,-360414.7855,-360414.4316,0.0,3780
6541,oracle,1035,0.1,Optimal,-350900.2941,-350899.8807,0.0,3780
6600,oracle,1035,0.1,Optimal,-341698.0019,-341697.6705,0.0,3780
6660,oracle,1035,0.09,Optimal,-471730.15,-471730.15,0.0,3780
6720,oracle,1035,0.09,Optimal,-459251.95,-459251.95,0.0,3780
6781,oracle,1035,0.09,Optimal,-446566.05,-446566.05,0.0,3780
6840,oracle,1035,0.09,Optimal,-434295.85,-434295.85,0.0,3780
6900,oracle,1035,0.09,Optimal,-421817.95,-421817.95,0.0,3780
6960,oracle,1035,0.09,Optimal,-409363.503,-409363.503,0.0,3780
7022,oracle,1035,0.09,Optimal,-396505.753,-396505.753,0.0,3780
7081,oracle,1035,0.09,Optimal,-384177.649,-384177.649,0.0,3780
7141,oracle,1035,0.09,Optimal,-371732.115,-371732.115,0.0,3780
7201,oracle,1035,0.09,Optimal,-359161.049,-359161.049,0.0,3780
7261,oracle,1035,0.09,Optimal,-346622.887,-346622.887,0.0,3780
7320,oracle,1035,0.09,Optimal,-334315.946,-334315.946,0.0,3780
7380,oracle,1035,0.09,Optimal,-321907.251,-321907.251,0.0,3780
7441,oracle,1035,0.09,Optimal,-309198.803,-309198.803,0.0,3780
7500,oracle,1035,0.09,Optimal,-296890.957,-296890.957,0.0,3780
7561,oracle,1035,0.09,Optimal,-283981.359,-283981.359,0.0,3780
7620,oracle,1035,0.09,Optimal,-271675.463,-271675.463,0.0,3780
7680,oracle,1035,0.09,Optimal,-259236.5,-259236.5,0.0,3780
7740,oracle,1035,0.09,Optimal,-246657.646,-246657.646,0.0,3780
7800,oracle,1035,0.09,Optimal,-234156.284,-234156.284,0.0,3780
7860,oracle,1035,0.09,Optimal,-221777.059,-221777.059,0.0,3780
7920,oracle,1035,0.09,Optimal,-209239.502,-209239.502,0.0,3780
7980,oracle,1035,0.09,Optimal,-196827.618,-196827.618,0.0,3780
8040,oracle,1035,0.09,Optimal,-184416.552,-184416.552,0.0,3780
8100,oracle,1035,0.09,Optimal,-171916.567,-171916.567,0.0,3780
8160,oracle,1035,0.09,Optimal,-159342.892,-159342.892,0.0,3780
8221,oracle,1035,0.09,Optimal,-146484.063,-146484.063,0.0,3780
8280,oracle,1035,0.09,Optimal,-134298.765,-134298.765,0.0,3780
8343,oracle,1035,0.09,Optimal,-121191.6703,-121191.6703,0.0,3780
8401,oracle,1035,0.09,Optimal,-109313.219,-109313.219,0.0,3780
8469,oracle,1035,0.09,Optimal,-95170.9405,-95170.9405,0.0,3780
8520,oracle,1035,0.09,Optimal,-84358.1477,-84358.1477,0.0,3780
8586,oracle,1035,0.1,Optimal,-73407.1936,-73406.9139,0.0,3780
8642,oracle,1035,0.1,Optimal,-64650.7461,-64650.513,0.0,3780
8700,oracle,1035,0.1,Optimal,-55591.9069,-55591.378,0.0,3780
8760,oracle,1035,0.1,Optimal,-46107.3777,-46106.9804,0.0,3780
8820,oracle,1035,0.1,Optimal,-37951.8141,-37951.4941,0.0,3780
8882,oracle,1035,0.1,Optimal,-31451.0771,-31450.0428,0.0,3780
