t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
0,realtime,1035,0.12,Optimal,-54059.4032,-54058.8034,0.0,3780
60,realtime,1035,0.09,Optimal,-54060.623,-54060.223,0.0,3780
120,realtime,1035,0.1,Optimal,-54062.0378,-54061.4382,0.0,3780
180,realtime,1035,0.09,Optimal,-186791.75,-186791.75,0.0,3780
244,realtime,1035,0.09,Optimal,-183484.9,-183484.9,0.0,3780
300,realtime,1035,0.09,Optimal,-180574.1,-180574.1,0.0,3780
360,realtime,1035,0.09,Optimal,-177455.3,-177455.3,0.0,3780
421,realtime,1035,0.09,Optimal,-319673.7,-319673.7,0.0,3780
484,realtime,1035,0.09,Optimal,-313123.4,-313123.4,0.0,3780
540,realtime,1035,0.09,Optimal,-307300.6,-307300.6,0.0,3780
600,realtime,1035,0.09,Optimal,-301062.3,-301062.3,0.0,3780
662,realtime,1035,0.09,Optimal,-439778.1,-439778.1,0.0,3780
722,realtime,1035,0.09,Optimal,-430420.5,-430420.5,0.0,3780
787,realtime,1035,0.09,Optimal,-420281.8,-420281.8,0.0,3780
841,realtime,1035,0.09,Optimal,-411859.6,-411859.6,0.0,3780
900,realtime,1035,0.09,Optimal,-547993.1,-547993.1,0.0,3780
960,realtime,1035,0.09,Optimal,-535515.4,-535515.4,0.0,3780
1023,realtime,1035,0.09,Optimal,-522413.3,-522413.3,0.0,3780
1082,realtime,1035,0.09,Optimal,-510143.1,-510143.1,0.0,3780
1143,realtime,1035,0.09,Optimal,-497457.2,-497457.2,0.0,3780
1205,realtime,1035,0.09,Optimal,-484559.338,-484559.338,0.0,3780
1262,realtime,1035,0.09,Optimal,-472755.626,-472755.626,0.0,3780
1320,realtime,1035,0.09,Optimal,-460635.29,-460635.29,0.0,3780
1380,realtime,1035,0.09,Optimal,-448056.546,-448056.546,0.0,3780
1440,realtime,1035,0.09,Optimal,-431728.724,-431728.724,0.0,3780
1500,realtime,1035,0.09,Optimal,-406627.034,-406627.034,0.0,3780
1562,realtime,1035,0.09,Optimal,-380683.362,-380683.362,0.0,3780
1623,realtime,1035,0.09,Optimal,-355121.322,-355121.322,0.0,3780
1680,realtime,1035,0.09,Optimal,-331168.149,-331168.149,0.0,3780
1740,realtime,1035,0.09,Optimal,-312603.559,-312603.559,0.0,3780
1801,realtime,1035,0.09,Optimal,-295515.702,-295515.702,0.0,3780
1861,realtime,1035,0.09,Optimal,-278953.451,-278953.451,0.0,3780
1921,realtime,1035,0.09,Optimal,-262530.303,-262530.303,0.0,3780
1980,realtime,1035,0.09,Optimal,-246940.159,-246940.159,0.0,3780
2048,realtime,1035,0.09,Optimal,-232488.461,-232488.461,0.0,3780
2104,realtime,1035,0.09,Optimal,-220844.232,-220844.232,0.0,3780
2160,realtime,1035,0.09,Optimal,-209169.352,-209169.352,0.0,3780
2221,realtime,1035,0.09,Optimal,-196728.743,-196728.743,0.0,3780
2281,realtime,1035,0.09,Optimal,-184138.888,-184138.888,0.0,3780
2340,realtime,1035,0.09,Optimal,-171816.947,-171816.947,0.0,3780
2400,realtime,1035,0.09,Optimal,-159372.178,-159372.178,0.0,3780
2460,realtime,1035,0.1,Optimal,-146965.747,-146965.747,0.0,3780
2521,realtime,1035,0.09,Optimal,-133939.035,-133939.035,0.0,3780
2580,realtime,1035,0.09,Optimal,-121662.3231,-121662.3231,0.0,3780
2640,realtime,1035,0.1,Optimal,-109170.0929,-109170.0929,0.0,3780
2700,realtime,1035,0.09,Optimal,-96761.9991,-96761.9991,0.0,3780
2760,realtime,1035,0.09,Optimal,-85851.6849,-85851.6376,0.0,3780
2820,realtime,1035,0.1,Optimal,-76429.3248,-76429.1299,0.0,3780
2884,realtime,1035,0.1,Optimal,-66901.397,-66901.019,0.0,3780
2942,realtime,1035,0.1,Optimal,-60786.2005,-60785.7342,0.0,3780
3001,realtime,1035,0.1,Optimal,-54522.5475,-54521.1621,0.0,3780
3060,realtime,1035,0.11,Optimal,-48474.9375,-48474.5279,0.0,3780
3121,realtime,1035,0.11,Optimal,-42133.4879,-42132.1628,0.0,3780
3180,realtime,1035,0.11,Optimal,-36091.9439,-36089.2723,0.0001,3780
3240,realtime,1035,0.12,Optimal,-29934.6779,-29932.7153,0.0001,3780
3300,realtime,1035,0.13,Optimal,-23708.3263,-23705.7484,0.0001,3780
3362,realtime,1035,0.16,Optimal,-17160.0963,-17158.0876,0.0001,3780
3426,realtime,1035,0.28,Optimal,-10560.1095,-10558.9975,0.0001,3780
3482,realtime,1035,0.15,Optimal,-7571.5958,-7571.4919,0.0,3780
3540,realtime,1035,0.15,Optimal,-4541.8347,-4541.5307,0.0001,3780
3600,realtime,1035,0.15,Optimal,-1460.1269,-1459.2225,0.0006,3780
3661,realtime,1035,0.16,Optimal,-6.2006,-6.196,0.0007,3780
3721,realtime,1035,0.75,Optimal,-5.1968,-5.196,0.0002,3780
3785,realtime,1035,0.15,Optimal,-5.8992,-5.896,0.0005,3780
3840,realtime,1035,0.16,Optimal,-6.3968,-6.396,0.0001,3780
3902,realtime,1035,0.17,Optimal,-7.6975,-7.696,0.0002,3780
3962,realtime,1035,0.15,Optimal,-7.6997,-7.696,0.0005,3780
4028,realtime,1035,0.15,Optimal,-5.6,-5.596,0.0007,3780
4084,realtime,1035,0.31,Optimal,-5.496,-5.496,0.0,3780
4140,realtime,1035,0.3,Optimal,-4.896,-4.896,0.0,3780
4200,realtime,1035,0.14,Optimal,-5.4007,-5.396,0.0009,3780
4261,realtime,1035,0.12,Optimal,-5.4975,-5.496,0.0003,3780
4324,realtime,1035,0.12,Optimal,-5.2982,-5.296,0.0004,3780
4382,realtime,1035,0.13,Optimal,-5.3989,-5.396,0.0005,3780
4440,realtime,1035,0.13,Optimal,-5.6968,-5.696,0.0001,3780
4502,realtime,1035,0.14,Optimal,-5.5997,-5.596,0.0007,3780
4560,realtime,1035,0.13,Optimal,-5.7996,-5.796,0.0006,3780
4620,realtime,1035,0.13,Optimal,-5.299,-5.296,0.0006,3780
4680,realtime,1035,0.14,Optimal,-6.7,-6.696,0.0006,3780
4742,realtime,1035,0.14,Optimal,-7.1997,-7.196,0.0005,3780
4800,realtime,1035,0.15,Optimal,-6.499,-6.496,0.0005,3780
4860,realtime,1035,0.14,Optimal,-6.7982,-6.796,0.0003,3780
4920,realtime,1035,0.16,Optimal,-6.4997,-6.496,0.0006,3780
4980,realtime,1035,0.15,Optimal,-7.6004,-7.596,0.0006,3780
5041,realtime,1035,0.14,Optimal,-7.8982,-7.896,0.0003,3780
5103,realtime,1035,0.15,Optimal,-7.999,-7.996,0.0004,3780
5161,realtime,1035,0.16,Optimal,-7.2007,-7.196,0.0007,3780
5220,realtime,1035,0.14,Optimal,-8.1984,-8.196,0.0003,3780
5281,realtime,1035,0.14,Optimal,-9.199,-9.196,0.0003,3780
5340,realtime,1035,0.14,Optimal,-8.2976,-8.296,0.0002,3780
5400,realtime,1035,0.36,Optimal,-8.996,-8.996,0.0,3780
5460,realtime,1035,0.14,Optimal,-9.6984,-9.696,0.0002,3780
5520,realtime,1035,0.13,Optimal,-8.9011,-8.896,0.0006,3780
5580,realtime,1035,0.13,Optimal,-9.2003,-9.196,0.0005,3780
5641,realtime,1035,0.37,Optimal,-8.696,-8.696,0.0,3780
