t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
0,oracle,5736,0.84,Optimal,-53521.0996,-53518.5453,0.0,20736
60,oracle,5736,0.84,Optimal,-53521.301,-53519.4683,0.0,20736
120,oracle,5736,0.8,Optimal,-53522.8089,-53521.1335,0.0,20736
180,oracle,5736,0.83,Optimal,-53523.8124,-53522.4755,0.0,20736
240,oracle,5736,0.79,Optimal,-53525.7174,-53523.858,0.0,20736
300,oracle,5736,0.8,Optimal,-53527.0231,-53525.397,0.0,20736
361,oracle,5736,0.78,Optimal,-53372.4285,-53371.3538,0.0,20736
420,oracle,5736,0.77,Optimal,-53530.6365,-53528.9667,0.0,20736
480,oracle,5736,0.76,Optimal,-53531.7419,-53530.9474,0.0,20736
540,oracle,5736,0.79,Optimal,-53533.5484,-53532.5835,0.0,20736
604,oracle,5736,0.79,Optimal,-52912.161,-52911.1995,0.0,20736
660,oracle,5736,0.78,Optimal,-53537.4629,-53536.3822,0.0,20736
725,oracle,5736,0.81,Optimal,-52761.9796,-52760.0376,0.0,20736
780,oracle,5736,0.82,Optimal,-53544.0795,-53540.6064,0.0001,20736
841,oracle,5736,0.89,Optimal,-53388.0825,-53386.7944,0.0,20736
900,oracle,5736,0.88,Optimal,-53545.1861,-53544.2648,0.0,20736
960,oracle,5736,0.81,Optimal,-53547.2923,-53546.3409,0.0,20736
1020,oracle,5736,0.83,Optimal,-53549.2987,-53547.7219,0.0,20736
1085,oracle,5736,0.84,Optimal,-52773.1167,-52771.0727,0.0,20736
1140,oracle,5736,0.82,Optimal,-53553.4167,-53551.7694,0.0,20736
1200,oracle,5736,0.76,Optimal,-180229.6337,-180228.4078,0.0,20736
1260,oracle,5736,0.74,Optimal,-177111.8458,-177110.3458,0.0,20736
1321,oracle,5736,0.76,Optimal,-173837.659,-173836.4991,0.0,20736
1382,oracle,5736,0.79,Optimal,-170563.8714,-170562.764,0.0,20736
1440,oracle,5736,0.73,Optimal,-290471.7848,-290470.9722,0.0,20736
1504,oracle,5736,0.73,Optimal,-274850.5454,-274848.7204,0.0,20736
1560,oracle,5736,0.72,Optimal,-261181.1118,-261179.7812,0.0,20736
1621,oracle,5736,0.73,Optimal,-246291.9712,-246290.4585,0.0,20736
1681,oracle,5736,0.72,Optimal,-358494.9381,-358493.2782,0.0,20736
1740,oracle,5736,0.74,Optimal,-345055.3353,-345054.3548,0.0,20736
1800,oracle,5736,0.74,Optimal,-331498.756,-331497.3879,0.0,20736
1860,oracle,5736,0.72,Optimal,-317941.3709,-317939.8665,0.0,20736
1920,oracle,5736,0.7,Optimal,-431240.646,-431239.5189,0.0,20736
1980,oracle,5736,0.69,Optimal,-418758.0258,-418755.8879,0.0,20736
2042,oracle,5736,0.69,Optimal,-406279.2349,-406277.5095,0.0,20736
2101,oracle,5736,0.71,Optimal,-393803.0596,-393801.1587,0.0,20736
2161,oracle,5736,0.69,Optimal,-381325.0789,-381323.9411,0.0,20736
2220,oracle,5736,0.68,Optimal,-368847.2939,-368846.7143,0.0,20736
2280,oracle,5736,0.7,Optimal,-356371.1163,-356370.1169,0.0,20736
2345,oracle,5736,0.67,Optimal,-343892.8272,-343891.7489,0.0,20736
2400,oracle,5736,0.69,Optimal,-331417.3573,-331416.7597,0.0,20736
2461,oracle,5736,0.68,Optimal,-318940.0755,-318939.1725,0.0,20736
2521,oracle,5736,0.69,Optimal,-306461.8902,-306461.17,0.0,20736
2581,oracle,5736,0.68,Optimal,-293987.1165,-293985.7692,0.0,20736
2640,oracle,5736,0.67,Optimal,-281510.3419,-281508.9418,0.0,20736
2702,oracle,5736,0.67,Optimal,-269031.4529,-269030.9584,0.0,20736
