t,tier,W_s,wall_s,status,incumbent,lp_bound,gap,n_int_vars
1,realtime,5736,0.83,Optimal,-53364.9984,-53362.7284,0.0,20736
61,realtime,5736,0.82,Optimal,-53364.8999,-53363.7309,0.0,20736
122,realtime,5736,0.82,Optimal,-53211.4047,-53209.3299,0.0,20736
180,realtime,5736,0.88,Optimal,-53524.4064,-53522.041,0.0,20736
240,realtime,5736,0.79,Optimal,-53524.9107,-53523.2525,0.0,20736
300,realtime,5736,0.77,Optimal,-53526.4153,-53524.6193,0.0,20736
360,realtime,5736,0.78,Optimal,-53527.9224,-53526.399,0.0,20736
420,realtime,5736,0.76,Optimal,-53529.7313,-53528.7414,0.0,20736
481,realtime,5736,0.75,Optimal,-53376.0372,-53374.4216,0.0,20736
541,realtime,5736,0.78,Optimal,-53377.949,-53376.8626,0.0,20736
601,realtime,5736,0.77,Optimal,-53379.4556,-53378.716,0.0,20736
661,realtime,5736,0.77,Optimal,-53380.7604,-53380.3677,0.0,20736
721,realtime,5736,0.75,Optimal,-53383.9706,-53382.7149,0.0,20736
780,realtime,5736,0.78,Optimal,-53542.1771,-53540.2308,0.0,20736
841,realtime,5736,0.79,Optimal,-53386.9849,-53386.091,0.0,20736
900,realtime,5736,0.77,Optimal,-53544.5874,-53543.6415,0.0,20736
960,realtime,5736,0.78,Optimal,-53547.2956,-53545.4412,0.0,20736
1022,realtime,5736,0.76,Optimal,-53236.7055,-53235.9014,0.0,20736
1080,realtime,5736,0.77,Optimal,-53551.1131,-53549.6501,0.0,20736
1140,realtime,5736,0.78,Optimal,-53553.2176,-53551.6164,0.0,20736
1200,realtime,5736,0.73,Optimal,-180229.8357,-180228.5019,0.0,20736
1262,realtime,5736,0.73,Optimal,-176799.8497,-176798.6984,0.0,20736
1322,realtime,5736,0.76,Optimal,-173681.4583,-173680.3631,0.0,20736
1380,realtime,5736,0.75,Optimal,-170874.8674,-170873.3831,0.0,20736
1442,realtime,5736,0.71,Optimal,-289983.6849,-289982.1238,0.0,20736
1501,realtime,5736,0.71,Optimal,-275582.3488,-275581.4843,0.0,20736
1562,realtime,5736,0.74,Optimal,-260693.1126,-260692.514,0.0,20736
1620,realtime,5736,0.71,Optimal,-246536.2773,-246535.5502,0.0,20736
1680,realtime,5736,0.7,Optimal,-358618.4507,-358617.4986,0.0,20736
1740,realtime,5736,0.7,Optimal,-345058.0463,-345056.6221,0.0,20736
1800,realtime,5736,0.7,Optimal,-331500.1607,-331499.4796,0.0,20736
1862,realtime,5736,0.68,Optimal,-317699.575,-317697.9146,0.0,20736
1920,realtime,5736,0.68,Optimal,-431244.4597,-431243.1458,0.0,20736
1980,realtime,5736,0.68,Optimal,-418760.8347,-418759.3691,0.0,20736
2042,realtime,5736,0.67,Optimal,-406284.2547,-406282.3429,0.0,20736
2103,realtime,5736,0.67,Optimal,-393806.4696,-393804.6779,0.0,20736
2162,realtime,5736,0.67,Optimal,-381330.3923,-381328.7779,0.0,20736
2221,realtime,5736,0.67,Optimal,-368853.2094,-368851.4485,0.0,20736
2281,realtime,5736,0.66,Optimal,-356375.8306,-356374.7562,0.0,20736
2340,realtime,5736,0.66,Optimal,-343899.6546,-343898.9476,0.0,20736
2401,realtime,5736,0.66,Optimal,-331422.3718,-331421.7192,0.0,20736
2460,realtime,5736,0.65,Optimal,-318944.9913,-318944.2878,0.0,20736
2520,realtime,5736,0.67,Optimal,-306468.1109,-306467.1012,0.0,20736
2580,realtime,5736,0.64,Optimal,-293992.5355,-293990.637,0.0,20736
2643,realtime,5736,0.66,Optimal,-281514.2502,-281512.7944,0.0,20736
2702,realtime,5736,0.65,Optimal,-269037.9733,-269036.6066,0.0,20736
2762,realtime,5736,0.66,Optimal,-256561.5986,-256560.2829,0.0,20736
2824,realtime,5736,0.67,Optimal,-244083.0115,-244082.24,0.0,20736
2880,realtime,5736,0.64,Optimal,-231608.2469,-231607.2159,0.0,20736
2940,realtime,5736,0.65,Optimal,-219130.862,-219129.9049,0.0,20736
3003,realtime,5736,0.64,Optimal,-206653.6753,-206652.2442,0.0,20736
3060,realtime,5736,0.64,Optimal,-194177.1024,-194176.6341,0.0,20736
3122,realtime,5736,0.65,Optimal,-181700.12,-181698.7358,0.0,20736
3180,realtime,5736,0.64,Optimal,-169223.145,-169222.4051,0.0,20736
3240,realtime,5736,0.65,Optimal,-156745.8661,-156745.0238,0.0,20736
3300,realtime,5736,0.63,Optimal,-144269.2831,-144267.4424,0.0,20736
3361,realtime,5736,0.62,Optimal,-131792.3035,-131790.3379,0.0,20736
3421,realtime,5736,0.63,Optimal,-119314.1196,-119313.3025,0.0,20736
3482,realtime,5736,0.66,Optimal,-106836.5312,-106835.3195,0.0,20736
3541,realtime,5736,0.63,Optimal,-94360.4548,-94358.8438,0.0,20736
3601,realtime,5736,0.62,Optimal,-81882.8696,-81880.9496,0.0,20736
3660,realtime,5736,0.64,Optimal,-70682.8716,-70681.1841,0.0,20736
3721,realtime,5736,0.61,Optimal,-61316.5375,-61315.2628,0.0,20736
3784,realtime,5736,0.62,Optimal,-51953.8201,-51951.945,0.0,20736
3841,realtime,5736,0.62,Optimal,-42592.6127,-42590.3493,0.0001,20736
3900,realtime,5736,0.6,Optimal,-34503.6637,-34502.3232,0.0,20736
3961,realtime,5736,0.61,Optimal,-28253.6024,-28251.9034,0.0001,20736
4021,realtime,5736,0.63,Optimal,-22003.1437,-22002.0503,0.0,20736
4081,realtime,5736,0.63,Optimal,-15751.9776,-15751.2746,0.0,20736
4141,realtime,5736,0.63,Optimal,-10971.6004,-10970.2305,0.0001,20736
4200,realtime,5736,0.64,Optimal,-7835.2053,-7834.0242,0.0002,20736
4262,realtime,5736,0.64,Optimal,-4698.001,-4696.4121,0.0003,20736
4322,realtime,5736,0.66,Optimal,-1561.9069,-1560.7541,0.0007,20736
