n_instances,12,n_optimal,12,target_frac,0.9
V,mean_gap,std_gap,fit_a
1,0.4727161159003828,0.015456920159820408,0.6699439297124676
2,0.4727161159003828,0.015456920159820408,0.6699439297124676
5,0.4724691690613024,0.015659730858925313,0.6699439297124676
10,0.46055585488505707,0.028190502044208372,0.6699439297124676
20,0.35161488266283486,0.031507806240077665,0.6699439297124676
50,0.23202526340996119,0.03019956914038685,0.6699439297124676
100,0.09380986590038264,0.022674560466984316,0.6699439297124676
200,0.03481950431034419,0.006415867080838391,0.6699439297124676
500,-9.570888143320316e-16,1.9721522630525295e-31,0.6699439297124676
1000,-9.570888143320316e-16,1.9721522630525295e-31,0.6699439297124676
