value,policy,down_mean,down_std,minfill_mean,minfill_std,split_mean
11,Lyapunov (ours),4.683040935672514,0.011692250890720556,0.05174752132566098,0.0034207196956624387,106.3
11,Greedy-Q,17.13947368421053,0.3256942455148791,0.38050373622766565,0.007691377351800568,4729.1
11,Greedy-E,9.000877192982458,0.16582737275286977,0.15632791718627906,0.0018083804879552954,0.0
11,Random,14.657748538011694,0.16799314396549397,0.3283745881820708,0.007568799793980809,2914.5
11,Static,11.079385964912282,0.03578767004208014,0.11883042050353147,0.002362676119481167,0.0
12,Lyapunov (ours),0.8771929824561402,1.1102230246251565e-16,0.11125141305953883,0.0024800909811253237,134.8
12,Greedy-Q,11.387865497076024,0.14968511401362647,0.39084126611345027,0.01172176933243725,5051.9
12,Greedy-E,3.566081871345029,0.304773755705475,0.156155161633369,0.001610729312771993,0.0
12,Random,9.363742690058478,0.03226194471578183,0.3425304541528026,0.004991755243215746,3150.8
12,Static,4.82470760233918,0.2776996273567826,0.11883042050353147,0.002362676119481167,0.0
13,Lyapunov (ours),0.4049707602339182,5.551115123125783e-17,0.16859891220344722,0.0024989124622904215,201.0
13,Greedy-Q,6.991666666666665,0.05975598872213952,0.39796701474939067,0.007267900754314803,5299.0
13,Greedy-E,0.8099415204678364,1.1102230246251565e-16,0.1560262781701482,0.0019393863725194244,0.0
13,Random,5.332309941520469,0.01459134641861849,0.35423669798624885,0.004929271959949422,3333.3
13,Static,0.8099415204678364,1.1102230246251565e-16,0.11883042050353147,0.002362676119481167,0.0
15,Lyapunov (ours),0.3508771929824562,5.551115123125783e-17,0.2541099748890857,0.003706446630372462,573.5
15,Greedy-Q,4.747660818713451,0.011626254591854367,0.401363693740932,0.008688820377837489,5423.5
15,Greedy-E,0.5964912280701755,0.16079212964757333,0.1561054795273895,0.0020610381283470277,0.0
15,Random,4.277192982456141,0.01460818245239419,0.3569856384346157,0.005261122253807795,3380.2
15,Static,0.3508771929824562,5.551115123125783e-17,0.11883042050353147,0.002362676119481167,0.0
18,Lyapunov (ours),0.0,0.0,0.2950394581138067,0.0023317456880712346,858.7
18,Greedy-Q,3.6940058479532163,0.014145067391154037,0.4041422266624327,0.007805990079417279,5477.4
18,Greedy-E,0.2631578947368421,0.08771929824561402,0.15616385004022346,0.002000913604805134,0.0
18,Random,3.5457602339181284,0.09129891629823783,0.3591094151877873,0.005292059426328449,3412.3
18,Static,0.0,0.0,0.11883042050353147,0.002362676119481167,0.0
25,Lyapunov (ours),0.0,0.0,0.31131538059652214,0.004321510536708023,1041.4
25,Greedy-Q,2.5646198830409355,0.13987767450442753,0.40565893329199243,0.00913138278765493,5553.0
25,Greedy-E,0.0,0.0,0.15615116723739472,0.002115030623012857,0.0
25,Random,2.380994152046784,0.012681431837544629,0.36268404193303505,0.0046775788372697275,3466.5
25,Static,0.0,0.0,0.11883042050353147,0.002362676119481167,0.0
