param_value,policy,pcap_violations,blackout_slots,service_rate,split_tasks,min_fill,total_quality,pcap_violations_sd,blackout_slots_sd,service_rate_sd,split_tasks_sd,min_fill_sd,total_quality_sd
2,Lyapunov (ours),0.0,0.0,0.5004342848176617,16.4,0.1970009391046388,2053.7242000000215,0.0,0.0,0.004780392304520711,5.10294032886923,0.0015861717391504628,5.900744746216859
2,Greedy-Q,0.0,15358.3,0.3874933201355969,375.2,0.1381701691537207,1881.3337999999953,0.0,2451.3505685641944,0.004204631958578069,9.713907555664713,0.004301327175492926,4.411085190743834
2,Greedy-E,0.0,5301.5,0.6481583005186228,0.0,0.1948290516650743,2640.8494000000583,0.0,1264.076520626817,0.010013998599240643,0.0,0.004923732601798253,25.710954024308148
2,Random,0.0,13579.3,0.47122151222980746,353.9,0.2004125901362182,2123.2277000000076,0.0,1432.8973480329985,0.004316862881882139,13.148764200486674,0.002734297719356729,7.358683959106043
2,Static,0.0,12535.2,0.43760032986159675,0.0,0.15356680165192144,2078.6271999999944,0.0,1510.5959618640584,0.005274944411525088,0.0,0.004693441555380644,5.586529169350109
4,Lyapunov (ours),0.0,0.0,0.7702551512028768,602.1,0.3261016696516159,3393.6103000000658,0.0,0.0,0.0033907457724105913,25.71555949226071,0.0022530759551053145,21.676416392247578
4,Greedy-Q,0.0,30082.6,0.5893154054346066,2145.9,0.2252554281415272,3037.683700000003,0.0,2898.209626648839,0.004218086330748692,22.487552112224222,0.005797718065727225,6.692349961710674
4,Greedy-E,0.0,5578.0,0.7801935875740049,0.0,0.23647253680203545,3184.3184000000924,0.0,1099.5138016414346,0.0036656762986525763,0.0,0.004701725477768023,26.086949393136813
4,Random,0.0,17655.5,0.6996722465690957,1931.2,0.3211526404499769,3363.3208000000436,0.0,2549.0180952672736,0.005084458531316298,24.11555514600483,0.002997605854862867,17.97549141359131
4,Static,0.0,0.0,0.7801935875740049,0.0,0.2756865755681963,3712.371200000073,0.0,0.0,0.0036656762986525763,0.0,0.005481408597196575,30.412925925667775
8,Lyapunov (ours),0.0,0.0,0.7808766228105447,4424.9,0.3869277647831974,4153.273499999996,0.0,0.0,0.0039765096014652765,30.454720487963765,0.0033547277499285763,20.272147642764946
8,Greedy-Q,0.0,39638.2,0.7661530972407705,6953.6,0.32362993956577124,4396.411999999943,0.0,2101.0951810900906,0.004355741956395481,23.21723497749032,0.004803914113512541,21.443856341619036
8,Greedy-E,0.0,5081.5,0.7808766228105447,0.0,0.23394377617578793,3181.0150000000926,0.0,1529.2052347543151,0.0039765096014652765,0.0,0.003247566374901071,21.975403400166844
8,Random,0.0,0.0,0.7815496835976299,5804.4,0.411451389059727,4265.336799999959,0.0,0.0,0.0034018331191433757,66.2,0.0034537118901995117,31.603265539496746
8,Static,0.0,0.0,0.7808766228105447,0.0,0.2727384727275461,3708.520000000074,0.0,0.0,0.0039765096014652765,0.0,0.0037861075325477857,25.61956577305978
16,Lyapunov (ours),0.0,0.0,0.782023585544526,8001.0,0.42577735869953387,4585.036999999894,0.0,0.0,0.0038670564007677053,83.27544656139648,0.0034612760910266724,47.93467218204216
16,Greedy-Q,0.0,33702.2,0.782023585544526,8002.0,0.3417482727259179,4585.145999999896,0.0,2333.279443187206,0.0038670564007677053,83.74604468271919,0.00939110698728072,47.98648360319697
16,Greedy-E,0.0,4036.6,0.782023585544526,0.0,0.23737489100335138,3184.796000000092,0.0,1024.9420666554768,0.0038670564007677053,0.0,0.006522967855040366,33.33092578372431
16,Random,0.0,0.0,0.7807724807452835,6947.0,0.4256895514453758,4435.436199999926,0.0,0.0,0.0052757031144781115,76.35705599353605,0.004373808870202355,45.655102573095604
16,Static,0.0,0.0,0.782023585544526,0.0,0.27673856639586103,3712.9280000000736,0.0,0.0,0.0038670564007677053,0.0,0.007604666042056565,38.85816473278524
