param_value,policy,pcap_violations,blackout_slots,service_rate,split_tasks,min_fill,total_quality,pcap_violations_sd,blackout_slots_sd,service_rate_sd,split_tasks_sd,min_fill_sd,total_quality_sd
2,Lyapunov (ours),0.0,0.0,0.9016385624334371,1743.7,0.4561195450928258,1603.7539000000022,0.0,0.0,0.004864210181263262,13.364505228402583,0.002467309424975916,16.8592671101098
2,Greedy-Q,0.0,5159.5,0.9426980857360961,2923.2,0.5031082463465912,1811.5487999999666,0.0,893.2962834356807,0.004896112619519323,32.008748804037936,0.004642396556214143,20.028693031747984
2,Greedy-E,0.0,0.0,0.9506890508840004,0.0,0.3587555252908934,1291.430400000045,0.0,0.0,0.004300986970216173,0.0,0.003366507508273239,15.073432304555862
2,Random,0.0,0.0,0.9493322158235651,1740.1,0.4801902412366202,1633.6563000000028,0.0,0.0,0.004358352512575655,25.909264752207847,0.0025793584164105527,27.190438268075308
2,Static,0.0,0.0,0.9506890508840004,0.0,0.4182476475753122,1505.5872000000545,0.0,0.0,0.004300986970216173,0.0,0.003924772572459297,17.573046706819895
4,Lyapunov (ours),0.0,0.0,0.8289982283151778,1313.1,0.3751600853191757,2640.85070000004,0.0,0.0,0.003099647939776375,29.015340770013367,0.002658684962803475,25.162819560020264
4,Greedy-Q,0.0,22713.1,0.734095392221884,2905.4,0.328313996576699,2632.2212000000095,0.0,2269.282461484246,0.00420875299814158,36.718387764170686,0.00430534193234965,19.35787646308638
4,Greedy-E,0.0,2178.9,0.8593572040995335,0.0,0.28930146664706047,2325.2354000000737,0.0,872.8538766597763,0.002939547716992897,0.0,0.003028445652574202,29.767659633234775
4,Random,0.0,4811.2,0.8509478388397881,2570.6,0.4166936199774619,2867.684200000026,0.0,1296.357034153786,0.0044524008277490095,47.78116783838587,0.0048415647782985615,20.453810983776844
4,Static,0.0,0.0,0.8593572040995335,0.0,0.33727608171918066,2710.827200000074,0.0,0.0,0.002939547716992897,0.0,0.0035306502080261863,34.704005200556914
6,Lyapunov (ours),0.0,0.0,0.7702551512028768,602.1,0.3261016696516159,3393.6103000000658,0.0,0.0,0.0033907457724105913,25.71555949226071,0.0022530759551053145,21.676416392247578
6,Greedy-Q,0.0,30082.6,0.5893154054346066,2145.9,0.2252554281415272,3037.683700000003,0.0,2898.209626648839,0.004218086330748692,22.487552112224222,0.005797718065727225,6.692349961710674
6,Greedy-E,0.0,5578.0,0.7801935875740049,0.0,0.23647253680203545,3184.3184000000924,0.0,1099.5138016414346,0.0036656762986525763,0.0,0.004701725477768023,26.086949393136813
6,Random,0.0,17655.5,0.6996722465690957,1931.2,0.3211526404499769,3363.3208000000436,0.0,2549.0180952672736,0.005084458531316298,24.11555514600483,0.002997605854862867,17.97549141359131
6,Static,0.0,0.0,0.7801935875740049,0.0,0.2756865755681963,3712.371200000073,0.0,0.0,0.0036656762986525763,0.0,0.005481408597196575,30.412925925667775
10,Lyapunov (ours),0.0,0.0,0.5767253158694986,84.3,0.23187475988776063,3989.492500000063,0.0,0.0,0.0038830923133361395,10.431203190428226,0.0017225226692476575,14.668547557616096
10,Greedy-Q,0.0,36451.5,0.3736468043255853,1876.7,0.11224497896356371,3158.7900999999897,0.0,1963.5955922745395,0.0029030235200886603,22.24432511900507,0.002872398918599281,11.513939850894122
10,Greedy-E,0.0,10657.5,0.6520640508423095,0.0,0.1552819573139164,4422.814800000099,0.0,1639.6901079167367,0.00426295341192616,0.0,0.004151561129705746,32.81181132702284
10,Random,0.0,30003.4,0.4988133772228577,1192.3,0.21632143681834037,3831.611700000018,0.0,2804.8418565045695,0.0037013521440727734,18.97919914011126,0.003530891992057626,13.448636607850045
10,Static,0.0,14191.3,0.5296591432504019,0.0,0.14658195129524323,4188.017600000014,0.0,2387.079682373422,0.006874398207016122,0.0,0.004713547641656754,24.805085878506457
16,Lyapunov (ours),0.0,0.0,0.3843324185055178,2.8,0.1464257513730502,4183.367999999983,0.0,0.0,0.0026260053254107446,0.6,0.0015561830562718312,1.3144038192277496
16,Greedy-Q,0.0,39732.0,0.24538621431817295,1661.0,0.049277273310510177,3293.722199999992,0.0,2410.2241804446326,0.0019053675031472548,16.792855623746664,0.00331764368537666,9.342199021643447
16,Greedy-E,0.0,19515.2,0.48054363011262885,0.0,0.077471822771114,5229.36180000008,0.0,1989.9511451289452,0.0034392404764661817,0.0,0.0036299249141490894,3.45802226135169
16,Random,0.0,32839.1,0.32635269690543706,943.7,0.1360353365410436,3977.224099999985,0.0,2756.990114236901,0.0017847871472166988,21.28872941253188,0.0030242411356033905,14.836773048409135
16,Static,0.0,27520.1,0.32796781398778296,0.0,0.060962464722679355,4160.966399999989,0.0,3141.731606932712,0.0017662231110616969,0.0,0.0039037072901169988,24.427033103510716
