param_value,policy,pcap_violations,blackout_slots,service_rate,split_tasks,min_fill,total_quality,pcap_violations_sd,blackout_slots_sd,service_rate_sd,split_tasks_sd,min_fill_sd,total_quality_sd
0.6,Lyapunov (ours),0.0,0.0,0.6115915033226025,6.3,0.2421964803137584,2500.0041000000497,0.0,0.0,0.004560507301237292,1.8466185312619388,0.001928150012314693,3.543242228525214
0.6,Greedy-Q,0.0,42511.2,0.4512530496122837,1076.4,0.16820920733797778,2263.9791999999934,0.0,1520.871513310707,0.0032724906166744284,17.356266879718113,0.005083070539356609,10.540451032095211
0.6,Greedy-E,0.0,15191.1,0.7576702181850137,0.0,0.2302685281140146,3092.420200000087,0.0,1538.0881281643128,0.0022680587676663262,0.0,0.00453254162314227,26.43957466299497
0.6,Random,0.0,36003.9,0.5298965587045381,1019.0,0.23517942258847682,2483.0730000000176,0.0,1702.2296231707403,0.006142521245117551,22.221611102708103,0.0023556681349308824,13.807534501133894
0.6,Static,0.0,19168.2,0.5953420051642084,0.0,0.20921492899397762,2832.6736000000074,0.0,3166.263217106247,0.004288742183330306,0.0,0.005191867852336137,8.817098878883543
0.8,Lyapunov (ours),0.0,0.0,0.7233457229009227,197.1,0.2968375395340629,3052.063700000065,0.0,0.0,0.005601393964899903,18.008053753806937,0.001971862057919491,15.59773744522173
0.8,Greedy-Q,0.0,34723.4,0.5449763531275718,1426.0,0.20519395721039357,2748.1081999999988,0.0,1875.7614027375657,0.005876742170953775,28.35136681008519,0.007017435840307438,10.870315936531433
0.8,Greedy-E,0.0,8383.5,0.7801935875740049,0.0,0.23647253680203545,3184.3184000000924,0.0,1302.8224169087666,0.0036656762986525763,0.0,0.004701725477768023,26.086949393136813
0.8,Random,0.0,27217.5,0.6252149953360725,1415.7,0.2819043104233365,2964.6311000000287,0.0,1797.0179325760776,0.00841253232548549,51.7688130055152,0.002760136066955465,32.68118392118063
0.8,Static,0.0,4349.9,0.7271633379596414,0.0,0.2578379872351089,3459.7696000000496,0.0,1452.0214495660869,0.010603496411245172,0.0,0.006769981631729822,34.31793687039201
1.0,Lyapunov (ours),0.0,0.0,0.7702551512028768,602.1,0.3261016696516159,3393.6103000000658,0.0,0.0,0.0033907457724105913,25.71555949226071,0.0022530759551053145,21.676416392247578
1.0,Greedy-Q,0.0,30082.6,0.5893154054346066,2145.9,0.2252554281415272,3037.683700000003,0.0,2898.209626648839,0.004218086330748692,22.487552112224222,0.005797718065727225,6.692349961710674
1.0,Greedy-E,0.0,5578.0,0.7801935875740049,0.0,0.23647253680203545,3184.3184000000924,0.0,1099.5138016414346,0.0036656762986525763,0.0,0.004701725477768023,26.086949393136813
1.0,Random,0.0,17655.5,0.6996722465690957,1931.2,0.3211526404499769,3363.3208000000436,0.0,2549.0180952672736,0.005084458531316298,24.11555514600483,0.002997605854862867,17.97549141359131
1.0,Static,0.0,0.0,0.7801935875740049,0.0,0.2756865755681963,3712.371200000073,0.0,0.0,0.0036656762986525763,0.0,0.005481408597196575,30.412925925667775
1.5,Lyapunov (ours),0.0,0.0,0.709511901699726,2325.7,0.3401065479351538,3557.9485000000154,0.0,0.0,0.003950148827557832,17.204941150727603,0.0028480906220359737,21.907165308411308
1.5,Greedy-Q,0.0,17884.5,0.657828523265951,4183.4,0.26651665106477934,3585.9625999999835,0.0,2198.723914001028,0.003580306767609573,29.14515397111499,0.006021842245579804,13.71728984311547
1.5,Greedy-E,0.0,1904.1,0.7801935875740049,0.0,0.23647253680203545,3184.3184000000924,0.0,413.58806800970456,0.0036656762986525763,0.0,0.004701725477768023,26.086949393136813
1.5,Random,0.0,1214.4,0.7789185488809316,3480.6,0.37664787187873056,3929.399200000017,0.0,925.6538445877056,0.002414166190412344,33.14875563275339,0.002899168918857859,29.429105147117813
1.5,Static,0.0,0.0,0.7801935875740049,0.0,0.2756865755681963,3712.371200000073,0.0,0.0,0.0036656762986525763,0.0,0.005481408597196575,30.412925925667775
