param_value,policy,pcap_violations,blackout_slots,service_rate,split_tasks,min_fill,total_quality,pcap_violations_sd,blackout_slots_sd,service_rate_sd,split_tasks_sd,min_fill_sd,total_quality_sd
8,Lyapunov (ours),0.0,0.0,0.7702551512028768,602.1,0.3261016696516159,3393.6103000000658,0.0,0.0,0.0033907457724105913,25.71555949226071,0.0022530759551053145,21.676416392247578
8,Greedy-Q,0.0,30082.6,0.5893154054346066,2145.9,0.2252554281415272,3037.683700000003,0.0,2898.209626648839,0.004218086330748692,22.487552112224222,0.005797718065727225,6.692349961710674
8,Greedy-E,0.0,5578.0,0.7801935875740049,0.0,0.23647253680203545,3184.3184000000924,0.0,1099.5138016414346,0.0036656762986525763,0.0,0.004701725477768023,26.086949393136813
8,Random,0.0,17655.5,0.6996722465690957,1931.2,0.3211526404499769,3363.3208000000436,0.0,2549.0180952672736,0.005084458531316298,24.11555514600483,0.002997605854862867,17.97549141359131
8,Static,0.0,0.0,0.7801935875740049,0.0,0.2756865755681963,3712.371200000073,0.0,0.0,0.0036656762986525763,0.0,0.005481408597196575,30.412925925667775
10,Lyapunov (ours),0.0,0.0,0.777391167267257,0.0,0.32842092728890127,3437.106800000067,0.0,0.0,0.003946882211459792,0.0,0.002503145469788885,23.334226641567682
10,Greedy-Q,0.0,15372.8,0.7696152327170951,0.0,0.2715890907973355,3662.0008000000685,0.0,2853.7694651110132,0.0032637131950160898,0.0,0.005317705502024615,27.876222544673173
10,Greedy-E,0.0,5578.0,0.7801935875740049,0.0,0.23647253680203545,3184.3184000000924,0.0,1099.5138016414346,0.0036656762986525763,0.0,0.004701725477768023,26.086949393136813
10,Random,0.0,0.0,0.779879916432367,0.0,0.3312118759967975,3438.1844000000688,0.0,0.0,0.0024142724454979197,0.0,0.0018854462118036654,31.205431486204073
10,Static,0.0,0.0,0.7801935875740049,0.0,0.2756865755681963,3712.371200000073,0.0,0.0,0.0036656762986525763,0.0,0.005481408597196575,30.412925925667775
11,Lyapunov (ours),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Greedy-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Greedy-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Lyapunov (ours),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Greedy-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Greedy-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Lyapunov (ours),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Greedy-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Greedy-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Lyapunov (ours),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Greedy-Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Greedy-E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Random,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Static,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
