value,policy,down_mean,down_std,minfill_mean,minfill_std,split_mean
0.05,Lyapunov (ours),1.590643274853801,0.0,0.2140964937598632,0.007888423690474081,421.8
0.05,Greedy-Q,4.811695906432748,0.1192982456140351,0.5019333758317523,0.004178365357827862,3104.7
0.05,Greedy-E,2.2666666666666666,0.1822310802672498,0.1762110009758959,0.0020044697552099276,0.0
0.05,Random,2.5450292397660816,0.26377834589961074,0.3979702327675051,0.009224438884624984,1902.1
0.05,Static,3.181286549707602,0.0,0.1544104433779453,0.003062077660862496,0.0
0.1,Lyapunov (ours),1.590643274853801,0.0,0.17594995430558574,0.0009280110223667164,654.6
0.1,Greedy-Q,8.390643274853801,0.1192982456140351,0.35924182937376226,0.005568418665065687,4148.1
0.1,Greedy-E,2.3859649122807016,0.0,0.1538621789458211,0.0020180482013210568,0.0
0.1,Random,6.24327485380117,0.18223108026724974,0.30719781533716495,0.0055153002730485455,2664.0
0.1,Static,3.181286549707602,0.0,0.11667636037276359,0.0030338409670542517,0.0
0.2,Lyapunov (ours),1.590643274853801,0.0,0.12292430555733251,0.001581958473812644,905.1
0.2,Greedy-Q,11.969590643274854,0.1192982456140351,0.19479928641572755,0.005981733906526414,4672.3
0.2,Greedy-E,2.3859649122807016,0.0,0.12285992510249817,0.001213805937678237,0.0
0.2,Random,9.782456140350877,0.19481321930907147,0.20670643177957682,0.002609793744595804,3164.5
0.2,Static,5.885380116959064,0.1590643274853801,0.06490302012664262,0.0023270960036835997,0.0
0.4,Lyapunov (ours),1.590643274853801,0.0,0.06346942377478294,0.0008809172245197853,991.6
0.4,Greedy-Q,13.99766081871345,0.2385964912280702,0.05611373312884525,0.002801886079775529,4636.4
0.4,Greedy-E,5.567251461988304,0.0,0.07915925092726514,0.0014125538182109916,0.0
0.4,Random,11.929824561403509,0.0,0.11906916622227312,0.001975901085932977,3270.1
0.4,Static,8.78830409356725,0.3751524660700872,0.015038786195832824,0.0006699128904938992,0.0
0.7,Lyapunov (ours),1.590643274853801,0.0,0.02340917799125108,0.0011465955382617922,735.4
0.7,Greedy-Q,13.599999999999998,0.1590643274853801,0.0032878466295943446,0.00019285565442068487,4217.6
0.7,Greedy-E,5.567251461988304,0.0,0.047164953486789854,0.0009693120540224125,0.0
0.7,Random,12.128654970760234,0.19883040935672514,0.07027372796158167,0.0011674331869805385,3314.6
0.7,Static,9.106432748538012,0.1192982456140351,0.0005004198916821073,8.591446015331391e-05,0.0
