value,policy,down_mean,down_std,minfill_mean,minfill_std,split_mean
11.0,Lyapunov (ours),3.973684210526316,0.0,0.10377147892836269,0.0021543634701153814,358.4
11.0,Greedy-Q,14.261111111111111,0.20233009647319644,0.3748798009535543,0.007265718653707588,4545.4
11.0,Greedy-E,6.71111111111111,0.1766081871345029,0.15412913036508175,0.0022510970254313286,0.0
11.0,Random,11.258771929824562,0.3559651812845266,0.3146083527501665,0.006997744615322535,2820.9
11.0,Static,8.830409356725147,0.0,0.11534380498077823,0.0032453895629643396,0.0
11.6,Lyapunov (ours),1.672514619883041,0.0,0.15398806318058036,0.0013958288197570292,563.7
11.6,Greedy-Q,10.495029239766081,0.12543859649122807,0.3832608645816924,0.006117345429101051,4803.2
11.6,Greedy-E,3.1359649122807016,0.20906432748538012,0.15399099660474921,0.002113203138725599,0.0
11.6,Random,8.362573099415204,0.0,0.3215480391074749,0.004275625798287127,2907.0
11.6,Static,5.352046783625732,0.1672514619883041,0.1165715218568422,0.0030103970308398313,0.0
12.2,Lyapunov (ours),1.590643274853801,0.0,0.18601115257243322,0.0017001294750105364,708.4
12.2,Greedy-Q,7.913450292397661,0.1192982456140351,0.3926866567451069,0.007058627645672145,4941.1
12.2,Greedy-E,2.3859649122807016,0.0,0.1538621789458211,0.0020180482013210568,0.0
12.2,Random,5.52748538011696,0.1192982456140351,0.32969459209495866,0.0083337053695548,3044.3
12.2,Static,3.181286549707602,0.0,0.11667636037276359,0.0030338409670542517,0.0
13.0,Lyapunov (ours),1.497076023391813,0.0,0.21555436519124593,0.0019378517472623574,832.3
13.0,Greedy-Q,5.314619883040935,0.1497076023391813,0.3998372541384644,0.005892519339896543,5126.9
13.0,Greedy-E,2.245614035087719,0.0,0.15432577299728897,0.0019045605665499905,0.0
13.0,Random,5.20233918128655,0.11228070175438595,0.3320817365124562,0.007506462099989091,3064.0
13.0,Static,2.994152046783626,0.0,0.11671113630298616,0.0030233002557533617,0.0
14.5,Lyapunov (ours),2.008771929824561,0.0,0.25551326354369164,0.0024646044331452176,1007.8
14.5,Greedy-Q,5.691520467836257,0.0,0.40000005908863023,0.005537772219612564,5103.0
14.5,Greedy-E,2.008771929824561,0.0,0.15469893587414602,0.001944347367641605,0.0
14.5,Random,4.586695906432749,0.21437360385557344,0.3342336365317593,0.007451224696417578,3085.1
14.5,Static,2.6783625730994154,0.0,0.11678162430766119,0.002989410313809224,0.0
18.0,Lyapunov (ours),1.6228070175438596,0.0,0.29328575174253085,0.001383445463625139,1184.0
18.0,Greedy-Q,4.597953216374269,0.0,0.4018512830552961,0.006183773696026237,5175.1
18.0,Greedy-E,1.8932748538011697,0.0,0.1554098357792443,0.0022250281178398967,0.0
18.0,Random,4.543859649122807,0.10818713450292398,0.3336574362278034,0.007765756895529161,3081.4
18.0,Static,2.6505847953216373,0.10818713450292398,0.11686330767180117,0.002974216032882168,0.0
